,reporting_date,volume
0,2022-01-04,817
1,2022-01-05,851
2,2022-01-06,896
3,2022-01-07,1084
4,2022-01-10,1267
5,2022-01-11,1642
6,2022-01-12,1180
7,2022-01-13,1086
8,2022-01-14,1079
9,2022-01-17,1234
10,2022-01-18,1423
11,2022-01-19,1019
12,2022-01-20,1080
13,2022-01-21,1025
14,2022-01-24,1107
15,2022-01-25,1187
16,2022-01-26,887
17,2022-01-27,958
18,2022-01-28,958
19,2022-01-31,1239
20,2022-02-01,1451
21,2022-02-02,1011
22,2022-02-03,1092
23,2022-02-04,1133
24,2022-02-07,1205
25,2022-02-08,1479
26,2022-02-09,960
27,2022-02-10,1031
28,2022-02-11,966
29,2022-02-14,1020
30,2022-02-15,1186
31,2022-02-16,810
32,2022-02-17,906
33,2022-02-18,887
34,2022-02-21,755
35,2022-02-22,1104
36,2022-02-23,852
37,2022-02-24,967
38,2022-02-25,755
39,2022-02-28,1027
40,2022-03-01,1148
41,2022-03-02,884
42,2022-03-03,973
43,2022-03-04,952
44,2022-03-07,1159
45,2022-03-08,1309
46,2022-03-09,958
47,2022-03-10,986
48,2022-03-11,911
49,2022-03-14,996
50,2022-03-15,1137
51,2022-03-16,828
52,2022-03-17,735
53,2022-03-18,780
54,2022-03-21,955
55,2022-03-22,1226
56,2022-03-23,926
57,2022-03-24,873
58,2022-03-25,916
59,2022-03-28,1115
60,2022-03-29,1350
61,2022-03-30,903
62,2022-03-31,1033
63,2022-04-01,1075
64,2022-04-04,1065
65,2022-04-05,1370
66,2022-04-06,994
67,2022-04-07,1026
68,2022-04-08,1039
69,2022-04-11,1169
70,2022-04-12,1314
71,2022-04-13,976
72,2022-04-14,895
73,2022-04-19,1044
74,2022-04-20,1214
75,2022-04-21,888
76,2022-04-22,944
77,2022-04-25,1019
78,2022-04-26,1213
79,2022-04-27,883
80,2022-04-28,884
81,2022-04-29,954
82,2022-05-03,1056
83,2022-05-04,1266
84,2022-05-05,1037
85,2022-05-06,1113
86,2022-05-09,1174
87,2022-05-10,1291
88,2022-05-11,939
89,2022-05-12,854
90,2022-05-13,913
91,2022-05-16,956
92,2022-05-17,1121
93,2022-05-18,825
94,2022-05-19,885
95,2022-05-20,905
96,2022-05-23,1028
97,2022-05-24,1193
98,2022-05-25,808
99,2022-05-26,900
100,2022-05-27,819
101,2022-05-30,1007
102,2022-05-31,1396
103,2022-06-01,1197
104,2022-06-06,1089
105,2022-06-07,1331
106,2022-06-08,1057
107,2022-06-09,967
108,2022-06-10,1024
109,2022-06-13,1141
110,2022-06-14,1189
111,2022-06-15,955
112,2022-06-16,872
113,2022-06-17,882
114,2022-06-20,861
115,2022-06-21,956
116,2022-06-22,785
117,2022-06-23,863
118,2022-06-24,796
119,2022-06-27,746
120,2022-06-28,1069
121,2022-06-29,811
122,2022-06-30,805
123,2022-07-01,883
124,2022-07-04,867
125,2022-07-05,1143
126,2022-07-06,876
127,2022-07-07,838
128,2022-07-08,1019
129,2022-07-11,1012
130,2022-07-12,1062
131,2022-07-13,790
132,2022-07-14,838
133,2022-07-15,744
134,2022-07-18,930
135,2022-07-19,1044
136,2022-07-20,626
137,2022-07-21,738
138,2022-07-22,868
139,2022-07-25,957
140,2022-07-26,1264
141,2022-07-27,895
142,2022-07-28,815
143,2022-07-29,811
144,2022-08-01,1053
145,2022-08-02,1157
146,2022-08-03,1021
147,2022-08-04,883
148,2022-08-05,968
149,2022-08-08,946
150,2022-08-09,1150
151,2022-08-10,831
152,2022-08-11,761
