,reporting_date,volume
0,2022-01-04,36372
1,2022-01-05,52777
2,2022-01-06,41160
3,2022-01-07,38060
4,2022-01-10,41772
5,2022-01-11,57602
6,2022-01-12,38053
7,2022-01-13,34421
8,2022-01-14,34775
9,2022-01-17,37111
10,2022-01-18,51361
11,2022-01-19,33266
12,2022-01-20,31766
13,2022-01-21,31999
14,2022-01-24,34122
15,2022-01-25,46152
16,2022-01-26,33187
17,2022-01-27,31342
18,2022-01-28,30365
19,2022-01-31,33400
20,2022-02-01,46250
21,2022-02-02,33828
22,2022-02-03,31269
23,2022-02-04,30636
24,2022-02-07,32643
25,2022-02-08,43614
26,2022-02-09,30653
27,2022-02-10,29436
28,2022-02-11,28600
29,2022-02-14,30008
30,2022-02-15,42742
31,2022-02-16,28102
32,2022-02-17,27320
33,2022-02-18,27579
34,2022-02-21,23131
35,2022-02-22,37756
36,2022-02-23,28184
37,2022-02-24,27259
38,2022-02-25,28568
39,2022-02-28,30465
40,2022-03-01,43578
41,2022-03-02,30880
42,2022-03-03,29815
43,2022-03-04,30190
44,2022-03-07,31865
45,2022-03-08,44798
46,2022-03-09,30303
47,2022-03-10,30416
48,2022-03-11,28314
49,2022-03-14,31852
50,2022-03-15,43638
51,2022-03-16,32130
52,2022-03-17,29058
53,2022-03-18,28540
54,2022-03-21,29210
55,2022-03-22,41238
56,2022-03-23,31226
57,2022-03-24,28889
58,2022-03-25,28917
59,2022-03-28,30286
60,2022-03-29,43260
61,2022-03-30,29786
62,2022-03-31,28671
63,2022-04-01,31363
64,2022-04-04,31348
65,2022-04-05,44653
66,2022-04-06,31833
67,2022-04-07,30716
68,2022-04-08,28632
69,2022-04-11,31264
70,2022-04-12,43295
71,2022-04-13,30250
72,2022-04-14,29496
73,2022-04-19,32189
74,2022-04-20,50495
75,2022-04-21,31884
76,2022-04-22,30938
77,2022-04-25,32537
78,2022-04-26,43766
79,2022-04-27,31340
80,2022-04-28,28722
81,2022-04-29,29680
82,2022-05-03,32496
83,2022-05-04,50266
84,2022-05-05,30466
85,2022-05-06,32250
86,2022-05-09,34247
87,2022-05-10,43218
88,2022-05-11,30950
89,2022-05-12,28883
90,2022-05-13,29273
91,2022-05-16,28678
92,2022-05-17,40949
93,2022-05-18,27995
94,2022-05-19,25892
95,2022-05-20,25549
96,2022-05-23,28798
97,2022-05-24,38275
98,2022-05-25,27187
99,2022-05-26,25623
100,2022-05-27,26407
101,2022-05-30,28831
102,2022-05-31,41211
103,2022-06-01,29050
104,2022-06-06,30855
105,2022-06-07,47527
106,2022-06-08,31794
107,2022-06-09,28690
108,2022-06-10,28176
109,2022-06-13,28873
110,2022-06-14,40252
111,2022-06-15,26391
112,2022-06-16,24792
113,2022-06-17,24436
114,2022-06-20,25959
115,2022-06-21,36747
116,2022-06-22,26615
117,2022-06-23,25394
118,2022-06-24,24295
119,2022-06-27,25751
120,2022-06-28,38844
121,2022-06-29,27073
122,2022-06-30,26483
123,2022-07-01,27890
124,2022-07-04,28353
125,2022-07-05,39630
126,2022-07-06,27766
127,2022-07-07,26233
128,2022-07-08,25906
129,2022-07-11,27581
130,2022-07-12,36439
131,2022-07-13,24836
132,2022-07-14,24853
133,2022-07-15,25127
134,2022-07-18,27338
135,2022-07-19,35394
136,2022-07-20,22329
137,2022-07-21,22679
138,2022-07-22,25887
139,2022-07-25,28007
140,2022-07-26,40107
141,2022-07-27,26218
142,2022-07-28,26734
143,2022-07-29,26675
144,2022-08-01,29716
145,2022-08-02,39002
146,2022-08-03,29318
147,2022-08-04,25921
148,2022-08-05,25793
149,2022-08-08,27482
150,2022-08-09,37545
151,2022-08-10,24582
152,2022-08-11,23044
153,2022-08-12,23554
154,2022-08-15,23121
155,2022-08-16,34602
156,2022-08-17,24172
157,2022-08-18,23009
158,2022-08-19,22608
159,2022-08-22,25475
160,2022-08-23,36062
161,2022-08-24,24670
162,2022-08-25,24795
163,2022-08-26,23591
