,reporting_date,volume
0,2022-01-04,3182
1,2022-01-05,1722
2,2022-01-06,2085
3,2022-01-07,2553
4,2022-01-10,2699
5,2022-01-11,2940
6,2022-01-12,3862
7,2022-01-13,3070
8,2022-01-14,2973
9,2022-01-17,2911
10,2022-01-18,4563
11,2022-01-19,3634
12,2022-01-20,3254
13,2022-01-21,3048
14,2022-01-24,2914
15,2022-01-25,3284
16,2022-01-26,5003
17,2022-01-27,2930
18,2022-01-28,2053
19,2022-01-31,2982
20,2022-02-01,3052
21,2022-02-02,4594
22,2022-02-03,3059
23,2022-02-04,2580
24,2022-02-07,3167
25,2022-02-08,3722
26,2022-02-09,4674
27,2022-02-10,2965
28,2022-02-11,2780
29,2022-02-14,1870
30,2022-02-15,4743
31,2022-02-16,4024
32,2022-02-17,4797
33,2022-02-18,2460
34,2022-02-21,2866
35,2022-02-22,3889
36,2022-02-23,4367
37,2022-02-24,2447
38,2022-02-25,2348
39,2022-02-28,2611
40,2022-03-01,4287
41,2022-03-02,4265
42,2022-03-03,3364
43,2022-03-04,2442
44,2022-03-07,2907
45,2022-03-08,4512
46,2022-03-09,4578
47,2022-03-10,3398
48,2022-03-11,2603
49,2022-03-14,2758
50,2022-03-15,4284
51,2022-03-16,4199
52,2022-03-17,2882
53,2022-03-18,2985
54,2022-03-21,2013
55,2022-03-22,4564
56,2022-03-23,3821
57,2022-03-24,3123
58,2022-03-25,2419
59,2022-03-28,2741
60,2022-03-29,4766
61,2022-03-30,2740
62,2022-03-31,3655
63,2022-04-01,3415
64,2022-04-04,2723
65,2022-04-05,4876
66,2022-04-06,4369
67,2022-04-07,3477
68,2022-04-08,3195
69,2022-04-11,2323
70,2022-04-12,4086
71,2022-04-13,4378
72,2022-04-14,3052
73,2022-04-19,2876
74,2022-04-20,3360
75,2022-04-21,4691
76,2022-04-22,3329
77,2022-04-25,2038
78,2022-04-26,3944
79,2022-04-27,2925
80,2022-04-28,3347
81,2022-04-29,3229
82,2022-05-03,2649
83,2022-05-04,4258
84,2022-05-05,3837
85,2022-05-06,3634
86,2022-05-09,2589
87,2022-05-10,3611
88,2022-05-11,4351
89,2022-05-12,3380
90,2022-05-13,2211
91,2022-05-16,2481
92,2022-05-17,3594
93,2022-05-18,3309
94,2022-05-19,2704
95,2022-05-20,2180
96,2022-05-23,2658
97,2022-05-24,3021
98,2022-05-25,4330
99,2022-05-26,3029
100,2022-05-27,2499
101,2022-05-30,2430
102,2022-05-31,3872
103,2022-06-01,3287
104,2022-06-06,2821
105,2022-06-07,3668
106,2022-06-08,3803
107,2022-06-09,3768
108,2022-06-10,3050
109,2022-06-13,2364
110,2022-06-14,3200
111,2022-06-15,3748
112,2022-06-16,2655
113,2022-06-17,2156
114,2022-06-20,2557
115,2022-06-22,4152
116,2022-06-23,4438
117,2022-06-24,3101
118,2022-06-27,2180
119,2022-06-28,2858
120,2022-06-29,4602
121,2022-06-30,2724
122,2022-07-01,2444
123,2022-07-04,2353
124,2022-07-05,3426
125,2022-07-06,3778
126,2022-07-07,2985
127,2022-07-08,1935
128,2022-07-11,3026
129,2022-07-12,3996
130,2022-07-13,3148
131,2022-07-14,3820
132,2022-07-15,2378
133,2022-07-18,1553
134,2022-07-19,6160
135,2022-07-20,2873
136,2022-07-21,2189
137,2022-07-22,1732
138,2022-07-25,3967
139,2022-07-26,3245
140,2022-07-27,2693
141,2022-07-28,912
142,2022-07-29,1409
143,2022-08-01,5983
144,2022-08-02,3660
145,2022-08-03,4461
146,2022-08-04,2785
147,2022-08-05,1862
148,2022-08-08,2577
149,2022-08-09,3484
150,2022-08-10,4474
151,2022-08-11,2949
152,2022-08-12,2566
153,2022-08-15,3068
154,2022-08-16,3117
155,2022-08-17,2875
156,2022-08-18,3117
157,2022-08-19,2319
158,2022-08-22,2483
159,2022-08-23,2975
160,2022-08-24,3066
161,2022-08-25,2139
162,2022-08-26,2501
163,2022-08-30,1714
164,2022-08-31,2152
165,2022-09-01,2627
166,2022-09-02,391
167,2022-09-05,3189
168,2022-09-06,3447
169,2022-09-07,2304
170,2022-09-08,2957
171,2022-09-09,1575
172,2022-09-12,364
173,2022-09-13,3941
174,2022-09-14,2967
175,2022-09-15,2654
176,2022-09-16,2131
177,2022-09-20,2850
178,2022-09-21,3018
179,2022-09-22,3615
180,2022-09-23,2632
181,2022-09-26,2893
182,2022-09-27,2998
183,2022-09-28,4065
184,2022-09-29,2251
185,2022-09-30,2510
186,2022-10-03,1990
187,2022-10-04,216
188,2022-10-05,2427
189,2022-10-06,4041
190,2022-10-07,2531
191,2022-10-10,2530
192,2022-10-11,2970
193,2022-10-12,2986
194,2022-10-13,2395
195,2022-10-14,1197
196,2022-10-17,462
197,2022-10-18,3362
198,2022-10-19,3040
199,2022-10-20,3457
200,2022-10-21,3726
201,2022-10-24,593
202,2022-10-25,2935
203,2022-10-26,3099
204,2022-10-27,514
205,2022-10-28,3698
206,2022-10-31,3128
207,2022-11-01,3548
208,2022-11-02,3768
209,2022-11-03,2889
210,2022-11-04,4080
211,2022-11-07,2395
212,2022-11-08,3287
213,2022-11-09,3542
214,2022-11-10,1956
215,2022-11-11,2409
216,2022-11-14,2391
217,2022-11-15,2434
218,2022-11-16,2996
219,2022-11-17,3073
220,2022-11-18,2736
221,2022-11-21,2709
222,2022-11-22,3810
223,2022-11-23,3011
224,2022-11-24,2882
225,2022-11-25,2170
226,2022-11-28,149
227,2022-11-29,1940
228,2022-11-30,2440
229,2022-12-01,2445
230,2022-12-02,179
231,2022-12-05,1239
232,2022-12-06,3497
233,2022-12-07,3410
234,2022-12-08,4621
235,2022-12-09,3589
236,2022-12-12,1441
237,2022-12-13,711
238,2022-12-14,2213
239,2022-12-15,3605
240,2022-12-16,820
241,2022-12-19,1047
242,2022-12-20,3343
243,2022-12-21,3967
244,2022-12-22,4578
245,2022-12-23,2451
246,2022-12-28,3952
247,2022-12-29,1318
248,2022-12-30,3153
249,2023-01-03,3275
250,2023-01-04,2143
251,2023-01-05,3041
252,2023-01-06,3295
253,2023-01-09,2522
254,2023-01-10,2341
255,2023-01-11,1976
256,2023-01-12,3275
257,2023-01-13,2465
258,2023-01-16,3115
259,2023-01-17,3156
260,2023-01-18,2925
261,2023-01-19,2857
262,2023-01-20,1939
263,2023-01-23,2083
264,2023-01-24,3010
265,2023-01-25,3797
266,2023-01-26,3345
267,2023-01-27,1518
268,2023-01-30,1841
269,2023-01-31,3681
270,2023-02-01,4366
271,2023-02-02,2956
272,2023-02-03,2619
273,2023-02-06,2357
274,2023-02-07,2659
275,2023-02-08,3032
276,2023-02-09,2212
277,2023-02-10,2086
278,2023-02-13,1574
279,2023-02-14,3094
280,2023-02-15,3373
281,2023-02-16,2153
282,2023-02-17,1944
283,2023-02-20,1774
284,2023-02-21,768
285,2023-02-22,5614
286,2023-02-23,1546
287,2023-02-24,1903
288,2023-02-27,1820
289,2023-02-28,2675
290,2023-03-01,3092
291,2023-03-02,2365
292,2023-03-03,2636
293,2023-03-06,2501
294,2023-03-07,3248
295,2023-03-08,3078
296,2023-03-09,1936
297,2023-03-10,3611
298,2023-03-13,1949
299,2023-03-14,2863
300,2023-03-15,3462
301,2023-03-16,1878
302,2023-03-17,2070
303,2023-03-20,1971
304,2023-03-21,4102
305,2023-03-22,3545
306,2023-03-23,2666
307,2023-03-24,2137
308,2023-03-27,2815
309,2023-03-28,3518
310,2023-03-29,2276
311,2023-03-30,2413
312,2023-03-31,2218
313,2023-04-03,1883
314,2023-04-04,3020
315,2023-04-05,1421
316,2023-04-06,3375
317,2023-04-11,1235
318,2023-04-12,3153
319,2023-04-13,3745
320,2023-04-14,2418
321,2023-04-17,2218
322,2023-04-18,2356
323,2023-04-19,3001
324,2023-04-20,2365
325,2023-04-21,1933
326,2023-04-24,947
327,2023-04-25,5058
328,2023-04-26,3590
329,2023-04-27,2303
330,2023-04-28,1499
331,2023-05-02,2023
332,2023-05-03,3045
333,2023-05-04,3206
334,2023-05-05,2165
335,2023-05-09,2940
336,2023-05-10,3716
337,2023-05-11,2529
338,2023-05-12,2863
339,2023-05-15,1796
340,2023-05-16,3100
341,2023-05-17,2895
342,2023-05-18,2320
343,2023-05-19,1720
344,2023-05-22,1625
345,2023-05-23,3456
346,2023-05-24,2348
347,2023-05-25,2080
348,2023-05-26,2049
349,2023-05-30,2146
350,2023-05-31,2934
351,2023-06-01,3405
352,2023-06-02,2704
353,2023-06-05,1690
354,2023-06-06,3855
355,2023-06-07,3407
356,2023-06-08,2250
357,2023-06-09,1178
358,2023-06-12,2209
359,2023-06-13,2874
360,2023-06-14,2522
361,2023-06-15,2035
362,2023-06-16,2285
363,2023-06-19,2124
364,2023-06-20,2888
365,2023-06-21,2519
366,2023-06-22,3887
367,2023-06-23,1993
368,2023-06-26,2199
369,2023-06-27,2715
370,2023-06-28,2808
371,2023-06-29,2054
372,2023-06-30,1405
373,2023-07-03,2777
374,2023-07-04,3875
375,2023-07-05,2502
376,2023-07-06,2587
377,2023-07-07,1134
378,2023-07-10,2253
379,2023-07-11,3535
380,2023-07-12,2537
381,2023-07-13,1883
382,2023-07-14,2221
383,2023-07-17,1361
384,2023-07-18,2932
385,2023-07-19,1527
386,2023-07-20,1688
387,2023-07-21,1743
388,2023-07-24,1837
389,2023-07-25,1681
390,2023-07-26,2297
391,2023-07-27,2534
392,2023-07-28,1849
393,2023-07-31,1333
394,2023-08-01,2555
395,2023-08-02,3294
396,2023-08-03,1786
397,2023-08-04,1382
398,2023-08-07,1799
399,2023-08-08,1787
400,2023-08-09,2631
401,2023-08-10,2300
402,2023-08-11,1604
