,reporting_date,volume
0,2022-01-04,35060
1,2022-01-05,47404
2,2022-01-06,39403
3,2022-01-07,36040
4,2022-01-10,39066
5,2022-01-11,64144
6,2022-01-12,37139
7,2022-01-13,34538
8,2022-01-14,34902
9,2022-01-17,37757
10,2022-01-18,62898
11,2022-01-19,34097
12,2022-01-20,31554
13,2022-01-21,31778
14,2022-01-24,36072
15,2022-01-25,58537
16,2022-01-26,35007
17,2022-01-27,30387
18,2022-01-28,29508
19,2022-01-31,32328
20,2022-02-01,53556
21,2022-02-02,34857
22,2022-02-03,29493
23,2022-02-04,28166
24,2022-02-07,32890
25,2022-02-08,54318
26,2022-02-09,34260
27,2022-02-10,30578
28,2022-02-11,29297
29,2022-02-14,28658
30,2022-02-15,54582
31,2022-02-16,31763
32,2022-02-17,29480
33,2022-02-18,32524
34,2022-02-21,24530
35,2022-02-22,48502
36,2022-02-23,34473
37,2022-02-24,29528
38,2022-02-25,29822
39,2022-02-28,32869
40,2022-03-01,53758
41,2022-03-02,34826
42,2022-03-03,30830
43,2022-03-04,30603
44,2022-03-07,33483
45,2022-03-08,57492
46,2022-03-09,34177
47,2022-03-10,29046
48,2022-03-11,30609
49,2022-03-14,31369
50,2022-03-15,54418
51,2022-03-16,33859
52,2022-03-17,28539
53,2022-03-18,28980
54,2022-03-21,30341
55,2022-03-22,41322
56,2022-03-23,38584
57,2022-03-24,28282
58,2022-03-25,27936
59,2022-03-28,29246
60,2022-03-29,49190
61,2022-03-30,26471
62,2022-03-31,31552
63,2022-04-01,29447
64,2022-04-04,31852
65,2022-04-05,54316
66,2022-04-06,32810
67,2022-04-07,30562
68,2022-04-08,29896
69,2022-04-11,31787
70,2022-04-12,53893
71,2022-04-13,32187
72,2022-04-14,29967
73,2022-04-19,33095
74,2022-04-20,61751
75,2022-04-21,34247
76,2022-04-22,33815
77,2022-04-25,34263
78,2022-04-26,53566
79,2022-04-27,29497
80,2022-04-28,30092
81,2022-04-29,30206
82,2022-05-03,32121
83,2022-05-04,56009
84,2022-05-05,31976
85,2022-05-06,31116
86,2022-05-09,32661
87,2022-05-10,54385
88,2022-05-11,31239
89,2022-05-12,29175
90,2022-05-13,28738
91,2022-05-16,28769
92,2022-05-17,49565
93,2022-05-18,27973
