,reporting_date,volume
0,2022-05-01,35479
1,2022-12-01,34803
2,2022-01-01,29643
3,2022-11-01,36702
4,2021-05-01,28799
5,2023-03-01,39069
6,2022-07-01,34582
7,2021-06-01,33471
8,2022-03-01,36277
9,2023-05-01,36557
10,2021-09-01,32307
11,2021-11-01,33335
12,2022-04-01,33573
13,2023-02-01,33223
14,2022-10-01,35313
15,2023-06-01,36921
16,2022-02-01,30422
17,2021-10-01,32264
18,2023-01-01,33904
19,2022-06-01,34288
20,2021-01-01,24347
21,2021-08-01,39423
22,2021-12-01,33568
23,2022-08-01,36255
24,2021-02-01,26476
25,2021-04-01,31277
26,2022-09-01,35340
27,2023-09-01,34892
28,2023-08-01,36217
29,2021-07-01,36230
30,2021-03-01,33513
31,2023-07-01,35878
32,2023-04-01,33500
