,reporting_date,volume
0,2022-07-01,30795
1,2021-09-01,40757
2,2023-01-01,30540
3,2021-05-01,34690
4,2022-06-01,31955
5,2023-07-01,33015
6,2022-09-01,31514
7,2023-06-01,34604
8,2021-06-01,40148
9,2022-10-01,31170
10,2021-10-01,35875
11,2023-09-01,32288
12,2023-10-01,9
13,2022-08-01,30923
14,2021-04-01,34693
15,2021-02-01,30630
16,2021-11-01,33587
17,2023-03-01,34463
18,2023-04-01,29285
19,2022-02-01,30323
20,2023-05-01,33508
21,2021-01-01,31196
22,2021-07-01,42941
23,2022-04-01,30984
24,2022-11-01,32349
25,2022-05-01,32740
26,2023-08-01,32910
27,2022-03-01,36144
28,2021-12-01,37110
29,2023-02-01,29540
30,2021-08-01,46247
31,2022-12-01,33727
32,2021-03-01,37295
33,2022-01-01,31190
