,reporting_date,volume
0,2021-09-01,58898
1,2023-07-01,48412
2,2021-11-01,52340
3,2022-05-01,51978
4,2023-02-01,45382
5,2022-12-01,49579
6,2023-03-01,52915
7,2023-08-01,48705
8,2022-04-01,49493
9,2023-06-01,50631
10,2021-07-01,55151
11,2022-11-01,49724
12,2022-07-01,47926
13,2023-01-01,47320
14,2021-01-01,45388
15,2023-05-01,51514
16,2022-02-01,47994
17,2021-04-01,51599
18,2021-10-01,52058
19,2023-04-01,45185
20,2023-10-01,93
21,2021-03-01,55060
22,2022-06-01,50413
23,2021-08-01,53968
24,2022-01-01,48743
25,2021-05-01,52646
26,2021-06-01,55642
27,2021-12-01,55345
28,2021-02-01,45255
29,2023-09-01,47661
30,2022-09-01,49498
31,2022-08-01,49264
32,2022-03-01,55649
33,2022-10-01,48339
