,reporting_date,volume
0,2022-01-01,30409
1,2023-10-01,13
2,2021-06-01,31775
3,2023-02-01,27249
4,2022-09-01,31315
5,2022-02-01,29802
6,2023-03-01,32838
7,2021-04-01,27771
8,2023-07-01,30854
9,2022-06-01,30688
10,2021-02-01,25219
11,2021-09-01,31508
12,2023-05-01,30981
13,2021-10-01,31395
14,2023-01-01,28973
15,2022-11-01,30704
16,2023-06-01,31843
17,2021-08-01,28956
18,2021-12-01,30164
19,2021-07-01,31680
20,2021-05-01,27150
21,2022-12-01,29621
22,2021-11-01,32584
23,2022-08-01,30201
24,2023-04-01,28129
25,2021-01-01,25863
26,2022-10-01,30011
27,2022-04-01,30104
28,2021-03-01,29255
29,2022-07-01,30654
30,2022-05-01,32209
31,2023-08-01,30885
32,2022-03-01,34011
33,2023-09-01,30535
