,reporting_date,volume
0,2022-01-01,24
1,2022-01-02,92
2,2022-01-03,67
3,2022-01-04,130
4,2022-01-05,107
5,2022-01-06,110
6,2022-01-07,148
7,2022-01-08,60
8,2022-01-09,102
9,2022-01-10,127
10,2022-01-11,103
11,2022-01-12,98
12,2022-01-13,112
13,2022-01-14,168
14,2022-01-15,72
15,2022-01-16,114
16,2022-01-17,118
17,2022-01-18,118
18,2022-01-19,127
19,2022-01-20,135
20,2022-01-21,148
21,2022-01-22,98
22,2022-01-23,118
23,2022-01-24,143
24,2022-01-25,129
25,2022-01-26,113
26,2022-01-27,142
27,2022-01-28,173
28,2022-01-29,109
29,2022-01-30,112
30,2022-01-31,117
31,2022-02-01,113
32,2022-02-02,121
33,2022-02-03,115
34,2022-02-04,162
35,2022-02-05,92
36,2022-02-06,126
37,2022-02-07,153
38,2022-02-08,104
39,2022-02-09,115
40,2022-02-10,144
41,2022-02-11,178
42,2022-02-12,101
43,2022-02-13,112
44,2022-02-14,154
45,2022-02-15,107
46,2022-02-16,137
47,2022-02-17,132
48,2022-02-18,174
49,2022-02-19,106
50,2022-02-20,116
51,2022-02-21,140
52,2022-02-22,127
53,2022-02-23,103
54,2022-02-24,110
55,2022-02-25,174
56,2022-02-26,91
57,2022-02-27,94
58,2022-02-28,140
59,2022-03-01,131
60,2022-03-02,114
61,2022-03-03,137
62,2022-03-04,150
63,2022-03-05,79
64,2022-03-06,142
65,2022-03-07,138
66,2022-03-08,112
67,2022-03-09,120
68,2022-03-10,135
69,2022-03-11,124
70,2022-03-12,117
71,2022-03-13,130
72,2022-03-14,140
73,2022-03-15,131
74,2022-03-16,125
75,2022-03-17,148
76,2022-03-18,174
77,2022-03-19,87
78,2022-03-20,110
79,2022-03-21,137
80,2022-03-22,127
81,2022-03-23,111
82,2022-03-24,161
83,2022-03-25,185
84,2022-03-26,95
85,2022-03-27,114
86,2022-03-28,171
87,2022-03-29,149
88,2022-03-30,143
89,2022-03-31,147
90,2022-04-01,175
91,2022-04-02,90
92,2022-04-03,114
93,2022-04-04,154
94,2022-04-05,115
95,2022-04-06,96
96,2022-04-07,142
97,2022-04-08,155
98,2022-04-09,95
99,2022-04-10,100
100,2022-04-11,149
101,2022-04-12,141
102,2022-04-13,140
103,2022-04-14,197
104,2022-04-15,106
105,2022-04-16,98
106,2022-04-17,82
107,2022-04-18,64
108,2022-04-19,130
109,2022-04-20,152
110,2022-04-21,141
111,2022-04-22,144
112,2022-04-23,78
113,2022-04-24,110
114,2022-04-25,133
115,2022-04-26,162
116,2022-04-27,136
117,2022-04-28,172
118,2022-04-29,187
119,2022-04-30,116
120,2022-05-01,122
121,2022-05-02,67
122,2022-05-03,124
123,2022-05-04,137
124,2022-05-05,173
125,2022-05-06,200
