,reporting_date,volume
0,2022-01-01,1
1,2022-01-02,14
2,2022-01-03,3
3,2022-01-04,3
4,2022-01-05,7
5,2022-01-06,2
6,2022-01-07,5
7,2022-01-08,8
8,2022-01-09,4
9,2022-01-10,9
10,2022-01-11,4
11,2022-01-12,2
12,2022-01-13,5
13,2022-01-14,7
14,2022-01-15,10
15,2022-01-16,6
16,2022-01-17,6
17,2022-01-18,3
18,2022-01-19,3
19,2022-01-20,12
20,2022-01-21,4
21,2022-01-22,2
22,2022-01-23,6
23,2022-01-24,3
24,2022-01-25,5
25,2022-01-26,7
26,2022-01-27,4
27,2022-01-28,7
28,2022-01-29,5
29,2022-01-30,10
30,2022-01-31,7
31,2022-02-01,5
32,2022-02-02,7
33,2022-02-03,4
34,2022-02-04,8
35,2022-02-05,9
36,2022-02-06,2
37,2022-02-07,5
38,2022-02-08,4
39,2022-02-09,5
40,2022-02-10,7
41,2022-02-11,5
42,2022-02-12,5
43,2022-02-13,6
44,2022-02-14,6
45,2022-02-15,12
46,2022-02-16,8
47,2022-02-17,8
48,2022-02-18,5
49,2022-02-19,12
50,2022-02-20,4
51,2022-02-21,7
52,2022-02-22,10
53,2022-02-23,4
54,2022-02-24,3
55,2022-02-25,8
56,2022-02-26,8
57,2022-02-27,6
58,2022-02-28,8
59,2022-03-01,8
60,2022-03-02,8
61,2022-03-03,14
62,2022-03-04,7
63,2022-03-05,10
64,2022-03-06,8
65,2022-03-07,9
66,2022-03-08,4
67,2022-03-09,3
68,2022-03-10,5
69,2022-03-11,7
70,2022-03-12,14
71,2022-03-13,2
72,2022-03-14,4
73,2022-03-15,6
74,2022-03-16,8
75,2022-03-17,4
76,2022-03-18,7
77,2022-03-19,6
78,2022-03-20,6
79,2022-03-21,10
80,2022-03-22,6
81,2022-03-23,9
82,2022-03-24,7
83,2022-03-25,20
84,2022-03-26,13
85,2022-03-27,6
86,2022-03-28,8
87,2022-03-29,9
88,2022-03-30,8
89,2022-03-31,6
90,2022-04-01,12
91,2022-04-02,12
92,2022-04-03,4
93,2022-04-04,6
94,2022-04-05,5
95,2022-04-06,9
96,2022-04-07,7
97,2022-04-08,9
98,2022-04-09,5
99,2022-04-10,6
100,2022-04-11,13
101,2022-04-12,6
102,2022-04-13,9
103,2022-04-14,4
104,2022-04-15,2
105,2022-04-16,7
106,2022-04-18,5
107,2022-04-19,4
108,2022-04-20,3
109,2022-04-21,4
110,2022-04-22,12
111,2022-04-23,7
112,2022-04-24,6
113,2022-04-25,5
114,2022-04-26,5
115,2022-04-27,6
116,2022-04-28,9
117,2022-04-29,13
118,2022-04-30,11
119,2022-05-01,8
120,2022-05-02,7
121,2022-05-03,8
122,2022-05-04,16
123,2022-05-05,4
124,2022-05-06,8
125,2022-05-07,8
126,2022-05-08,4
127,2022-05-09,6
128,2022-05-10,7
129,2022-05-11,6
130,2022-05-12,12
131,2022-05-13,9
132,2022-05-14,2
133,2022-05-15,8
134,2022-05-16,9
135,2022-05-17,10
136,2022-05-18,7
137,2022-05-19,4
138,2022-05-20,10
139,2022-05-21,6
140,2022-05-22,8
141,2022-05-23,5
142,2022-05-24,7
143,2022-05-25,7
144,2022-05-26,14
145,2022-05-27,5
146,2022-05-28,7
147,2022-05-30,6
148,2022-05-31,6
149,2022-06-01,9
150,2022-06-02,4
151,2022-06-03,1
152,2022-06-04,3
153,2022-06-05,6
154,2022-06-06,2
155,2022-06-07,6
156,2022-06-08,7
157,2022-06-09,7
158,2022-06-10,9
159,2022-06-11,10
160,2022-06-12,4
161,2022-06-13,8
162,2022-06-14,3
163,2022-06-15,14
164,2022-06-16,8
165,2022-06-18,5
166,2022-06-20,7
167,2022-06-21,7
168,2022-06-22,3
169,2022-06-23,4
170,2022-06-24,17
171,2022-06-25,4
172,2022-06-27,6
173,2022-06-28,10
174,2022-06-29,9
175,2022-06-30,10
176,2022-07-01,3
177,2022-07-02,7
178,2022-07-03,2
179,2022-07-04,6
180,2022-07-05,7
181,2022-07-06,7
182,2022-07-07,7
183,2022-07-08,5
184,2022-07-09,6
185,2022-07-10,4
186,2022-07-11,6
187,2022-07-12,6
188,2022-07-13,8
189,2022-07-14,8
190,2022-07-15,19
191,2022-07-16,9
192,2022-07-17,2
193,2022-07-18,5
194,2022-07-19,7
195,2022-07-20,13
196,2022-07-21,11
197,2022-07-22,8
198,2022-07-23,7
199,2022-07-25,11
200,2022-07-26,5
201,2022-07-27,6
202,2022-07-28,1
203,2022-07-29,5
204,2022-07-30,4
205,2022-07-31,6
206,2022-08-01,2
207,2022-08-02,6
208,2022-08-03,9
209,2022-08-04,6
210,2022-08-05,13
211,2022-08-06,8
212,2022-08-07,2
213,2022-08-08,5
214,2022-08-09,6
215,2022-08-10,6
216,2022-08-11,3
217,2022-08-12,10
218,2022-08-13,3
219,2022-08-15,10
220,2022-08-16,7
221,2022-08-17,8
222,2022-08-18,13
223,2022-08-19,10
224,2022-08-20,7
225,2022-08-21,2
226,2022-08-22,2
