,reporting_date,volume
0,2022-01-04,7900
1,2022-01-05,17656
2,2022-01-06,16749
3,2022-01-07,11733
4,2022-01-10,12149
5,2022-01-11,15693
6,2022-01-12,10731
7,2022-01-13,18865
8,2022-01-14,13353
9,2022-01-17,11840
10,2022-01-18,16096
11,2022-01-19,11763
12,2022-01-20,18095
13,2022-01-21,11562
14,2022-01-24,11037
15,2022-01-25,15940
16,2022-01-26,11122
17,2022-01-27,17988
18,2022-01-28,21552
19,2022-01-31,13889
20,2022-02-01,16805
21,2022-02-02,12398
22,2022-02-03,18155
23,2022-02-04,12650
24,2022-02-07,12557
25,2022-02-08,15949
26,2022-02-09,11736
27,2022-02-10,17904
28,2022-02-11,11907
29,2022-02-14,14221
30,2022-02-15,16308
31,2022-02-16,11161
32,2022-02-17,17951
33,2022-02-18,12442
34,2022-02-21,12525
35,2022-02-22,16182
36,2022-02-23,10594
37,2022-02-24,18544
38,2022-02-25,22880
39,2022-02-28,13888
40,2022-03-01,17837
41,2022-03-02,12957
42,2022-03-03,19298
43,2022-03-04,13014
44,2022-03-07,12951
45,2022-03-08,16230
46,2022-03-09,11834
47,2022-03-10,17633
48,2022-03-11,12391
49,2022-03-14,13831
50,2022-03-15,16646
51,2022-03-16,12046
52,2022-03-17,18597
53,2022-03-18,12276
54,2022-03-21,12707
55,2022-03-22,16518
56,2022-03-23,11205
57,2022-03-24,18696
58,2022-03-25,12175
59,2022-03-28,11926
60,2022-03-29,17343
61,2022-03-30,24090
62,2022-03-31,19451
63,2022-04-01,12767
64,2022-04-04,14183
65,2022-04-05,16977
66,2022-04-06,11633
67,2022-04-07,19268
68,2022-04-08,12514
69,2022-04-11,11586
70,2022-04-12,15603
71,2022-04-13,19307
72,2022-04-14,14572
73,2022-04-19,13354
74,2022-04-20,22511
75,2022-04-21,18325
76,2022-04-22,11765
77,2022-04-25,11264
78,2022-04-26,16739
79,2022-04-27,12216
80,2022-04-28,30455
81,2022-04-29,15490
82,2022-05-03,13045
83,2022-05-04,21745
84,2022-05-05,19185
85,2022-05-06,12574
86,2022-05-09,13075
87,2022-05-10,16177
88,2022-05-11,12009
89,2022-05-12,18769
90,2022-05-13,13211
91,2022-05-16,11992
92,2022-05-17,16247
93,2022-05-18,11609
94,2022-05-19,19436
95,2022-05-20,12254
96,2022-05-23,11074
97,2022-05-24,16160
98,2022-05-25,11423
99,2022-05-26,19181
100,2022-05-27,13608
101,2022-05-30,22677
102,2022-05-31,23488
103,2022-06-01,13811
104,2022-06-06,16043
105,2022-06-07,21809
106,2022-06-08,11714
107,2022-06-09,18084
108,2022-06-10,12789
109,2022-06-13,12023
110,2022-06-14,18791
111,2022-06-15,11260
112,2022-06-16,18332
113,2022-06-17,13058
114,2022-06-20,11306
115,2022-06-21,17555
116,2022-06-22,11109
117,2022-06-23,18668
118,2022-06-24,11971
119,2022-06-27,11371
120,2022-06-28,16634
121,2022-06-29,23478
122,2022-06-30,19725
123,2022-07-01,12587
124,2022-07-04,13850
125,2022-07-05,16472
126,2022-07-06,11566
127,2022-07-07,20111
128,2022-07-08,12557
129,2022-07-11,11398
130,2022-07-12,15416
131,2022-07-13,11526
132,2022-07-14,20597
133,2022-07-15,12519
134,2022-07-18,11550
135,2022-07-19,17113
136,2022-07-20,11637
137,2022-07-21,18312
138,2022-07-22,12194
139,2022-07-25,11175
140,2022-07-26,16258
141,2022-07-27,12160
142,2022-07-28,28935
143,2022-07-29,15083
144,2022-08-01,12103
145,2022-08-02,17130
146,2022-08-03,11782
147,2022-08-04,18457
148,2022-08-05,12388
149,2022-08-08,11368
150,2022-08-09,15463
151,2022-08-10,10675
152,2022-08-11,17027
153,2022-08-12,13442
154,2022-08-15,10368
155,2022-08-16,16005
156,2022-08-17,11061
157,2022-08-18,16946
158,2022-08-19,12995
159,2022-08-22,10608
160,2022-08-23,14986
161,2022-08-24,11002
162,2022-08-25,18304
163,2022-08-26,12975
164,2022-08-30,21262
165,2022-08-31,22082
166,2022-09-01,17258
167,2022-09-02,13989
168,2022-09-05,11653
169,2022-09-06,15993
170,2022-09-07,11936
171,2022-09-08,18320
172,2022-09-09,11170
173,2022-09-12,10624
174,2022-09-13,15706
175,2022-09-14,13533
176,2022-09-15,17803
177,2022-09-16,12606
178,2022-09-20,11236
179,2022-09-21,23967
180,2022-09-22,16390
181,2022-09-23,11654
182,2022-09-26,10965
183,2022-09-27,17557
184,2022-09-28,12284
185,2022-09-29,30275
