,reporting_date,volume
0,2022-01-04,14747
1,2022-01-05,13551
2,2022-01-06,11349
3,2022-01-07,16152
4,2022-01-10,7316
5,2022-01-11,11178
6,2022-01-12,7391
7,2022-01-13,10479
8,2022-01-14,30971
9,2022-01-17,11541
10,2022-01-18,18753
11,2022-01-19,11837
12,2022-01-20,11662
13,2022-01-21,16329
14,2022-01-24,10363
15,2022-01-25,12589
16,2022-01-26,7973
17,2022-01-27,15443
18,2022-01-28,20014
19,2022-01-31,34431
20,2022-02-01,15262
21,2022-02-02,9362
22,2022-02-03,9746
23,2022-02-04,15100
24,2022-02-07,7962
25,2022-02-08,9790
26,2022-02-09,13351
27,2022-02-10,8762
28,2022-02-11,16492
29,2022-02-14,18288
30,2022-02-15,15445
31,2022-02-16,9732
32,2022-02-17,14495
33,2022-02-18,21800
34,2022-02-21,10354
35,2022-02-22,12173
36,2022-02-23,8461
37,2022-02-24,11763
38,2022-02-25,29382
39,2022-02-28,33414
40,2022-03-01,15202
41,2022-03-02,11669
42,2022-03-03,10301
43,2022-03-04,15489
44,2022-03-07,8402
45,2022-03-08,10514
46,2022-03-09,12805
47,2022-03-10,8307
48,2022-03-11,16977
49,2022-03-14,18101
50,2022-03-15,15738
51,2022-03-16,9719
52,2022-03-17,14494
53,2022-03-18,21401
54,2022-03-21,11088
55,2022-03-22,11891
56,2022-03-23,8445
57,2022-03-24,11341
58,2022-03-25,19405
59,2022-03-28,7794
60,2022-03-29,10965
61,2022-03-30,14413
62,2022-03-31,40273
63,2022-04-01,16534
64,2022-04-04,12098
65,2022-04-05,10808
66,2022-04-06,8798
67,2022-04-07,10011
68,2022-04-08,15419
69,2022-04-11,8832
70,2022-04-12,9259
71,2022-04-13,14284
72,2022-04-14,32868
73,2022-04-19,21980
74,2022-04-20,19678
75,2022-04-21,12352
76,2022-04-22,17559
77,2022-04-25,10382
78,2022-04-26,10637
79,2022-04-27,13857
80,2022-04-28,15573
81,2022-04-29,48395
82,2022-05-03,14498
83,2022-05-04,15621
84,2022-05-05,10640
85,2022-05-06,15041
86,2022-05-09,11284
87,2022-05-10,11712
88,2022-05-11,8506
89,2022-05-12,8375
90,2022-05-13,30919
91,2022-05-16,11424
92,2022-05-17,16398
93,2022-05-18,12246
94,2022-05-19,14578
95,2022-05-20,17473
96,2022-05-23,9782
97,2022-05-24,13257
98,2022-05-25,9173
99,2022-05-26,9894
100,2022-05-27,20335
101,2022-05-30,14108
102,2022-05-31,40570
103,2022-06-01,26764
104,2022-06-06,11621
105,2022-06-07,14511
106,2022-06-08,9161
107,2022-06-09,14913
108,2022-06-10,12278
109,2022-06-13,8978
110,2022-06-14,22293
111,2022-06-15,16286
112,2022-06-16,10653
113,2022-06-17,22312
114,2022-06-20,14898
115,2022-06-21,12625
116,2022-06-22,9680
117,2022-06-23,12565
118,2022-06-24,16808
119,2022-06-27,13497
120,2022-06-28,10475
121,2022-06-29,16431
122,2022-06-30,42176
123,2022-07-01,16843
124,2022-07-04,12044
125,2022-07-05,10943
126,2022-07-06,10059
127,2022-07-07,11003
128,2022-07-08,16077
129,2022-07-11,8828
130,2022-07-12,9100
131,2022-07-13,12242
132,2022-07-14,22677
133,2022-07-15,19956
134,2022-07-18,12879
135,2022-07-19,18629
136,2022-07-20,11937
137,2022-07-21,12140
138,2022-07-22,17180
139,2022-07-25,9664
140,2022-07-26,10916
141,2022-07-27,14703
142,2022-07-28,15189
143,2022-07-29,44446
144,2022-08-01,12734
145,2022-08-02,12679
146,2022-08-03,8961
147,2022-08-04,11492
148,2022-08-05,15041
149,2022-08-08,7246
150,2022-08-09,15695
151,2022-08-10,7779
152,2022-08-11,11845
153,2022-08-12,26311
154,2022-08-15,12982
155,2022-08-16,12294
156,2022-08-17,13272
157,2022-08-18,13628
158,2022-08-19,20706
159,2022-08-22,9718
160,2022-08-23,10923
161,2022-08-24,10892
162,2022-08-25,11580
163,2022-08-26,22703
164,2022-08-30,16720
165,2022-08-31,41166
166,2022-09-01,13537
167,2022-09-02,15923
168,2022-09-05,9436
169,2022-09-06,12115
170,2022-09-07,8466
171,2022-09-08,9124
172,2022-09-09,17957
173,2022-09-12,6840
174,2022-09-13,14124
175,2022-09-14,21878
176,2022-09-15,15568
177,2022-09-16,21235
178,2022-09-20,19472
179,2022-09-21,14334
180,2022-09-22,11973
181,2022-09-23,16211
182,2022-09-26,9250
183,2022-09-27,15681
184,2022-09-28,8770
185,2022-09-29,18379
186,2022-09-30,46360
187,2022-10-03,10787
188,2022-10-04,15066
189,2022-10-05,8959
190,2022-10-06,11229
191,2022-10-07,17107
192,2022-10-10,7727
193,2022-10-11,11346
194,2022-10-12,7618
195,2022-10-13,14683
196,2022-10-14,29310
197,2022-10-17,12350
198,2022-10-18,18156
199,2022-10-19,10987
200,2022-10-20,13692
201,2022-10-21,15452
202,2022-10-24,11470
203,2022-10-25,12156
204,2022-10-26,7850
205,2022-10-27,15784
206,2022-10-28,21649
207,2022-10-31,37564
208,2022-11-01,14983
209,2022-11-02,9130
210,2022-11-03,10816
211,2022-11-04,16931
212,2022-11-07,8476
213,2022-11-08,9449
214,2022-11-09,14425
215,2022-11-10,8762
216,2022-11-11,17290
217,2022-11-14,20226
218,2022-11-15,15725
219,2022-11-16,9350
220,2022-11-17,14841
221,2022-11-18,21785
222,2022-11-21,10191
223,2022-11-22,11095
224,2022-11-23,9349
225,2022-11-24,12297
226,2022-11-25,20118
227,2022-11-28,8522
228,2022-11-29,19656
229,2022-11-30,41392
230,2022-12-01,12666
231,2022-12-02,16910
232,2022-12-05,9047
233,2022-12-06,12319
234,2022-12-07,8448
235,2022-12-08,9636
236,2022-12-09,18155
237,2022-12-12,7360
238,2022-12-13,14677
239,2022-12-14,21539
240,2022-12-15,16137
241,2022-12-16,16730
242,2022-12-19,18788
243,2022-12-20,13531
244,2022-12-21,11377
245,2022-12-22,12631
246,2022-12-23,28650
247,2022-12-28,9369
248,2022-12-29,20309
249,2022-12-30,48395
250,2023-01-03,12717
251,2023-01-04,15600
252,2023-01-05,11556
253,2023-01-06,14880
254,2023-01-09,10898
255,2023-01-10,11542
256,2023-01-11,8084
257,2023-01-12,9085
258,2023-01-13,31556
259,2023-01-16,10777
260,2023-01-17,16853
261,2023-01-18,12172
262,2023-01-19,14381
263,2023-01-20,17673
264,2023-01-23,10361
265,2023-01-24,13648
266,2023-01-25,9486
267,2023-01-26,10468
268,2023-01-27,19548
269,2023-01-30,15821
270,2023-01-31,38056
271,2023-02-01,11203
272,2023-02-02,10545
273,2023-02-03,16422
274,2023-02-06,10386
275,2023-02-07,10696
276,2023-02-08,7721
277,2023-02-09,16220
278,2023-02-10,13425
279,2023-02-13,12047
280,2023-02-14,22040
281,2023-02-15,14420
282,2023-02-16,10568
283,2023-02-17,22880
284,2023-02-20,13478
285,2023-02-21,12960
286,2023-02-22,9367
287,2023-02-23,12252
288,2023-02-24,16783
289,2023-02-27,25377
290,2023-02-28,37055
291,2023-03-01,12120
292,2023-03-02,13479
293,2023-03-03,16446
294,2023-03-06,11286
295,2023-03-07,11200
296,2023-03-08,8471
297,2023-03-09,15005
298,2023-03-10,13519
299,2023-03-13,12503
300,2023-03-14,21974
301,2023-03-15,14909
302,2023-03-16,12669
303,2023-03-17,21693
304,2023-03-20,14256
305,2023-03-21,12857
306,2023-03-22,9524
307,2023-03-23,11795
308,2023-03-24,16608
309,2023-03-27,13992
310,2023-03-28,10937
311,2023-03-29,9037
312,2023-03-30,18981
313,2023-03-31,44309
314,2023-04-03,10750
315,2023-04-04,14971
316,2023-04-05,12140
317,2023-04-06,25604
318,2023-04-11,10533
319,2023-04-12,12284
320,2023-04-13,13447
321,2023-04-14,29965
322,2023-04-17,14576
323,2023-04-18,18415
324,2023-04-19,13559
325,2023-04-20,13312
326,2023-04-21,15660
327,2023-04-24,12753
328,2023-04-25,13153
329,2023-04-26,9305
330,2023-04-27,23152
331,2023-04-28,46272
332,2023-05-02,16267
333,2023-05-03,14741
334,2023-05-04,14026
335,2023-05-05,19729
336,2023-05-09,12055
337,2023-05-10,14859
338,2023-05-11,11872
339,2023-05-12,39416
340,2023-05-15,16426
341,2023-05-16,13408
342,2023-05-17,14548
343,2023-05-18,15145
344,2023-05-19,19847
345,2023-05-22,9371
346,2023-05-23,11997
347,2023-05-24,12072
348,2023-05-25,12478
349,2023-05-26,23342
350,2023-05-30,18087
351,2023-05-31,42326
352,2023-06-01,12780
353,2023-06-02,16623
354,2023-06-05,10303
355,2023-06-06,12432
356,2023-06-07,9290
357,2023-06-08,10119
358,2023-06-09,18864
359,2023-06-12,7598
360,2023-06-13,15061
361,2023-06-14,21259
362,2023-06-15,16150
363,2023-06-16,15980
364,2023-06-19,18209
365,2023-06-20,13718
366,2023-06-21,10390
367,2023-06-22,12451
368,2023-06-23,18029
369,2023-06-26,8978
