,reporting_date,volume
0,2022-01-01,465888
1,2022-01-02,441552
2,2022-01-03,516028
3,2022-01-04,1846046
4,2022-01-05,815605
5,2022-01-06,806222
6,2022-01-07,1037471
7,2022-01-08,502843
8,2022-01-09,424415
9,2022-01-10,1015554
10,2022-01-11,726560
11,2022-01-12,707766
12,2022-01-13,751774
13,2022-01-14,1089311
14,2022-01-15,517433
15,2022-01-16,436386
16,2022-01-17,1043088
17,2022-01-18,729504
18,2022-01-19,704552
19,2022-01-20,858251
20,2022-01-21,1094800
21,2022-01-22,516885
22,2022-01-23,439369
23,2022-01-24,991502
24,2022-01-25,910214
25,2022-01-26,838198
26,2022-01-27,938069
27,2022-01-28,1488387
28,2022-01-29,592389
29,2022-01-30,508552
30,2022-01-31,1456777
31,2022-02-01,1668954
32,2022-02-02,905867
33,2022-02-03,896470
34,2022-02-04,1157297
35,2022-02-05,545899
36,2022-02-06,474255
37,2022-02-07,1070938
38,2022-02-08,775691
39,2022-02-09,734617
40,2022-02-10,858425
41,2022-02-11,1070343
42,2022-02-12,525856
43,2022-02-13,461010
44,2022-02-14,954793
45,2022-02-15,894232
46,2022-02-16,755059
47,2022-02-17,784537
48,2022-02-18,1061300
49,2022-02-19,527250
50,2022-02-20,452004
51,2022-02-21,1017526
52,2022-02-22,754567
53,2022-02-23,760124
54,2022-02-24,881279
55,2022-02-25,1483737
56,2022-02-26,615132
57,2022-02-27,532556
58,2022-02-28,1917444
59,2022-03-01,1764680
60,2022-03-02,945335
61,2022-03-03,929501
62,2022-03-04,1172989
63,2022-03-05,557364
64,2022-03-06,483431
65,2022-03-07,1086974
66,2022-03-08,785894
67,2022-03-09,759636
68,2022-03-10,877637
69,2022-03-11,1098235
70,2022-03-12,533784
71,2022-03-13,463703
72,2022-03-14,975190
73,2022-03-15,907952
74,2022-03-16,788896
75,2022-03-17,804518
76,2022-03-18,1122051
77,2022-03-19,535583
78,2022-03-20,460379
79,2022-03-21,1045107
80,2022-03-22,780753
81,2022-03-23,768705
82,2022-03-24,873688
83,2022-03-25,1441596
84,2022-03-26,593971
85,2022-03-27,482790
86,2022-03-28,1373112
87,2022-03-29,863624
88,2022-03-30,914032
89,2022-03-31,1327030
90,2022-04-01,2056607
91,2022-04-02,613972
92,2022-04-03,506215
93,2022-04-04,1213312
94,2022-04-05,897837
95,2022-04-06,823163
96,2022-04-07,875270
97,2022-04-08,1146316
98,2022-04-09,575948
99,2022-04-10,465464
100,2022-04-11,1022127
101,2022-04-12,791324
102,2022-04-13,764649
103,2022-04-14,1127960
104,2022-04-15,625569
105,2022-04-16,479047
106,2022-04-17,381979
107,2022-04-18,480587
108,2022-04-19,1281490
109,2022-04-20,873162
110,2022-04-21,867483
111,2022-04-22,1153218
112,2022-04-23,567361
113,2022-04-24,468983
114,2022-04-25,1199337
115,2022-04-26,897563
116,2022-04-27,899983
117,2022-04-28,1208915
118,2022-04-29,1673649
119,2022-04-30,665069
120,2022-05-01,606887
121,2022-05-02,619621
122,2022-05-03,2059565
123,2022-05-04,896867
124,2022-05-05,958106
125,2022-05-06,1170279
126,2022-05-07,525797
127,2022-05-08,475362
128,2022-05-09,1011946
129,2022-05-10,866249
130,2022-05-11,768239
131,2022-05-12,826199
132,2022-05-13,1129218
133,2022-05-14,497985
134,2022-05-15,492233
135,2022-05-16,1083389
136,2022-05-17,766720
137,2022-05-18,757300
138,2022-05-19,807823
139,2022-05-20,1191808
140,2022-05-21,539584
141,2022-05-22,462893
142,2022-05-23,1015099
143,2022-05-24,829984
144,2022-05-25,949116
145,2022-05-26,968214
146,2022-05-27,1434171
147,2022-05-28,593940
148,2022-05-29,490491
149,2022-05-30,1241532
150,2022-05-31,1278593
151,2022-06-01,1932996
152,2022-06-02,633732
153,2022-06-03,562715
154,2022-06-04,476302
155,2022-06-05,466672
156,2022-06-06,1474840
157,2022-06-07,854466
158,2022-06-08,821282
159,2022-06-09,842636
160,2022-06-10,1163304
161,2022-06-11,527198
162,2022-06-12,463382
163,2022-06-13,974409
164,2022-06-14,764014
165,2022-06-15,895272
166,2022-06-16,851535
167,2022-06-17,1093942
168,2022-06-18,528830
169,2022-06-19,479504
170,2022-06-20,1052784
171,2022-06-21,800519
172,2022-06-22,762425
173,2022-06-23,856862
174,2022-06-24,1344991
175,2022-06-25,570158
176,2022-06-26,481436
177,2022-06-27,1217113
178,2022-06-28,1091427
179,2022-06-29,909195
180,2022-06-30,1357742
181,2022-07-01,2080511
182,2022-07-02,596164
183,2022-07-03,502411
184,2022-07-04,1191918
185,2022-07-05,911965
186,2022-07-06,814543
187,2022-07-07,871077
188,2022-07-08,1130176
189,2022-07-09,513200
190,2022-07-10,447874
191,2022-07-11,1009490
192,2022-07-12,777407
193,2022-07-13,738924
194,2022-07-14,825905
195,2022-07-15,1256125
196,2022-07-16,528574
