,reporting_date,volume
0,2022-01-01,1553
1,2022-01-02,1416
2,2022-01-03,2828
3,2022-01-04,47726
4,2022-01-05,40625
5,2022-01-06,44736
6,2022-01-07,87415
7,2022-01-08,1670
8,2022-01-09,1626
9,2022-01-10,35259
10,2022-01-11,28150
11,2022-01-12,32028
12,2022-01-13,37969
13,2022-01-14,101497
14,2022-01-15,2096
15,2022-01-16,1464
16,2022-01-17,36437
17,2022-01-18,25145
18,2022-01-19,27140
19,2022-01-20,45697
20,2022-01-21,96489
21,2022-01-22,1924
22,2022-01-23,1511
23,2022-01-24,32713
24,2022-01-25,37587
25,2022-01-26,38496
26,2022-01-27,54562
27,2022-01-28,142224
28,2022-01-29,1852
29,2022-01-30,2346
30,2022-01-31,106278
31,2022-02-01,52758
32,2022-02-02,35131
33,2022-02-03,43217
34,2022-02-04,101700
35,2022-02-05,1834
36,2022-02-06,1924
37,2022-02-07,36127
38,2022-02-08,29114
39,2022-02-09,28938
40,2022-02-10,42974
41,2022-02-11,91630
42,2022-02-12,1591
43,2022-02-13,1511
44,2022-02-14,30831
45,2022-02-15,37577
46,2022-02-16,27447
47,2022-02-17,40482
48,2022-02-18,93599
49,2022-02-19,1972
50,2022-02-20,1517
51,2022-02-21,35222
52,2022-02-22,26072
53,2022-02-23,28855
54,2022-02-24,53692
55,2022-02-25,136183
56,2022-02-26,2290
57,2022-02-27,2189
58,2022-02-28,136764
59,2022-03-01,47424
60,2022-03-02,32716
61,2022-03-03,41054
62,2022-03-04,102877
63,2022-03-05,2434
64,2022-03-06,1826
65,2022-03-07,35086
66,2022-03-08,26457
67,2022-03-09,26301
68,2022-03-10,42922
69,2022-03-11,90150
70,2022-03-12,1698
71,2022-03-13,1518
72,2022-03-14,31620
73,2022-03-15,35264
74,2022-03-16,26454
75,2022-03-17,39873
76,2022-03-18,93737
77,2022-03-19,1946
78,2022-03-20,1578
79,2022-03-21,31766
80,2022-03-22,28980
81,2022-03-23,24861
82,2022-03-24,43230
83,2022-03-25,129022
84,2022-03-26,1789
85,2022-03-27,1972
86,2022-03-28,54850
87,2022-03-29,36836
88,2022-03-30,36434
89,2022-03-31,125134
90,2022-04-01,112349
91,2022-04-02,1820
92,2022-04-03,1798
93,2022-04-04,36005
94,2022-04-05,35976
95,2022-04-06,32669
96,2022-04-07,45578
97,2022-04-08,97353
98,2022-04-09,1989
99,2022-04-10,1729
100,2022-04-11,31667
101,2022-04-12,24815
102,2022-04-13,31336
103,2022-04-14,112976
104,2022-04-15,5911
105,2022-04-16,1194
106,2022-04-17,941
107,2022-04-18,3143
108,2022-04-19,47715
109,2022-04-20,33355
110,2022-04-21,41865
111,2022-04-22,87197
112,2022-04-23,1573
113,2022-04-24,1747
114,2022-04-25,43439
115,2022-04-26,37406
116,2022-04-27,35848
117,2022-04-28,75908
118,2022-04-29,197847
119,2022-04-30,4682
120,2022-05-01,2229
121,2022-05-02,3448
122,2022-05-03,58919
123,2022-05-04,37459
124,2022-05-05,54090
125,2022-05-06,99043
126,2022-05-07,1783
127,2022-05-08,1861
128,2022-05-09,35163
129,2022-05-10,29561
130,2022-05-11,24817
131,2022-05-12,39981
132,2022-05-13,102291
133,2022-05-14,1618
134,2022-05-15,1986
135,2022-05-16,34765
136,2022-05-17,24579
137,2022-05-18,25721
138,2022-05-19,41449
139,2022-05-20,96432
140,2022-05-21,1757
141,2022-05-22,1707
142,2022-05-23,31131
143,2022-05-24,28230
144,2022-05-25,40681
145,2022-05-26,57382
146,2022-05-27,140258
147,2022-05-28,2506
148,2022-05-29,1649
149,2022-05-30,42647
150,2022-05-31,108985
151,2022-06-01,133520
152,2022-06-02,6347
153,2022-06-03,5151
154,2022-06-04,1306
155,2022-06-05,1803
156,2022-06-06,49816
157,2022-06-07,32374
158,2022-06-08,31400
159,2022-06-09,41498
160,2022-06-10,95961
161,2022-06-11,1868
162,2022-06-12,1591
163,2022-06-13,31325
164,2022-06-14,28165
165,2022-06-15,41135
166,2022-06-16,40598
167,2022-06-17,92050
168,2022-06-18,1563
169,2022-06-19,1802
170,2022-06-20,35749
171,2022-06-21,27232
172,2022-06-22,27291
173,2022-06-23,45566
174,2022-06-24,131290
175,2022-06-25,2336
176,2022-06-26,1728
177,2022-06-27,36814
178,2022-06-28,52678
179,2022-06-29,37301
180,2022-06-30,130333
181,2022-07-01,113187
182,2022-07-02,2117
183,2022-07-03,1693
184,2022-07-04,36962
185,2022-07-05,40004
186,2022-07-06,30230
187,2022-07-07,44610
188,2022-07-08,97694
189,2022-07-09,1748
190,2022-07-10,1541
191,2022-07-11,30583
192,2022-07-12,28373
193,2022-07-13,28787
194,2022-07-14,45519
195,2022-07-15,99173
196,2022-07-16,1525
197,2022-07-17,1545
198,2022-07-18,31068
199,2022-07-19,27958
200,2022-07-20,32315
201,2022-07-21,43205
202,2022-07-22,92497
203,2022-07-23,1808
204,2022-07-24,1613
205,2022-07-25,46852
206,2022-07-26,32391
207,2022-07-27,35229
208,2022-07-28,74432
209,2022-07-29,191726
210,2022-07-30,2910
211,2022-07-31,3815
212,2022-08-01,53941
213,2022-08-02,33290
214,2022-08-03,28769
215,2022-08-04,43807
216,2022-08-05,101254
217,2022-08-06,1665
218,2022-08-07,1655
219,2022-08-08,29752
220,2022-08-09,27454
221,2022-08-10,31150
222,2022-08-11,36981
223,2022-08-12,88538
224,2022-08-13,1645
225,2022-08-14,1646
226,2022-08-15,42125
227,2022-08-16,23729
228,2022-08-17,25326
229,2022-08-18,37099
230,2022-08-19,92430
231,2022-08-20,1960
232,2022-08-21,1611
233,2022-08-22,28568
234,2022-08-23,27513
235,2022-08-24,27161
236,2022-08-25,65348
237,2022-08-26,142184
238,2022-08-27,1694
239,2022-08-28,1854
240,2022-08-29,3646
241,2022-08-30,47369
242,2022-08-31,108381
243,2022-09-01,65701
244,2022-09-02,92800
245,2022-09-03,1830
246,2022-09-04,1768
247,2022-09-05,41305
248,2022-09-06,33914
249,2022-09-07,31006
250,2022-09-08,40798
251,2022-09-09,95518
252,2022-09-10,1705
253,2022-09-11,1679
254,2022-09-12,29476
255,2022-09-13,23827
256,2022-09-14,25649
257,2022-09-15,52763
258,2022-09-16,93959
259,2022-09-17,1495
260,2022-09-18,1335
261,2022-09-19,2971
262,2022-09-20,39749
263,2022-09-21,27692
264,2022-09-22,42626
265,2022-09-23,107252
266,2022-09-24,1857
267,2022-09-25,1536
268,2022-09-26,35635
269,2022-09-27,35613
270,2022-09-28,54701
271,2022-09-29,54795
272,2022-09-30,204363
273,2022-10-01,3004
274,2022-10-02,1856
275,2022-10-03,49862
276,2022-10-04,32997
277,2022-10-05,40514
278,2022-10-06,44590
279,2022-10-07,101103
280,2022-10-08,1755
281,2022-10-09,1587
282,2022-10-10,35098
283,2022-10-11,24464
284,2022-10-12,29727
285,2022-10-13,39546
286,2022-10-14,103710
287,2022-10-15,2005
288,2022-10-16,1233
289,2022-10-17,33359
290,2022-10-18,26670
291,2022-10-19,28171
292,2022-10-20,43926
293,2022-10-21,97569
294,2022-10-22,1964
295,2022-10-23,1398
296,2022-10-24,30992
297,2022-10-25,38023
298,2022-10-26,38528
299,2022-10-27,54279
300,2022-10-28,149670
301,2022-10-29,1940
302,2022-10-30,2240
303,2022-10-31,113043
304,2022-11-01,51100
305,2022-11-02,32941
306,2022-11-03,43314
307,2022-11-04,107174
308,2022-11-05,1868
309,2022-11-06,1862
310,2022-11-07,34440
311,2022-11-08,26160
312,2022-11-09,25844
313,2022-11-10,45399
314,2022-11-11,95915
315,2022-11-12,1475
316,2022-11-13,1424
317,2022-11-14,31751
318,2022-11-15,39316
319,2022-11-16,26611
320,2022-11-17,38119
321,2022-11-18,99629
322,2022-11-19,1629
323,2022-11-20,1657
324,2022-11-21,31239
325,2022-11-22,24565
326,2022-11-23,25077
327,2022-11-24,44131
328,2022-11-25,145195
329,2022-11-26,1597
330,2022-11-27,1645
331,2022-11-28,57146
332,2022-11-29,34339
333,2022-11-30,114475
334,2022-12-01,61430
335,2022-12-02,104485
336,2022-12-03,1706
337,2022-12-04,1940
338,2022-12-05,42380
339,2022-12-06,28054
340,2022-12-07,30613
341,2022-12-08,38090
342,2022-12-09,102676
343,2022-12-10,1602
344,2022-12-11,1752
345,2022-12-12,29242
346,2022-12-13,26415
347,2022-12-14,28334
348,2022-12-15,52010
349,2022-12-16,110822
350,2022-12-17,1685
351,2022-12-18,1594
352,2022-12-19,34755
353,2022-12-20,38331
354,2022-12-21,47798
355,2022-12-22,70353
356,2022-12-23,156995
357,2022-12-24,1605
358,2022-12-25,704
359,2022-12-26,949
360,2022-12-27,1934
361,2022-12-28,34109
362,2022-12-29,31869
363,2022-12-30,118125
364,2022-12-31,3518
365,2023-01-01,1771
366,2023-01-02,2560
367,2023-01-03,43481
368,2023-01-04,28757
369,2023-01-05,48281
370,2023-01-06,89885
371,2023-01-07,1688
372,2023-01-08,1433
373,2023-01-09,30448
374,2023-01-10,29134
375,2023-01-11,28573
376,2023-01-12,37259
377,2023-01-13,97257
378,2023-01-14,1928
379,2023-01-15,1979
380,2023-01-16,35207
381,2023-01-17,25087
382,2023-01-18,25324
383,2023-01-19,36291
384,2023-01-20,101939
385,2023-01-21,1675
386,2023-01-22,1483
387,2023-01-23,26903
388,2023-01-24,26199
389,2023-01-25,36965
390,2023-01-26,53189
391,2023-01-27,140799
392,2023-01-28,2362
393,2023-01-29,1615
394,2023-01-30,39552
395,2023-01-31,104515
396,2023-02-01,44280
397,2023-02-02,40505
398,2023-02-03,100621
399,2023-02-04,1863
400,2023-02-05,1683
401,2023-02-06,34905
402,2023-02-07,29185
403,2023-02-08,25363
404,2023-02-09,35212
405,2023-02-10,97131
406,2023-02-11,1754
407,2023-02-12,1382
408,2023-02-13,25837
409,2023-02-14,24303
410,2023-02-15,38312
411,2023-02-16,34489
412,2023-02-17,90912
413,2023-02-18,1417
414,2023-02-19,1649
415,2023-02-20,33955
416,2023-02-21,25594
417,2023-02-22,27947
418,2023-02-23,47214
419,2023-02-24,129829
420,2023-02-25,1979
421,2023-02-26,1698
422,2023-02-27,43552
423,2023-02-28,135832
424,2023-03-01,49801
425,2023-03-02,45201
426,2023-03-03,101645
427,2023-03-04,1599
428,2023-03-05,1801
429,2023-03-06,36017
430,2023-03-07,29304
431,2023-03-08,25611
432,2023-03-09,36894
433,2023-03-10,96303
434,2023-03-11,1539
435,2023-03-12,1434
436,2023-03-13,28029
437,2023-03-14,25326
438,2023-03-15,36485
439,2023-03-16,36637
440,2023-03-17,95244
441,2023-03-18,1656
442,2023-03-19,1358
443,2023-03-20,34205
444,2023-03-21,25834
445,2023-03-22,26357
446,2023-03-23,37350
447,2023-03-24,111304
448,2023-03-25,1743
449,2023-03-26,1793
450,2023-03-27,33180
451,2023-03-28,55361
452,2023-03-29,33504
453,2023-03-30,51492
454,2023-03-31,200684
455,2023-04-01,3148
456,2023-04-02,1592
457,2023-04-03,48506
458,2023-04-04,36095
459,2023-04-05,41062
460,2023-04-06,119568
461,2023-04-07,6023
462,2023-04-08,1224
463,2023-04-09,965
464,2023-04-10,2820
465,2023-04-11,39929
466,2023-04-12,27488
467,2023-04-13,41383
468,2023-04-14,100892
469,2023-04-15,1910
470,2023-04-16,1495
471,2023-04-17,35001
472,2023-04-18,28716
473,2023-04-19,27229
474,2023-04-20,44630
475,2023-04-21,91501
476,2023-04-22,2891
477,2023-04-23,1416
478,2023-04-24,31352
479,2023-04-25,43446
480,2023-04-26,36035
481,2023-04-27,55776
482,2023-04-28,230998
483,2023-04-29,2681
484,2023-04-30,3126
485,2023-05-01,3988
486,2023-05-02,59836
487,2023-05-03,30191
488,2023-05-04,44827
489,2023-05-05,111403
490,2023-05-06,1532
491,2023-05-07,1101
492,2023-05-08,3043
493,2023-05-09,33996
494,2023-05-10,31986
495,2023-05-11,39884
496,2023-05-12,94734
497,2023-05-13,1693
498,2023-05-14,1629
499,2023-05-15,41528
500,2023-05-16,26295
501,2023-05-17,26763
502,2023-05-18,35947
503,2023-05-19,93272
504,2023-05-20,1962
505,2023-05-21,1349
506,2023-05-22,28689
507,2023-05-23,25171
508,2023-05-24,27861
509,2023-05-25,61516
510,2023-05-26,150338
511,2023-05-27,1827
512,2023-05-28,1627
513,2023-05-29,3751
514,2023-05-30,45069
515,2023-05-31,110194
516,2023-06-01,59085
517,2023-06-02,97495
518,2023-06-03,1700
519,2023-06-04,1576
520,2023-06-05,37431
521,2023-06-06,27899
522,2023-06-07,30695
523,2023-06-08,37325
524,2023-06-09,94928
525,2023-06-10,1905
526,2023-06-11,1406
527,2023-06-12,27604
528,2023-06-13,23978
529,2023-06-14,25436
530,2023-06-15,49155
531,2023-06-16,92827
532,2023-06-17,1610
533,2023-06-18,1283
534,2023-06-19,26639
535,2023-06-20,28122
536,2023-06-21,25476
537,2023-06-22,38156
538,2023-06-23,107854
539,2023-06-24,1664
540,2023-06-25,1820
541,2023-06-26,33229
542,2023-06-27,36320
543,2023-06-28,53481
544,2023-06-29,56554
545,2023-06-30,192977
546,2023-07-01,2917
547,2023-07-02,1725
548,2023-07-03,49336
549,2023-07-04,30264
550,2023-07-05,37553
551,2023-07-06,42322
552,2023-07-07,99258
553,2023-07-08,1680
554,2023-07-09,1534
555,2023-07-10,32385
556,2023-07-11,25805
557,2023-07-12,28789
558,2023-07-13,37151
559,2023-07-14,101080
560,2023-07-15,2140
561,2023-07-16,1363
562,2023-07-17,30166
563,2023-07-18,24685
564,2023-07-19,26112
565,2023-07-20,42248
566,2023-07-21,96288
567,2023-07-22,1883
568,2023-07-23,1521
569,2023-07-24,27104
570,2023-07-25,38838
571,2023-07-26,36584
572,2023-07-27,50547
573,2023-07-28,142526
574,2023-07-29,1972
575,2023-07-30,2341
576,2023-07-31,113289
577,2023-08-01,48327
578,2023-08-02,30416
579,2023-08-03,40167
580,2023-08-04,100675
581,2023-08-05,2293
582,2023-08-06,1709
583,2023-08-07,29827
584,2023-08-08,26287
585,2023-08-09,23946
586,2023-08-10,42230
587,2023-08-11,84873
588,2023-08-12,1499
589,2023-08-13,1603
590,2023-08-14,25018
591,2023-08-15,37757
592,2023-08-16,24971
593,2023-08-17,36597
594,2023-08-18,92453
595,2023-08-19,1812
596,2023-08-20,1720
597,2023-08-21,26298
598,2023-08-22,25302
599,2023-08-23,23104
600,2023-08-24,41111
601,2023-08-25,153266
602,2023-08-26,1796
603,2023-08-27,1291
604,2023-08-28,3874
605,2023-08-29,37516
606,2023-08-30,35738
607,2023-08-31,129181
608,2023-09-01,109992
609,2023-09-02,1893
610,2023-09-03,1502
611,2023-09-04,30744
612,2023-09-05,34832
613,2023-09-06,29238
614,2023-09-07,40360
615,2023-09-08,91040
616,2023-09-09,1496
617,2023-09-10,1652
618,2023-09-11,27961
619,2023-09-12,23922
620,2023-09-13,24477
621,2023-09-14,41271
622,2023-09-15,102960
623,2023-09-16,1823
624,2023-09-17,1297
625,2023-09-18,25422
626,2023-09-19,26011
627,2023-09-20,29485
628,2023-09-21,36833
629,2023-09-22,90041
630,2023-09-23,1904
631,2023-09-24,1518
632,2023-09-25,40285
633,2023-09-26,35893
634,2023-09-27,33764
635,2023-09-28,75797
636,2023-09-29,197230
637,2023-09-30,5333
