,reporting_date,volume
0,2022-01-01,505706
1,2022-01-02,487861
2,2022-01-03,574637
3,2022-01-04,2065710
4,2022-01-05,802534
5,2022-01-06,773010
6,2022-01-07,953615
7,2022-01-08,541095
8,2022-01-09,482577
9,2022-01-10,992507
10,2022-01-11,690773
11,2022-01-12,686104
12,2022-01-13,720780
13,2022-01-14,988160
14,2022-01-15,568495
15,2022-01-16,496185
16,2022-01-17,1015257
17,2022-01-18,704572
18,2022-01-19,691520
19,2022-01-20,838092
20,2022-01-21,999446
21,2022-01-22,569201
22,2022-01-23,499772
23,2022-01-24,938051
24,2022-01-25,863508
25,2022-01-26,815718
26,2022-01-27,904170
27,2022-01-28,1356883
28,2022-01-29,637594
29,2022-01-30,600988
30,2022-01-31,1331572
31,2022-02-01,1884082
32,2022-02-02,885580
33,2022-02-03,864402
34,2022-02-04,1054411
35,2022-02-05,596769
36,2022-02-06,536952
37,2022-02-07,1015035
38,2022-02-08,727425
39,2022-02-09,704057
40,2022-02-10,834021
41,2022-02-11,972891
42,2022-02-12,576447
43,2022-02-13,514829
44,2022-02-14,886654
45,2022-02-15,863298
46,2022-02-16,731019
47,2022-02-17,758924
48,2022-02-18,967897
49,2022-02-19,572813
50,2022-02-20,508658
51,2022-02-21,963740
52,2022-02-22,715766
53,2022-02-23,727243
54,2022-02-24,831095
55,2022-02-25,1295413
56,2022-02-26,638801
57,2022-02-27,603990
58,2022-02-28,1809630
59,2022-03-01,1940136
60,2022-03-02,926575
61,2022-03-03,894466
62,2022-03-04,1080332
63,2022-03-05,630704
64,2022-03-06,544882
65,2022-03-07,1034962
66,2022-03-08,744563
67,2022-03-09,731050
68,2022-03-10,859907
69,2022-03-11,1005234
70,2022-03-12,586578
71,2022-03-13,517022
72,2022-03-14,912351
73,2022-03-15,884046
74,2022-03-16,762748
75,2022-03-17,784930
76,2022-03-18,1023545
77,2022-03-19,577995
78,2022-03-20,518609
79,2022-03-21,994011
80,2022-03-22,739156
81,2022-03-23,739721
82,2022-03-24,833845
83,2022-03-25,1280791
84,2022-03-26,632092
85,2022-03-27,542660
86,2022-03-28,1264864
87,2022-03-29,813023
88,2022-03-30,894552
89,2022-03-31,1178704
90,2022-04-01,2221330
91,2022-04-02,670261
92,2022-04-03,565683
93,2022-04-04,1153437
94,2022-04-05,862064
95,2022-04-06,799000
96,2022-04-07,841469
97,2022-04-08,1051731
98,2022-04-09,626157
99,2022-04-10,516509
100,2022-04-11,978036
101,2022-04-12,745659
102,2022-04-13,745118
103,2022-04-14,965384
104,2022-04-15,673412
105,2022-04-16,531417
106,2022-04-17,419716
107,2022-04-18,535593
108,2022-04-19,1242431
109,2022-04-20,849055
110,2022-04-21,826886
111,2022-04-22,1036387
112,2022-04-23,597504
113,2022-04-24,527995
114,2022-04-25,1135460
115,2022-04-26,852979
116,2022-04-27,870600
117,2022-04-28,1129968
118,2022-04-29,1483435
119,2022-04-30,738121
120,2022-05-01,668208
121,2022-05-02,685542
122,2022-05-03,2237396
123,2022-05-04,869198
124,2022-05-05,923400
125,2022-05-06,1069004
126,2022-05-07,569527
127,2022-05-08,560392
128,2022-05-09,966139
129,2022-05-10,835423
130,2022-05-11,746784
131,2022-05-12,804366
132,2022-05-13,1025276
133,2022-05-14,544950
134,2022-05-15,572873
135,2022-05-16,1060895
136,2022-05-17,731572
137,2022-05-18,744191
138,2022-05-19,783980
139,2022-05-20,1113724
140,2022-05-21,587049
141,2022-05-22,522797
142,2022-05-23,958470
143,2022-05-24,786249
144,2022-05-25,908967
145,2022-05-26,925372
146,2022-05-27,1254677
147,2022-05-28,643460
148,2022-05-29,551443
149,2022-05-30,1227412
150,2022-05-31,1111636
151,2022-06-01,2061325
152,2022-06-02,668234
153,2022-06-03,613764
154,2022-06-04,531773
155,2022-06-05,529635
156,2022-06-06,1419260
157,2022-06-07,810251
158,2022-06-08,783244
159,2022-06-09,801537
160,2022-06-10,1082406
161,2022-06-11,575913
162,2022-06-12,519872
163,2022-06-13,908937
164,2022-06-14,758833
165,2022-06-15,906952
166,2022-06-16,828170
167,2022-06-17,1006213
168,2022-06-18,576611
169,2022-06-19,538839
170,2022-06-20,1014462
171,2022-06-21,762883
172,2022-06-22,741853
173,2022-06-23,824013
174,2022-06-24,1169401
175,2022-06-25,604430
176,2022-06-26,538397
177,2022-06-27,1144581
178,2022-06-28,1033562
179,2022-06-29,882261
180,2022-06-30,1102634
181,2022-07-01,2323357
182,2022-07-02,666260
183,2022-07-03,571087
184,2022-07-04,1154746
185,2022-07-05,870436
186,2022-07-06,799897
187,2022-07-07,835885
188,2022-07-08,1032550
189,2022-07-09,560875
190,2022-07-10,506942
191,2022-07-11,969280
192,2022-07-12,749353
193,2022-07-13,728185
194,2022-07-14,813481
195,2022-07-15,1171996
196,2022-07-16,569830
197,2022-07-17,507930
198,2022-07-18,962619
199,2022-07-19,746700
200,2022-07-20,840464
201,2022-07-21,816750
202,2022-07-22,1029013
203,2022-07-23,574986
204,2022-07-24,517966
205,2022-07-25,1083157
206,2022-07-26,834000
207,2022-07-27,864894
208,2022-07-28,1127370
209,2022-07-29,1361981
210,2022-07-30,666536
211,2022-07-31,631878
212,2022-08-01,2079464
213,2022-08-02,900732
214,2022-08-03,828274
215,2022-08-04,837996
216,2022-08-05,1084445
217,2022-08-06,563474
218,2022-08-07,505551
219,2022-08-08,948509
220,2022-08-09,719567
221,2022-08-10,791106
222,2022-08-11,756019
223,2022-08-12,961673
224,2022-08-13,540913
225,2022-08-14,497762
226,2022-08-15,1036245
227,2022-08-16,745670
228,2022-08-17,717372
229,2022-08-18,792002
230,2022-08-19,998203
231,2022-08-20,578069
232,2022-08-21,496152
233,2022-08-22,981038
234,2022-08-23,737998
235,2022-08-24,774340
236,2022-08-25,962817
237,2022-08-26,1286694
238,2022-08-27,614371
239,2022-08-28,504446
240,2022-08-29,597371
241,2022-08-30,1283745
242,2022-08-31,1115696
243,2022-09-01,1979791
244,2022-09-02,1178434
245,2022-09-03,624420
246,2022-09-04,560734
247,2022-09-05,1101007
248,2022-09-06,786772
249,2022-09-07,776230
250,2022-09-08,776956
251,2022-09-09,977331
252,2022-09-10,579551
253,2022-09-11,516230
254,2022-09-12,965097
255,2022-09-13,707889
256,2022-09-14,739637
257,2022-09-15,949481
258,2022-09-16,1081088
259,2022-09-17,595609
260,2022-09-18,495241
261,2022-09-19,474418
262,2022-09-20,1049797
263,2022-09-21,765257
264,2022-09-22,829591
265,2022-09-23,1126093
