,reporting_date,volume
0,2022-01-01,1867
1,2022-01-02,2399
2,2022-01-03,2876
3,2022-01-04,3439
4,2022-01-05,3419
5,2022-01-06,3094
6,2022-01-07,3808
7,2022-01-08,3885
8,2022-01-09,2614
9,2022-01-10,3340
10,2022-01-11,3450
11,2022-01-12,3576
12,2022-01-13,3638
13,2022-01-14,4267
14,2022-01-15,4129
15,2022-01-16,2936
16,2022-01-17,3748
17,2022-01-18,3586
18,2022-01-19,3811
19,2022-01-20,4026
20,2022-01-21,4781
21,2022-01-22,4649
22,2022-01-23,3104
23,2022-01-24,3530
24,2022-01-25,3465
25,2022-01-26,3527
26,2022-01-27,3759
27,2022-01-28,4322
28,2022-01-29,4375
29,2022-01-30,2905
30,2022-01-31,3301
31,2022-02-01,3452
32,2022-02-02,3365
33,2022-02-03,3690
34,2022-02-04,4069
35,2022-02-05,4342
36,2022-02-06,2758
37,2022-02-07,3445
38,2022-02-08,3494
39,2022-02-09,3651
40,2022-02-10,4045
41,2022-02-11,4874
42,2022-02-12,4983
43,2022-02-13,3121
44,2022-02-14,3822
45,2022-02-15,3856
46,2022-02-16,3931
47,2022-02-17,4274
48,2022-02-18,4161
49,2022-02-19,5098
50,2022-02-20,3206
51,2022-02-21,3754
52,2022-02-22,4213
53,2022-02-23,4079
54,2022-02-24,4457
55,2022-02-25,5197
56,2022-02-26,4849
57,2022-02-27,3366
58,2022-02-28,3399
59,2022-03-01,3688
60,2022-03-02,3473
61,2022-03-03,3805
62,2022-03-04,4521
63,2022-03-05,4897
64,2022-03-06,3052
65,2022-03-07,3792
66,2022-03-08,3591
67,2022-03-09,3819
68,2022-03-10,4381
69,2022-03-11,4572
70,2022-03-12,5083
71,2022-03-13,3389
72,2022-03-14,3785
73,2022-03-15,4107
74,2022-03-16,4010
75,2022-03-17,4765
76,2022-03-18,5362
77,2022-03-19,5144
78,2022-03-20,3633
79,2022-03-21,4021
80,2022-03-22,3845
81,2022-03-23,3991
82,2022-03-24,4542
83,2022-03-25,5106
84,2022-03-26,5345
85,2022-03-27,3269
86,2022-03-28,3631
87,2022-03-29,3743
88,2022-03-30,3974
89,2022-03-31,3953
90,2022-04-01,4849
91,2022-04-02,4933
92,2022-04-03,3193
93,2022-04-04,3728
94,2022-04-05,4201
95,2022-04-06,4257
96,2022-04-07,4585
97,2022-04-08,5215
98,2022-04-09,5629
99,2022-04-10,3673
100,2022-04-11,4226
101,2022-04-12,4401
102,2022-04-13,4845
103,2022-04-14,5278
104,2022-04-15,5186
105,2022-04-16,5526
106,2022-04-17,3680
107,2022-04-18,4169
108,2022-04-19,5098
109,2022-04-20,4765
110,2022-04-21,5201
111,2022-04-22,5601
112,2022-04-23,5999
113,2022-04-24,3872
114,2022-04-25,4073
115,2022-04-26,4039
116,2022-04-27,4423
117,2022-04-28,4506
118,2022-04-29,4793
119,2022-04-30,4805
120,2022-05-01,3531
121,2022-05-02,3538
122,2022-05-03,4206
123,2022-05-04,4332
124,2022-05-05,4622
125,2022-05-06,4844
126,2022-05-07,5534
127,2022-05-08,3627
128,2022-05-09,4278
129,2022-05-10,4402
130,2022-05-11,4419
131,2022-05-12,4889
132,2022-05-13,5564
133,2022-05-14,5608
134,2022-05-15,3591
135,2022-05-16,4104
136,2022-05-17,4672
137,2022-05-18,4796
138,2022-05-19,5020
139,2022-05-20,5901
140,2022-05-21,5980
141,2022-05-22,4461
142,2022-05-23,4313
143,2022-05-24,4456
144,2022-05-25,4559
145,2022-05-26,4830
146,2022-05-27,5470
147,2022-05-28,5706
148,2022-05-29,3738
149,2022-05-30,4644
150,2022-05-31,4350
151,2022-06-01,4988
152,2022-06-02,4991
153,2022-06-03,4895
154,2022-06-04,5296
155,2022-06-05,3672
156,2022-06-06,4536
157,2022-06-07,4862
158,2022-06-08,5109
159,2022-06-09,5381
160,2022-06-10,6225
161,2022-06-11,6242
162,2022-06-12,4115
163,2022-06-13,4712
164,2022-06-14,4926
165,2022-06-15,5420
166,2022-06-16,5627
167,2022-06-17,6316
168,2022-06-18,6486
