,reporting_date,volume
0,2022-01-01,190513
1,2022-01-02,393552
2,2022-01-03,252474
3,2022-01-04,311538
4,2022-01-05,307065
5,2022-01-06,306921
6,2022-01-07,393284
7,2022-01-08,341282
8,2022-01-09,417410
9,2022-01-10,329192
10,2022-01-11,315924
11,2022-01-12,319267
12,2022-01-13,342750
13,2022-01-14,444342
14,2022-01-15,390572
15,2022-01-16,440648
16,2022-01-17,334226
17,2022-01-18,317519
18,2022-01-19,322343
19,2022-01-20,351114
20,2022-01-21,453392
21,2022-01-22,404288
22,2022-01-23,443097
23,2022-01-24,334357
24,2022-01-25,332355
25,2022-01-26,341422
26,2022-01-27,376382
27,2022-01-28,498918
28,2022-01-29,433647
29,2022-01-30,482141
30,2022-01-31,371622
31,2022-02-01,360220
32,2022-02-02,358587
33,2022-02-03,376807
34,2022-02-04,470341
35,2022-02-05,418361
36,2022-02-06,453885
37,2022-02-07,352373
38,2022-02-08,339340
39,2022-02-09,345890
40,2022-02-10,372105
41,2022-02-11,477800
42,2022-02-12,413726
43,2022-02-13,440626
44,2022-02-14,351993
45,2022-02-15,328358
46,2022-02-16,331017
47,2022-02-17,379230
48,2022-02-18,378640
49,2022-02-19,405752
50,2022-02-20,422690
51,2022-02-21,344900
52,2022-02-22,342939
53,2022-02-23,346133
54,2022-02-24,365696
55,2022-02-25,521302
56,2022-02-26,452560
57,2022-02-27,505424
58,2022-02-28,394513
59,2022-03-01,368483
60,2022-03-02,352822
61,2022-03-03,390382
62,2022-03-04,494167
63,2022-03-05,471533
64,2022-03-06,499932
65,2022-03-07,354614
66,2022-03-08,345103
67,2022-03-09,346124
68,2022-03-10,386034
69,2022-03-11,469925
70,2022-03-12,437964
71,2022-03-13,477079
72,2022-03-14,354683
73,2022-03-15,356124
74,2022-03-16,336524
75,2022-03-17,395546
76,2022-03-18,490230
77,2022-03-19,430946
78,2022-03-20,486281
79,2022-03-21,362401
80,2022-03-22,343926
81,2022-03-23,350913
82,2022-03-24,388226
83,2022-03-25,519236
84,2022-03-26,467621
85,2022-03-27,496278
86,2022-03-28,364708
87,2022-03-29,349666
88,2022-03-30,351044
89,2022-03-31,412744
90,2022-04-01,512187
91,2022-04-02,455487
92,2022-04-03,504925
93,2022-04-04,352996
94,2022-04-05,354251
95,2022-04-06,348618
96,2022-04-07,381929
97,2022-04-08,497577
98,2022-04-09,450908
99,2022-04-10,500360
100,2022-04-11,365526
101,2022-04-12,354763
102,2022-04-13,384710
