,reporting_date,volume
0,2022-01-01,9966
1,2022-01-02,21899
2,2022-01-03,18242
3,2022-01-04,38639
4,2022-01-05,36104
5,2022-01-06,31069
6,2022-01-07,40729
7,2022-01-08,30443
8,2022-01-09,23697
9,2022-01-10,36830
10,2022-01-11,34071
11,2022-01-12,34492
12,2022-01-13,35715
13,2022-01-14,45308
14,2022-01-15,37242
15,2022-01-16,23817
16,2022-01-17,37330
17,2022-01-18,34378
18,2022-01-19,33768
19,2022-01-20,36491
20,2022-01-21,45489
21,2022-01-22,38936
22,2022-01-23,23671
23,2022-01-24,36828
24,2022-01-25,35400
25,2022-01-26,35210
26,2022-01-27,38058
27,2022-01-28,50293
28,2022-01-29,40466
29,2022-01-30,25248
30,2022-01-31,40922
31,2022-02-01,39618
32,2022-02-02,38045
33,2022-02-03,38956
34,2022-02-04,45882
35,2022-02-05,39052
36,2022-02-06,23232
37,2022-02-07,39547
38,2022-02-08,36543
39,2022-02-09,36237
40,2022-02-10,38235
41,2022-02-11,49329
42,2022-02-12,39042
43,2022-02-13,21647
44,2022-02-14,38074
45,2022-02-15,33256
46,2022-02-16,34590
47,2022-02-17,39146
48,2022-02-18,28981
49,2022-02-19,35832
50,2022-02-20,21227
51,2022-02-21,37395
52,2022-02-22,38251
53,2022-02-23,38593
54,2022-02-24,36282
55,2022-02-25,54980
56,2022-02-26,44220
57,2022-02-27,28101
58,2022-02-28,44858
59,2022-03-01,42099
60,2022-03-02,37194
61,2022-03-03,41922
62,2022-03-04,50517
63,2022-03-05,45843
64,2022-03-06,27176
65,2022-03-07,41225
66,2022-03-08,38333
67,2022-03-09,37653
68,2022-03-10,40652
69,2022-03-11,46326
70,2022-03-12,42843
71,2022-03-13,25214
72,2022-03-14,41611
73,2022-03-15,40394
74,2022-03-16,34623
75,2022-03-17,41004
76,2022-03-18,49996
77,2022-03-19,41832
78,2022-03-20,26615
79,2022-03-21,40744
80,2022-03-22,38218
81,2022-03-23,38526
82,2022-03-24,40988
83,2022-03-25,53356
84,2022-03-26,45338
85,2022-03-27,25131
86,2022-03-28,40594
87,2022-03-29,37975
88,2022-03-30,36881
89,2022-03-31,41018
90,2022-04-01,53131
91,2022-04-02,44987
92,2022-04-03,27865
93,2022-04-04,40584
94,2022-04-05,40715
95,2022-04-06,37585
96,2022-04-07,39079
97,2022-04-08,52492
98,2022-04-09,44715
99,2022-04-10,26964
100,2022-04-11,42757
101,2022-04-12,39331
102,2022-04-13,42265
103,2022-04-14,53529
104,2022-04-15,29791
105,2022-04-16,41217
106,2022-04-17,19988
107,2022-04-18,16580
108,2022-04-19,45328
109,2022-04-20,41749
110,2022-04-21,42768
111,2022-04-22,50910
112,2022-04-23,41564
113,2022-04-24,25455
114,2022-04-25,42365
115,2022-04-26,41467
116,2022-04-27,40205
117,2022-04-28,43775
118,2022-04-29,60958
119,2022-04-30,49181
120,2022-05-01,30220
121,2022-05-02,18957
122,2022-05-03,48715
123,2022-05-04,41818
124,2022-05-05,43767
125,2022-05-06,51072
126,2022-05-07,44212
127,2022-05-08,27425
128,2022-05-09,41270
129,2022-05-10,39840
130,2022-05-11,36663
131,2022-05-12,42181
132,2022-05-13,51886
