,reporting_date,volume
0,2022-01-04,259414
1,2022-01-05,410971
2,2022-01-06,777292
3,2022-01-07,1083502
4,2022-01-10,674644
5,2022-01-11,365680
6,2022-01-12,294730
7,2022-01-13,958164
8,2022-01-14,945232
9,2022-01-17,432035
10,2022-01-18,397816
11,2022-01-19,370325
12,2022-01-20,858021
13,2022-01-21,975033
14,2022-01-24,631733
15,2022-01-25,432146
16,2022-01-26,461906
17,2022-01-27,1106217
18,2022-01-28,1716974
19,2022-01-31,851419
20,2022-02-01,312611
21,2022-02-02,310070
22,2022-02-03,812228
23,2022-02-04,1038291
24,2022-02-07,689477
25,2022-02-08,345527
26,2022-02-09,370832
27,2022-02-10,745205
28,2022-02-11,956546
29,2022-02-14,579393
30,2022-02-15,341432
31,2022-02-16,314319
32,2022-02-17,821458
33,2022-02-18,946721
34,2022-02-21,414505
35,2022-02-22,379875
36,2022-02-23,449989
37,2022-02-24,1314874
38,2022-02-25,2177236
39,2022-02-28,739215
40,2022-03-01,336731
41,2022-03-02,325167
42,2022-03-03,833009
43,2022-03-04,972683
44,2022-03-07,691549
45,2022-03-08,351943
46,2022-03-09,377257
47,2022-03-10,777502
48,2022-03-11,924087
49,2022-03-14,582168
50,2022-03-15,400495
51,2022-03-16,327284
52,2022-03-17,779836
53,2022-03-18,941088
54,2022-03-21,430555
55,2022-03-22,369441
56,2022-03-23,388687
57,2022-03-24,1246093
58,2022-03-25,1143051
59,2022-03-28,413277
60,2022-03-29,428987
61,2022-03-30,1236145
62,2022-03-31,1137554
63,2022-04-01,909333
64,2022-04-04,463640
65,2022-04-05,415097
66,2022-04-06,349670
67,2022-04-07,1064149
68,2022-04-08,930063
69,2022-04-11,400529
70,2022-04-12,361352
71,2022-04-13,2002563
72,2022-04-14,495280
73,2022-04-19,403079
74,2022-04-20,453223
75,2022-04-21,918254
76,2022-04-22,1287663
77,2022-04-25,556900
78,2022-04-26,550558
79,2022-04-27,759022
80,2022-04-28,2937461
81,2022-04-29,585369
82,2022-05-03,392285
