,reporting_date,volume
0,2022-01-04,1729615
1,2022-01-05,1657805
2,2022-01-06,1367322
3,2022-01-07,3325430
4,2022-01-10,845255
5,2022-01-11,1159533
6,2022-01-12,723533
7,2022-01-13,1033014
8,2022-01-14,3722732
9,2022-01-17,852395
10,2022-01-18,1154576
11,2022-01-19,1095274
12,2022-01-20,1176354
13,2022-01-21,2230041
14,2022-01-24,1156632
15,2022-01-25,1275992
16,2022-01-26,887199
17,2022-01-27,2304112
18,2022-01-28,1977810
19,2022-01-31,10142514
20,2022-02-01,1778183
21,2022-02-02,1240818
22,2022-02-03,1118848
23,2022-02-04,2597707
24,2022-02-07,1460219
25,2022-02-08,1032617
26,2022-02-09,1583953
27,2022-02-10,1002923
28,2022-02-11,1816139
29,2022-02-14,2200021
30,2022-02-15,1285535
31,2022-02-16,889033
32,2022-02-17,934000
33,2022-02-18,2251950
34,2022-02-21,1181349
35,2022-02-22,1133386
36,2022-02-23,870976
37,2022-02-24,1277023
38,2022-02-25,4012704
39,2022-02-28,9972989
40,2022-03-01,2004385
41,2022-03-02,1335473
42,2022-03-03,1234240
43,2022-03-04,2782061
44,2022-03-07,1500278
45,2022-03-08,1132419
46,2022-03-09,1727679
47,2022-03-10,879712
48,2022-03-11,1988736
49,2022-03-14,2179265
50,2022-03-15,1359345
51,2022-03-16,853545
52,2022-03-17,952379
53,2022-03-18,2284811
54,2022-03-21,1229960
55,2022-03-22,1254237
56,2022-03-23,860967
57,2022-03-24,1287895
58,2022-03-25,3237708
59,2022-03-28,706645
60,2022-03-29,1022187
61,2022-03-30,1099201
62,2022-03-31,11231426
63,2022-04-01,2866218
64,2022-04-04,1538580
65,2022-04-05,1256250
66,2022-04-06,1029015
67,2022-04-07,1685685
68,2022-04-08,2687291
69,2022-04-11,836096
70,2022-04-12,977893
71,2022-04-13,951213
72,2022-04-14,4451169
73,2022-04-19,1460062
74,2022-04-20,1818823
75,2022-04-21,1354672
76,2022-04-22,2220144
77,2022-04-25,1079043
78,2022-04-26,1272722
79,2022-04-27,2187984
80,2022-04-28,1066175
81,2022-04-29,13158337
82,2022-05-03,1491948
83,2022-05-04,2244613
84,2022-05-05,1165477
85,2022-05-06,2776845
86,2022-05-09,1750083
87,2022-05-10,1098996
88,2022-05-11,934915
89,2022-05-12,856009
90,2022-05-13,3733186
91,2022-05-16,956476
92,2022-05-17,1121649
93,2022-05-18,853615
94,2022-05-19,1241835
95,2022-05-20,2530586
96,2022-05-23,831592
97,2022-05-24,1497724
98,2022-05-25,923139
99,2022-05-26,1109738
100,2022-05-27,2957671
101,2022-05-30,1224452
102,2022-05-31,11433893
103,2022-06-01,4336159
104,2022-06-06,1271714
105,2022-06-07,2530944
106,2022-06-08,787629
107,2022-06-09,1873426
108,2022-06-10,1814196
109,2022-06-13,879773
110,2022-06-14,2768603
111,2022-06-15,987628
112,2022-06-16,1039376
113,2022-06-17,2180317
114,2022-06-20,1088264
115,2022-06-21,1434642
116,2022-06-22,806083
117,2022-06-23,973162
118,2022-06-24,2495680
119,2022-06-27,2051103
120,2022-06-28,995748
121,2022-06-29,1256963
122,2022-06-30,11368588
123,2022-07-01,3001910
124,2022-07-04,1587155
125,2022-07-05,1243404
126,2022-07-06,1096563
127,2022-07-07,1692521
128,2022-07-08,2652928
129,2022-07-11,836693
130,2022-07-12,782221
131,2022-07-13,1035008
132,2022-07-14,2712374
