,reporting_date,volume
0,2023-03-01,117515
1,2023-05-01,106937
2,2022-09-01,116887
3,2021-06-01,123459
4,2021-04-01,107187
5,2023-04-01,103382
6,2021-11-01,113182
7,2021-02-01,95210
8,2022-01-01,100186
9,2022-11-01,113747
10,2022-06-01,108559
11,2021-09-01,113465
12,2023-09-01,103217
13,2022-07-01,108021
14,2022-08-01,113484
15,2022-02-01,102575
16,2021-07-01,102489
17,2021-10-01,106111
18,2022-04-01,110379
19,2021-08-01,99172
20,2022-03-01,122654
21,2021-12-01,116689
22,2022-05-01,112237
23,2023-01-01,101675
24,2021-03-01,119058
25,2022-10-01,115800
26,2023-07-01,109756
27,2023-08-01,105772
28,2022-12-01,110476
29,2023-02-01,98526
30,2021-05-01,96528
31,2021-01-01,91783
32,2023-06-01,108665
