,reporting_date,volume
0,2023-04-01,17705
1,2021-12-01,31920
2,2022-08-01,31817
3,2022-04-01,30780
4,2022-12-01,25148
5,2022-05-01,32767
6,2022-01-01,32308
7,2022-07-01,29960
8,2023-05-01,20642
9,2021-04-01,29983
10,2023-07-01,23337
11,2022-03-01,35930
12,2022-11-01,28798
13,2022-02-01,30510
14,2022-06-01,30919
15,2023-02-01,19050
16,2023-08-01,25894
17,2023-06-01,22310
18,2021-03-01,38457
19,2021-05-01,27819
20,2022-10-01,31192
21,2022-09-01,32206
22,2023-09-01,24372
23,2021-08-01,28822
24,2021-10-01,29032
25,2023-01-01,23164
26,2021-02-01,30699
27,2021-01-01,30082
28,2021-07-01,28440
29,2021-11-01,33051
30,2023-03-01,21768
31,2021-09-01,36389
32,2021-06-01,42606
