,reporting_date,volume
0,2023-09-01,43368
1,2023-07-01,43657
2,2021-03-01,46397
3,2021-05-01,42170
4,2022-11-01,42788
5,2023-05-01,45157
6,2023-08-01,44321
7,2021-09-01,43612
8,2023-10-01,55
9,2021-12-01,47238
10,2022-01-01,39309
11,2022-12-01,46037
12,2021-04-01,43112
13,2021-10-01,42094
14,2023-02-01,39510
15,2022-07-01,40672
16,2022-02-01,39029
17,2021-06-01,44280
18,2022-09-01,42881
19,2022-06-01,42914
20,2021-01-01,38305
21,2023-04-01,39860
22,2022-08-01,43270
23,2022-03-01,44216
24,2021-07-01,41894
25,2022-05-01,42350
26,2021-11-01,43887
27,2022-10-01,42243
28,2023-01-01,42281
29,2022-04-01,40188
30,2023-03-01,46729
31,2021-02-01,37907
32,2021-08-01,40900
33,2023-06-01,45898
