,reporting_date,volume
0,2021-04-01,26730
1,2023-06-01,29170
2,2022-04-01,26876
3,2023-08-01,27920
4,2022-02-01,25550
5,2021-10-01,27014
6,2021-07-01,26576
7,2021-12-01,29218
8,2021-06-01,28557
9,2021-08-01,26487
10,2023-04-01,25747
11,2022-11-01,27697
12,2021-05-01,25063
13,2022-06-01,28820
14,2023-01-01,28620
15,2022-12-01,28179
16,2023-09-01,27025
17,2021-11-01,28529
18,2023-10-01,4
19,2022-09-01,27919
20,2022-07-01,27798
21,2022-10-01,27854
22,2022-01-01,27017
23,2023-05-01,30061
24,2022-03-01,30472
25,2021-01-01,25068
26,2022-08-01,29176
27,2021-09-01,27655
28,2021-03-01,30402
29,2023-07-01,28547
30,2023-02-01,26079
31,2021-02-01,25001
32,2022-05-01,29962
33,2023-03-01,30614
