,reporting_date,volume
0,2022-01-04,40827
1,2022-01-05,52844
2,2022-01-06,155156
3,2022-01-07,54300
4,2022-01-10,39222
5,2022-01-11,56076
6,2022-01-12,51960
7,2022-01-13,147472
8,2022-01-14,51460
9,2022-01-17,37311
10,2022-01-18,52944
11,2022-01-19,51432
12,2022-01-20,146200
13,2022-01-21,52184
14,2022-01-24,38481
15,2022-01-25,56016
16,2022-01-26,51952
17,2022-01-27,146840
18,2022-01-28,27836
19,2022-01-31,38211
20,2022-02-01,52528
21,2022-02-02,53508
22,2022-02-03,149156
23,2022-02-04,53472
24,2022-02-07,40626
25,2022-02-08,55932
26,2022-02-09,55432
27,2022-02-10,152500
28,2022-02-11,51868
29,2022-02-14,38361
30,2022-02-15,53764
31,2022-02-16,52424
32,2022-02-17,146452
33,2022-02-18,51496
34,2022-02-21,37590
35,2022-02-22,53676
36,2022-02-23,53040
37,2022-02-24,151344
38,2022-02-25,137952
39,2022-02-28,20016
40,2022-03-01,52228
41,2022-03-02,52568
42,2022-03-03,155124
43,2022-03-04,54776
44,2022-03-07,41061
45,2022-03-08,57116
46,2022-03-09,56936
47,2022-03-10,156276
48,2022-03-11,59252
49,2022-03-14,38949
50,2022-03-15,54816
51,2022-03-16,53116
52,2022-03-17,149140
53,2022-03-18,52244
54,2022-03-21,38265
55,2022-03-22,54144
56,2022-03-23,53916
57,2022-03-24,153948
58,2022-03-25,51828
59,2022-03-28,38661
60,2022-03-29,50324
61,2022-03-30,28208
62,2022-03-31,149880
63,2022-04-01,48772
64,2022-04-04,41226
65,2022-04-05,52488
66,2022-04-06,54664
67,2022-04-07,156760
68,2022-04-08,52328
69,2022-04-11,39966
70,2022-04-12,54560
71,2022-04-13,243380
72,2022-04-14,50436
73,2022-04-19,38034
74,2022-04-20,54984
75,2022-04-21,148044
76,2022-04-22,51288
77,2022-04-25,40464
78,2022-04-26,55096
79,2022-04-27,52452
80,2022-04-28,210908
81,2022-04-29,52220
82,2022-05-03,36129
83,2022-05-04,59004
84,2022-05-05,156228
85,2022-05-06,56552
