,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,817.0,,,
1,2022-01-05,851.0,,,
2,2022-01-06,896.0,,,
3,2022-01-07,1084.0,,,
4,2022-01-10,1267.0,,,
5,2022-01-11,1642.0,,,
6,2022-01-12,1180.0,,,
7,2022-01-13,1086.0,,,
8,2022-01-14,1079.0,,,
9,2022-01-17,1234.0,,,
10,2022-01-18,1423.0,,,
11,2022-01-19,1019.0,,,
12,2022-01-20,1080.0,,,
13,2022-01-21,1025.0,,,
14,2022-01-24,1107.0,,,
15,2022-01-25,1187.0,,,
16,2022-01-26,887.0,,,
17,2022-01-27,958.0,,,
18,2022-01-28,958.0,,,
19,2022-01-31,1239.0,,,
20,2022-02-01,1451.0,,,
21,2022-02-02,1011.0,,,
22,2022-02-03,1092.0,,,
23,2022-02-04,1133.0,,,
24,2022-02-07,1205.0,,,
25,2022-02-08,1479.0,,,
26,2022-02-09,960.0,,,
27,2022-02-10,1031.0,,,
28,2022-02-11,966.0,,,
29,2022-02-14,1020.0,,,
30,2022-02-15,1186.0,,,
31,2022-02-16,810.0,,,
32,2022-02-17,906.0,,,
33,2022-02-18,887.0,,,
34,2022-02-21,755.0,,,
35,2022-02-22,1104.0,,,
36,2022-02-23,852.0,,,
37,2022-02-24,967.0,,,
38,2022-02-25,755.0,,,
39,2022-02-28,1027.0,,,
40,2022-03-01,1148.0,,,
41,2022-03-02,884.0,,,
42,2022-03-03,973.0,,,
43,2022-03-04,952.0,,,
44,2022-03-07,1159.0,,,
45,2022-03-08,1309.0,,,
46,2022-03-09,958.0,,,
47,2022-03-10,986.0,,,
48,2022-03-11,911.0,,,
49,2022-03-14,996.0,,,
50,2022-03-15,1137.0,,,
51,2022-03-16,828.0,,,
52,2022-03-17,735.0,,,
53,2022-03-18,780.0,,,
54,2022-03-21,955.0,,,
55,2022-03-22,1226.0,,,
56,2022-03-23,926.0,,,
57,2022-03-24,873.0,,,
58,2022-03-25,916.0,,,
59,2022-03-28,1115.0,,,
60,2022-03-29,1350.0,,,
61,2022-03-30,903.0,,,
62,2022-03-31,1033.0,,,
63,2022-04-01,1075.0,,,
64,2022-04-04,1065.0,,,
65,2022-04-05,1370.0,,,
66,2022-04-06,994.0,,,
67,2022-04-07,1026.0,,,
68,2022-04-08,1039.0,,,
69,2022-04-11,1169.0,,,
70,2022-04-12,1314.0,,,
71,2022-04-13,976.0,,,
72,2022-04-14,895.0,,,
73,2022-04-19,1044.0,,,
74,2022-04-20,1214.0,,,
75,2022-04-21,888.0,,,
76,2022-04-22,944.0,,,
