,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,36372.0,,,
1,2022-01-05,52777.0,,,
2,2022-01-06,41160.0,,,
3,2022-01-07,38060.0,,,
4,2022-01-10,41772.0,,,
5,2022-01-11,57602.0,,,
6,2022-01-12,38053.0,,,
7,2022-01-13,34421.0,,,
8,2022-01-14,34775.0,,,
9,2022-01-17,37111.0,,,
10,2022-01-18,51361.0,,,
11,2022-01-19,33266.0,,,
12,2022-01-20,31766.0,,,
13,2022-01-21,31999.0,,,
14,2022-01-24,34122.0,,,
15,2022-01-25,46152.0,,,
16,2022-01-26,33187.0,,,
17,2022-01-27,31342.0,,,
18,2022-01-28,30365.0,,,
19,2022-01-31,33400.0,,,
20,2022-02-01,46250.0,,,
21,2022-02-02,33828.0,,,
22,2022-02-03,31269.0,,,
23,2022-02-04,30636.0,,,
24,2022-02-07,32643.0,,,
25,2022-02-08,43614.0,,,
26,2022-02-09,30653.0,,,
27,2022-02-10,29436.0,,,
28,2022-02-11,28600.0,,,
29,2022-02-14,30008.0,,,
30,2022-02-15,42742.0,,,
31,2022-02-16,28102.0,,,
32,2022-02-17,27320.0,,,
33,2022-02-18,27579.0,,,
34,2022-02-21,23131.0,,,
35,2022-02-22,37756.0,,,
36,2022-02-23,28184.0,,,
37,2022-02-24,27259.0,,,
38,2022-02-25,28568.0,,,
39,2022-02-28,30465.0,,,
40,2022-03-01,43578.0,,,
41,2022-03-02,30880.0,,,
42,2022-03-03,29815.0,,,
43,2022-03-04,30190.0,,,
44,2022-03-07,31865.0,,,
45,2022-03-08,44798.0,,,
46,2022-03-09,30303.0,,,
47,2022-03-10,30416.0,,,
48,2022-03-11,28314.0,,,
49,2022-03-14,31852.0,,,
50,2022-03-15,43638.0,,,
51,2022-03-16,32130.0,,,
52,2022-03-17,29058.0,,,
53,2022-03-18,28540.0,,,
54,2022-03-21,29210.0,,,
55,2022-03-22,41238.0,,,
56,2022-03-23,31226.0,,,
57,2022-03-24,28889.0,,,
58,2022-03-25,28917.0,,,
59,2022-03-28,30286.0,,,
60,2022-03-29,43260.0,,,
61,2022-03-30,29786.0,,,
62,2022-03-31,28671.0,,,
63,2022-04-01,31363.0,,,
64,2022-04-04,31348.0,,,
65,2022-04-05,44653.0,,,
66,2022-04-06,31833.0,,,
67,2022-04-07,30716.0,,,
68,2022-04-08,28632.0,,,
69,2022-04-11,31264.0,,,
70,2022-04-12,43295.0,,,
71,2022-04-13,30250.0,,,
72,2022-04-14,29496.0,,,
73,2022-04-19,32189.0,,,
74,2022-04-20,50495.0,,,
75,2022-04-21,31884.0,,,
76,2022-04-22,30938.0,,,
77,2022-04-25,32537.0,,,
78,2022-04-26,43766.0,,,
79,2022-04-27,31340.0,,,
80,2022-04-28,28722.0,,,
81,2022-04-29,29680.0,,,
82,2022-05-03,32496.0,,,
83,2022-05-04,50266.0,,,
84,2022-05-05,30466.0,,,
85,2022-05-06,32250.0,,,
86,2022-05-09,34247.0,,,
87,2022-05-10,43218.0,,,
88,2022-05-11,30950.0,,,
89,2022-05-12,28883.0,,,
90,2022-05-13,29273.0,,,
91,2022-05-16,28678.0,,,
92,2022-05-17,40949.0,,,
93,2022-05-18,27995.0,,,
94,2022-05-19,25892.0,,,
95,2022-05-20,25549.0,,,
96,2022-05-23,28798.0,,,
97,2022-05-24,38275.0,,,
98,2022-05-25,27187.0,,,
99,2022-05-26,25623.0,,,
100,2022-05-27,26407.0,,,
101,2022-05-30,28831.0,,,
102,2022-05-31,41211.0,,,
103,2022-06-01,29050.0,,,
104,2022-06-06,30855.0,,,
105,2022-06-07,47527.0,,,
106,2022-06-08,31794.0,,,
107,2022-06-09,28690.0,,,
108,2022-06-10,28176.0,,,
109,2022-06-13,28873.0,,,
110,2022-06-14,40252.0,,,
111,2022-06-15,26391.0,,,
112,2022-06-16,24792.0,,,
113,2022-06-17,24436.0,,,
114,2022-06-20,25959.0,,,
115,2022-06-21,36747.0,,,
116,2022-06-22,26615.0,,,
117,2022-06-23,25394.0,,,
118,2022-06-24,24295.0,,,
119,2022-06-27,25751.0,,,
120,2022-06-28,38844.0,,,
121,2022-06-29,27073.0,,,
122,2022-06-30,26483.0,,,
123,2022-07-01,27890.0,,,
124,2022-07-04,28353.0,,,
125,2022-07-05,39630.0,,,
126,2022-07-06,27766.0,,,
127,2022-07-07,26233.0,,,
128,2022-07-08,25906.0,,,
129,2022-07-11,27581.0,,,
130,2022-07-12,36439.0,,,
131,2022-07-13,24836.0,,,
132,2022-07-14,24853.0,,,
133,2022-07-15,25127.0,,,
134,2022-07-18,27338.0,,,
135,2022-07-19,35394.0,,,
136,2022-07-20,22329.0,,,
137,2022-07-21,22679.0,,,
138,2022-07-22,25887.0,,,
139,2022-07-25,28007.0,,,
140,2022-07-26,40107.0,,,
141,2022-07-27,26218.0,,,
142,2022-07-28,26734.0,,,
143,2022-07-29,26675.0,,,
144,2022-08-01,29716.0,,,
145,2022-08-02,39002.0,,,
146,2022-08-03,29318.0,,,
147,2022-08-04,25921.0,,,
148,2022-08-05,25793.0,,,
149,2022-08-08,27482.0,,,
150,2022-08-09,37545.0,,,
151,2022-08-10,24582.0,,,
152,2022-08-11,23044.0,,,
153,2022-08-12,23554.0,,,
154,2022-08-15,23121.0,,,
155,2022-08-16,34602.0,,,
156,2022-08-17,24172.0,,,
157,2022-08-18,23009.0,,,
158,2022-08-19,22608.0,,,
159,2022-08-22,25475.0,,,
160,2022-08-23,36062.0,,,
161,2022-08-24,24670.0,,,
162,2022-08-25,24795.0,,,
163,2022-08-26,23591.0,,,
164,2022-08-30,23418.0,,,
165,2022-08-31,38890.0,,,
166,2022-09-01,22839.0,,,
167,2022-09-02,20548.0,,,
168,2022-09-05,26333.0,,,
169,2022-09-06,39450.0,,,
170,2022-09-07,26574.0,,,
171,2022-09-08,27346.0,,,
172,2022-09-09,23608.0,,,
173,2022-09-12,20214.0,,,
174,2022-09-13,33992.0,,,
175,2022-09-14,27963.0,,,
176,2022-09-15,25084.0,,,
177,2022-09-16,24919.0,,,
178,2022-09-20,28576.0,,,
179,2022-09-21,41060.0,,,
180,2022-09-22,26068.0,,,
181,2022-09-23,25562.0,,,
182,2022-09-26,27765.0,,,
183,2022-09-27,38211.0,,,
184,2022-09-28,26653.0,,,
185,2022-09-29,25248.0,,,
186,2022-09-30,27470.0,,,
187,2022-10-03,26740.0,,,
188,2022-10-04,32237.0,,,
189,2022-10-05,25792.0,,,
190,2022-10-06,26236.0,,,
191,2022-10-07,27695.0,,,
192,2022-10-10,29792.0,,,
193,2022-10-11,37630.0,,,
194,2022-10-12,28157.0,,,
195,2022-10-13,26749.0,,,
196,2022-10-14,23183.0,,,
197,2022-10-17,22800.0,,,
198,2022-10-18,37506.0,,,
199,2022-10-19,27080.0,,,
200,2022-10-20,25698.0,,,
201,2022-10-21,25867.0,,,
202,2022-10-24,23677.0,,,
203,2022-10-25,37175.0,,,
204,2022-10-26,24456.0,,,
205,2022-10-27,21297.0,,,
206,2022-10-28,26142.0,,,
207,2022-10-31,29472.0,,,
208,2022-11-01,41445.0,,,
209,2022-11-02,28443.0,,,
210,2022-11-03,28089.0,,,
211,2022-11-04,29499.0,,,
212,2022-11-07,30503.0,,,
213,2022-11-08,41330.0,,,
214,2022-11-09,27041.0,,,
215,2022-11-10,26135.0,,,
216,2022-11-11,27881.0,,,
217,2022-11-14,29965.0,,,
218,2022-11-15,39473.0,,,
219,2022-11-16,26304.0,,,
220,2022-11-17,25773.0,,,
221,2022-11-18,27302.0,,,
222,2022-11-21,29275.0,,,
223,2022-11-22,37719.0,,,
224,2022-11-23,26734.0,,,
225,2022-11-24,26796.0,,,
226,2022-11-25,26186.0,,,
227,2022-11-28,20458.0,,,
228,2022-11-29,35594.0,,,
229,2022-11-30,27844.0,,,
230,2022-12-01,25916.0,,,
231,2022-12-02,22312.0,,,
232,2022-12-05,22942.0,,,
233,2022-12-06,37096.0,,,
234,2022-12-07,28308.0,,,
235,2022-12-08,27632.0,,,
236,2022-12-09,29425.0,,,
237,2022-12-12,28575.0,,,
238,2022-12-13,35526.0,,,
239,2022-12-14,28063.0,,,
240,2022-12-15,25079.0,,,
241,2022-12-16,22043.0,,,
242,2022-12-19,21770.0,,,
243,2022-12-20,44731.0,,,
244,2022-12-21,33160.0,,,
245,2022-12-22,34052.0,,,
246,2022-12-23,36525.0,,,
247,2022-12-28,31349.0,,,
248,2022-12-29,75109.0,,,
249,2022-12-30,39564.0,,,
250,2023-01-03,37233.0,,,
251,2023-01-04,54896.0,,,
252,2023-01-05,36199.0,,,
253,2023-01-06,36672.0,,,
254,2023-01-09,36730.0,,,
255,2023-01-10,49781.0,,,
256,2023-01-11,30371.0,,,
257,2023-01-12,30568.0,,,
258,2023-01-13,28697.0,,,
259,2023-01-16,31603.0,,,
260,2023-01-17,42081.0,,,
261,2023-01-18,26849.0,,,
262,2023-01-19,24815.0,,,
263,2023-01-20,25714.0,,,
264,2023-01-23,26368.0,,,
265,2023-01-24,37416.0,,,
266,2023-01-25,24740.0,,,
267,2023-01-26,24723.0,,,
268,2023-01-27,25224.0,,,
269,2023-01-30,26872.0,,,
270,2023-01-31,38118.0,,,
271,2023-02-01,26778.0,,,
272,2023-02-02,25045.0,,,
273,2023-02-03,24227.0,,,
274,2023-02-06,26489.0,,,
275,2023-02-07,37031.0,,,
276,2023-02-08,24195.0,,,
277,2023-02-09,22248.0,,,
278,2023-02-10,22467.0,,,
279,2023-02-13,23264.0,,,
280,2023-02-14,34580.0,,,
281,2023-02-15,23648.0,,,
