,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,3182.0,,,
1,2022-01-05,1722.0,,,
2,2022-01-06,2085.0,,,
3,2022-01-07,2553.0,,,
4,2022-01-10,2699.0,,,
5,2022-01-11,2940.0,,,
6,2022-01-12,3862.0,,,
7,2022-01-13,3070.0,,,
8,2022-01-14,2973.0,,,
9,2022-01-17,2911.0,,,
10,2022-01-18,4563.0,,,
11,2022-01-19,3634.0,,,
12,2022-01-20,3254.0,,,
13,2022-01-21,3048.0,,,
14,2022-01-24,2914.0,,,
15,2022-01-25,3284.0,,,
16,2022-01-26,5003.0,,,
17,2022-01-27,2930.0,,,
18,2022-01-28,2053.0,,,
19,2022-01-31,2982.0,,,
20,2022-02-01,3052.0,,,
21,2022-02-02,4594.0,,,
22,2022-02-03,3059.0,,,
23,2022-02-04,2580.0,,,
24,2022-02-07,3167.0,,,
25,2022-02-08,3722.0,,,
26,2022-02-09,4674.0,,,
27,2022-02-10,2965.0,,,
28,2022-02-11,2780.0,,,
29,2022-02-14,1870.0,,,
30,2022-02-15,4743.0,,,
31,2022-02-16,4024.0,,,
32,2022-02-17,4797.0,,,
33,2022-02-18,2460.0,,,
34,2022-02-21,2866.0,,,
35,2022-02-22,3889.0,,,
36,2022-02-23,4367.0,,,
37,2022-02-24,2447.0,,,
38,2022-02-25,2348.0,,,
39,2022-02-28,2611.0,,,
40,2022-03-01,4287.0,,,
41,2022-03-02,4265.0,,,
42,2022-03-03,3364.0,,,
43,2022-03-04,2442.0,,,
44,2022-03-07,2907.0,,,
45,2022-03-08,4512.0,,,
46,2022-03-09,4578.0,,,
47,2022-03-10,3398.0,,,
48,2022-03-11,2603.0,,,
49,2022-03-14,2758.0,,,
50,2022-03-15,4284.0,,,
51,2022-03-16,4199.0,,,
52,2022-03-17,2882.0,,,
53,2022-03-18,2985.0,,,
54,2022-03-21,2013.0,,,
55,2022-03-22,4564.0,,,
56,2022-03-23,3821.0,,,
57,2022-03-24,3123.0,,,
58,2022-03-25,2419.0,,,
59,2022-03-28,2741.0,,,
60,2022-03-29,4766.0,,,
61,2022-03-30,2740.0,,,
62,2022-03-31,3655.0,,,
63,2022-04-01,3415.0,,,
64,2022-04-04,2723.0,,,
65,2022-04-05,4876.0,,,
66,2022-04-06,4369.0,,,
67,2022-04-07,3477.0,,,
68,2022-04-08,3195.0,,,
69,2022-04-11,2323.0,,,
70,2022-04-12,4086.0,,,
71,2022-04-13,4378.0,,,
72,2022-04-14,3052.0,,,
73,2022-04-19,2876.0,,,
74,2022-04-20,3360.0,,,
75,2022-04-21,4691.0,,,
76,2022-04-22,3329.0,,,
77,2022-04-25,2038.0,,,
78,2022-04-26,3944.0,,,
79,2022-04-27,2925.0,,,
80,2022-04-28,3347.0,,,
81,2022-04-29,3229.0,,,
82,2022-05-03,2649.0,,,
83,2022-05-04,4258.0,,,
84,2022-05-05,3837.0,,,
85,2022-05-06,3634.0,,,
86,2022-05-09,2589.0,,,
87,2022-05-10,3611.0,,,
88,2022-05-11,4351.0,,,
89,2022-05-12,3380.0,,,
90,2022-05-13,2211.0,,,
91,2022-05-16,2481.0,,,
92,2022-05-17,3594.0,,,
93,2022-05-18,3309.0,,,
94,2022-05-19,2704.0,,,
95,2022-05-20,2180.0,,,
96,2022-05-23,2658.0,,,
97,2022-05-24,3021.0,,,
98,2022-05-25,4330.0,,,
99,2022-05-26,3029.0,,,
100,2022-05-27,2499.0,,,
