,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,35060.0,,,
1,2022-01-05,47404.0,,,
2,2022-01-06,39403.0,,,
3,2022-01-07,36040.0,,,
4,2022-01-10,39066.0,,,
5,2022-01-11,64144.0,,,
6,2022-01-12,37139.0,,,
7,2022-01-13,34538.0,,,
8,2022-01-14,34902.0,,,
9,2022-01-17,37757.0,,,
10,2022-01-18,62898.0,,,
11,2022-01-19,34097.0,,,
12,2022-01-20,31554.0,,,
13,2022-01-21,31778.0,,,
14,2022-01-24,36072.0,,,
15,2022-01-25,58537.0,,,
16,2022-01-26,35007.0,,,
17,2022-01-27,30387.0,,,
18,2022-01-28,29508.0,,,
19,2022-01-31,32328.0,,,
20,2022-02-01,53556.0,,,
21,2022-02-02,34857.0,,,
22,2022-02-03,29493.0,,,
23,2022-02-04,28166.0,,,
24,2022-02-07,32890.0,,,
25,2022-02-08,54318.0,,,
26,2022-02-09,34260.0,,,
27,2022-02-10,30578.0,,,
28,2022-02-11,29297.0,,,
29,2022-02-14,28658.0,,,
30,2022-02-15,54582.0,,,
31,2022-02-16,31763.0,,,
32,2022-02-17,29480.0,,,
33,2022-02-18,32524.0,,,
34,2022-02-21,24530.0,,,
35,2022-02-22,48502.0,,,
36,2022-02-23,34473.0,,,
37,2022-02-24,29528.0,,,
38,2022-02-25,29822.0,,,
39,2022-02-28,32869.0,,,
40,2022-03-01,53758.0,,,
41,2022-03-02,34826.0,,,
42,2022-03-03,30830.0,,,
43,2022-03-04,30603.0,,,
44,2022-03-07,33483.0,,,
45,2022-03-08,57492.0,,,
46,2022-03-09,34177.0,,,
47,2022-03-10,29046.0,,,
48,2022-03-11,30609.0,,,
49,2022-03-14,31369.0,,,
50,2022-03-15,54418.0,,,
51,2022-03-16,33859.0,,,
52,2022-03-17,28539.0,,,
53,2022-03-18,28980.0,,,
54,2022-03-21,30341.0,,,
55,2022-03-22,41322.0,,,
56,2022-03-23,38584.0,,,
57,2022-03-24,28282.0,,,
58,2022-03-25,27936.0,,,
59,2022-03-28,29246.0,,,
60,2022-03-29,49190.0,,,
61,2022-03-30,26471.0,,,
62,2022-03-31,31552.0,,,
63,2022-04-01,29447.0,,,
64,2022-04-04,31852.0,,,
65,2022-04-05,54316.0,,,
66,2022-04-06,32810.0,,,
67,2022-04-07,30562.0,,,
68,2022-04-08,29896.0,,,
69,2022-04-11,31787.0,,,
70,2022-04-12,53893.0,,,
71,2022-04-13,32187.0,,,
72,2022-04-14,29967.0,,,
73,2022-04-19,33095.0,,,
74,2022-04-20,61751.0,,,
75,2022-04-21,34247.0,,,
76,2022-04-22,33815.0,,,
77,2022-04-25,34263.0,,,
78,2022-04-26,53566.0,,,
79,2022-04-27,29497.0,,,
80,2022-04-28,30092.0,,,
81,2022-04-29,30206.0,,,
82,2022-05-03,32121.0,,,
83,2022-05-04,56009.0,,,
84,2022-05-05,31976.0,,,
85,2022-05-06,31116.0,,,
86,2022-05-09,32661.0,,,
87,2022-05-10,54385.0,,,
88,2022-05-11,31239.0,,,
89,2022-05-12,29175.0,,,
90,2022-05-13,28738.0,,,
91,2022-05-16,28769.0,,,
92,2022-05-17,49565.0,,,
93,2022-05-18,27973.0,,,
94,2022-05-19,26939.0,,,
95,2022-05-20,27600.0,,,
96,2022-05-23,31502.0,,,
97,2022-05-24,50526.0,,,
98,2022-05-25,32783.0,,,
99,2022-05-26,27827.0,,,
100,2022-05-27,29209.0,,,
101,2022-05-30,30290.0,,,
102,2022-05-31,53733.0,,,
103,2022-06-01,32290.0,,,
104,2022-06-06,33718.0,,,
105,2022-06-07,55439.0,,,
106,2022-06-08,33052.0,,,
107,2022-06-09,32083.0,,,
108,2022-06-10,31873.0,,,
109,2022-06-13,30932.0,,,
110,2022-06-14,51757.0,,,
111,2022-06-15,30599.0,,,
112,2022-06-16,30157.0,,,
113,2022-06-17,26801.0,,,
114,2022-06-20,30583.0,,,
115,2022-06-21,40198.0,,,
116,2022-06-22,33545.0,,,
117,2022-06-23,34916.0,,,
118,2022-06-24,26547.0,,,
119,2022-06-27,29932.0,,,
120,2022-06-28,45998.0,,,
121,2022-06-29,32409.0,,,
122,2022-06-30,25003.0,,,
123,2022-07-01,28171.0,,,
124,2022-07-04,29453.0,,,
125,2022-07-05,46826.0,,,
126,2022-07-06,31513.0,,,
127,2022-07-07,26337.0,,,
128,2022-07-08,27487.0,,,
129,2022-07-11,30515.0,,,
130,2022-07-12,44991.0,,,
131,2022-07-13,25035.0,,,
132,2022-07-14,26283.0,,,
133,2022-07-15,26466.0,,,
134,2022-07-18,33157.0,,,
135,2022-07-19,49589.0,,,
136,2022-07-20,24107.0,,,
137,2022-07-21,27741.0,,,
138,2022-07-22,30511.0,,,
139,2022-07-25,33416.0,,,
140,2022-07-26,56218.0,,,
141,2022-07-27,32159.0,,,
142,2022-07-28,22621.0,,,
143,2022-07-29,27403.0,,,
144,2022-08-01,41975.0,,,
145,2022-08-02,56326.0,,,
146,2022-08-03,34257.0,,,
147,2022-08-04,30409.0,,,
148,2022-08-05,28280.0,,,
149,2022-08-08,33589.0,,,
150,2022-08-09,55400.0,,,
151,2022-08-10,33566.0,,,
152,2022-08-11,27554.0,,,
153,2022-08-12,27239.0,,,
154,2022-08-15,27865.0,,,
155,2022-08-16,51621.0,,,
156,2022-08-17,31058.0,,,
157,2022-08-18,31015.0,,,
158,2022-08-19,32480.0,,,
159,2022-08-22,34628.0,,,
160,2022-08-23,54513.0,,,
161,2022-08-24,32142.0,,,
162,2022-08-25,28846.0,,,
163,2022-08-26,26423.0,,,
164,2022-08-30,27609.0,,,
165,2022-08-31,49477.0,,,
166,2022-09-01,28297.0,,,
167,2022-09-02,18996.0,,,
168,2022-09-05,31352.0,,,
169,2022-09-06,49636.0,,,
170,2022-09-07,29252.0,,,
171,2022-09-08,30588.0,,,
172,2022-09-09,22365.0,,,
173,2022-09-12,16783.0,,,
174,2022-09-13,47661.0,,,
175,2022-09-14,32697.0,,,
176,2022-09-15,25847.0,,,
177,2022-09-16,28480.0,,,
178,2022-09-20,33859.0,,,
179,2022-09-21,57920.0,,,
180,2022-09-22,32683.0,,,
181,2022-09-23,31008.0,,,
182,2022-09-26,35042.0,,,
183,2022-09-27,52049.0,,,
184,2022-09-28,31024.0,,,
185,2022-09-29,29442.0,,,
186,2022-09-30,32149.0,,,
187,2022-10-03,25788.0,,,
188,2022-10-04,37438.0,,,
189,2022-10-05,27199.0,,,
190,2022-10-06,30880.0,,,
191,2022-10-07,31551.0,,,
192,2022-10-10,31919.0,,,
193,2022-10-11,49315.0,,,
194,2022-10-12,29487.0,,,
195,2022-10-13,30334.0,,,
196,2022-10-14,22163.0,,,
197,2022-10-17,20003.0,,,
198,2022-10-18,47666.0,,,
199,2022-10-19,32408.0,,,
200,2022-10-20,32048.0,,,
201,2022-10-21,29993.0,,,
202,2022-10-24,22357.0,,,
203,2022-10-25,48994.0,,,
204,2022-10-26,28385.0,,,
205,2022-10-27,18721.0,,,
206,2022-10-28,32359.0,,,
207,2022-10-31,30890.0,,,
208,2022-11-01,50245.0,,,
209,2022-11-02,31625.0,,,
210,2022-11-03,28027.0,,,
