,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,24.0,,,
1,2022-01-02,92.0,,,
2,2022-01-03,67.0,,,
3,2022-01-04,130.0,,,
4,2022-01-05,107.0,,,
5,2022-01-06,110.0,,,
6,2022-01-07,148.0,,,
7,2022-01-08,60.0,,,
8,2022-01-09,102.0,,,
9,2022-01-10,127.0,,,
10,2022-01-11,103.0,,,
11,2022-01-12,98.0,,,
12,2022-01-13,112.0,,,
13,2022-01-14,168.0,,,
14,2022-01-15,72.0,,,
15,2022-01-16,114.0,,,
16,2022-01-17,118.0,,,
17,2022-01-18,118.0,,,
18,2022-01-19,127.0,,,
19,2022-01-20,135.0,,,
20,2022-01-21,148.0,,,
21,2022-01-22,98.0,,,
22,2022-01-23,118.0,,,
23,2022-01-24,143.0,,,
24,2022-01-25,129.0,,,
25,2022-01-26,113.0,,,
26,2022-01-27,142.0,,,
27,2022-01-28,173.0,,,
28,2022-01-29,109.0,,,
29,2022-01-30,112.0,,,
30,2022-01-31,117.0,,,
31,2022-02-01,113.0,,,
32,2022-02-02,121.0,,,
33,2022-02-03,115.0,,,
34,2022-02-04,162.0,,,
35,2022-02-05,92.0,,,
36,2022-02-06,126.0,,,
37,2022-02-07,153.0,,,
38,2022-02-08,104.0,,,
39,2022-02-09,115.0,,,
40,2022-02-10,144.0,,,
41,2022-02-11,178.0,,,
42,2022-02-12,101.0,,,
43,2022-02-13,112.0,,,
44,2022-02-14,154.0,,,
45,2022-02-15,107.0,,,
46,2022-02-16,137.0,,,
47,2022-02-17,132.0,,,
48,2022-02-18,174.0,,,
49,2022-02-19,106.0,,,
50,2022-02-20,116.0,,,
51,2022-02-21,140.0,,,
52,2022-02-22,127.0,,,
53,2022-02-23,103.0,,,
54,2022-02-24,110.0,,,
55,2022-02-25,174.0,,,
56,2022-02-26,91.0,,,
57,2022-02-27,94.0,,,
58,2022-02-28,140.0,,,
59,2022-03-01,131.0,,,
60,2022-03-02,114.0,,,
61,2022-03-03,137.0,,,
62,2022-03-04,150.0,,,
63,2022-03-05,79.0,,,
64,2022-03-06,142.0,,,
65,2022-03-07,138.0,,,
66,2022-03-08,112.0,,,
67,2022-03-09,120.0,,,
68,2022-03-10,135.0,,,
69,2022-03-11,124.0,,,
70,2022-03-12,117.0,,,
71,2022-03-13,130.0,,,
72,2022-03-14,140.0,,,
73,2022-03-15,131.0,,,
74,2022-03-16,125.0,,,
75,2022-03-17,148.0,,,
76,2022-03-18,174.0,,,
77,2022-03-19,87.0,,,
78,2022-03-20,110.0,,,
79,2022-03-21,137.0,,,
80,2022-03-22,127.0,,,
81,2022-03-23,111.0,,,
82,2022-03-24,161.0,,,
83,2022-03-25,185.0,,,
84,2022-03-26,95.0,,,
85,2022-03-27,114.0,,,
86,2022-03-28,171.0,,,
87,2022-03-29,149.0,,,
88,2022-03-30,143.0,,,
89,2022-03-31,147.0,,,
90,2022-04-01,175.0,,,
91,2022-04-02,90.0,,,
92,2022-04-03,114.0,,,
93,2022-04-04,154.0,,,
94,2022-04-05,115.0,,,
95,2022-04-06,96.0,,,
96,2022-04-07,142.0,,,
97,2022-04-08,155.0,,,
98,2022-04-09,95.0,,,
99,2022-04-10,100.0,,,
100,2022-04-11,149.0,,,
101,2022-04-12,141.0,,,
102,2022-04-13,140.0,,,
103,2022-04-14,197.0,,,
104,2022-04-15,106.0,,,
105,2022-04-16,98.0,,,
106,2022-04-17,82.0,,,
107,2022-04-18,64.0,,,
108,2022-04-19,130.0,,,
109,2022-04-20,152.0,,,
110,2022-04-21,141.0,,,
111,2022-04-22,144.0,,,
112,2022-04-23,78.0,,,
113,2022-04-24,110.0,,,
114,2022-04-25,133.0,,,
115,2022-04-26,162.0,,,
116,2022-04-27,136.0,,,
117,2022-04-28,172.0,,,
