,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,1.0,,,
1,2022-01-02,14.0,,,
2,2022-01-03,3.0,,,
3,2022-01-04,3.0,,,
4,2022-01-05,7.0,,,
5,2022-01-06,2.0,,,
6,2022-01-07,5.0,,,
7,2022-01-08,8.0,,,
8,2022-01-09,4.0,,,
9,2022-01-10,9.0,,,
10,2022-01-11,4.0,,,
11,2022-01-12,2.0,,,
12,2022-01-13,5.0,,,
13,2022-01-14,7.0,,,
14,2022-01-15,10.0,,,
15,2022-01-16,6.0,,,
16,2022-01-17,6.0,,,
17,2022-01-18,3.0,,,
18,2022-01-19,3.0,,,
19,2022-01-20,12.0,,,
20,2022-01-21,4.0,,,
21,2022-01-22,2.0,,,
22,2022-01-23,6.0,,,
23,2022-01-24,3.0,,,
24,2022-01-25,5.0,,,
25,2022-01-26,7.0,,,
26,2022-01-27,4.0,,,
27,2022-01-28,7.0,,,
28,2022-01-29,5.0,,,
29,2022-01-30,10.0,,,
30,2022-01-31,7.0,,,
31,2022-02-01,5.0,,,
32,2022-02-02,7.0,,,
33,2022-02-03,4.0,,,
34,2022-02-04,8.0,,,
35,2022-02-05,9.0,,,
36,2022-02-06,2.0,,,
37,2022-02-07,5.0,,,
38,2022-02-08,4.0,,,
39,2022-02-09,5.0,,,
40,2022-02-10,7.0,,,
41,2022-02-11,5.0,,,
42,2022-02-12,5.0,,,
43,2022-02-13,6.0,,,
44,2022-02-14,6.0,,,
45,2022-02-15,12.0,,,
46,2022-02-16,8.0,,,
47,2022-02-17,8.0,,,
48,2022-02-18,5.0,,,
49,2022-02-19,12.0,,,
50,2022-02-20,4.0,,,
51,2022-02-21,7.0,,,
52,2022-02-22,10.0,,,
53,2022-02-23,4.0,,,
54,2022-02-24,3.0,,,
55,2022-02-25,8.0,,,
56,2022-02-26,8.0,,,
57,2022-02-27,6.0,,,
58,2022-02-28,8.0,,,
59,2022-03-01,8.0,,,
60,2022-03-02,8.0,,,
61,2022-03-03,14.0,,,
62,2022-03-04,7.0,,,
63,2022-03-05,10.0,,,
64,2022-03-06,8.0,,,
65,2022-03-07,9.0,,,
66,2022-03-08,4.0,,,
67,2022-03-09,3.0,,,
68,2022-03-10,5.0,,,
69,2022-03-11,7.0,,,
70,2022-03-12,14.0,,,
71,2022-03-13,2.0,,,
72,2022-03-14,4.0,,,
73,2022-03-15,6.0,,,
74,2022-03-16,8.0,,,
75,2022-03-17,4.0,,,
76,2022-03-18,7.0,,,
77,2022-03-19,6.0,,,
78,2022-03-20,6.0,,,
79,2022-03-21,10.0,,,
80,2022-03-22,6.0,,,
81,2022-03-23,9.0,,,
82,2022-03-24,7.0,,,
83,2022-03-25,20.0,,,
84,2022-03-26,13.0,,,
85,2022-03-27,6.0,,,
86,2022-03-28,8.0,,,
87,2022-03-29,9.0,,,
88,2022-03-30,8.0,,,
89,2022-03-31,6.0,,,
90,2022-04-01,12.0,,,
91,2022-04-02,12.0,,,
92,2022-04-03,4.0,,,
