,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,7900.0,,,
1,2022-01-05,17656.0,,,
2,2022-01-06,16749.0,,,
3,2022-01-07,11733.0,,,
4,2022-01-10,12149.0,,,
5,2022-01-11,15693.0,,,
6,2022-01-12,10731.0,,,
7,2022-01-13,18865.0,,,
8,2022-01-14,13353.0,,,
9,2022-01-17,11840.0,,,
10,2022-01-18,16096.0,,,
11,2022-01-19,11763.0,,,
12,2022-01-20,18095.0,,,
13,2022-01-21,11562.0,,,
14,2022-01-24,11037.0,,,
15,2022-01-25,15940.0,,,
16,2022-01-26,11122.0,,,
17,2022-01-27,17988.0,,,
18,2022-01-28,21552.0,,,
19,2022-01-31,13889.0,,,
20,2022-02-01,16805.0,,,
21,2022-02-02,12398.0,,,
22,2022-02-03,18155.0,,,
23,2022-02-04,12650.0,,,
24,2022-02-07,12557.0,,,
25,2022-02-08,15949.0,,,
26,2022-02-09,11736.0,,,
27,2022-02-10,17904.0,,,
28,2022-02-11,11907.0,,,
29,2022-02-14,14221.0,,,
30,2022-02-15,16308.0,,,
31,2022-02-16,11161.0,,,
32,2022-02-17,17951.0,,,
33,2022-02-18,12442.0,,,
34,2022-02-21,12525.0,,,
35,2022-02-22,16182.0,,,
36,2022-02-23,10594.0,,,
37,2022-02-24,18544.0,,,
38,2022-02-25,22880.0,,,
39,2022-02-28,13888.0,,,
40,2022-03-01,17837.0,,,
41,2022-03-02,12957.0,,,
42,2022-03-03,19298.0,,,
43,2022-03-04,13014.0,,,
44,2022-03-07,12951.0,,,
45,2022-03-08,16230.0,,,
46,2022-03-09,11834.0,,,
47,2022-03-10,17633.0,,,
48,2022-03-11,12391.0,,,
49,2022-03-14,13831.0,,,
50,2022-03-15,16646.0,,,
51,2022-03-16,12046.0,,,
52,2022-03-17,18597.0,,,
53,2022-03-18,12276.0,,,
54,2022-03-21,12707.0,,,
55,2022-03-22,16518.0,,,
56,2022-03-23,11205.0,,,
57,2022-03-24,18696.0,,,
58,2022-03-25,12175.0,,,
59,2022-03-28,11926.0,,,
60,2022-03-29,17343.0,,,
61,2022-03-30,24090.0,,,
62,2022-03-31,19451.0,,,
63,2022-04-01,12767.0,,,
64,2022-04-04,14183.0,,,
65,2022-04-05,16977.0,,,
66,2022-04-06,11633.0,,,
67,2022-04-07,19268.0,,,
68,2022-04-08,12514.0,,,
69,2022-04-11,11586.0,,,
70,2022-04-12,15603.0,,,
71,2022-04-13,19307.0,,,
72,2022-04-14,14572.0,,,
73,2022-04-19,13354.0,,,
74,2022-04-20,22511.0,,,
75,2022-04-21,18325.0,,,
76,2022-04-22,11765.0,,,
77,2022-04-25,11264.0,,,
78,2022-04-26,16739.0,,,
79,2022-04-27,12216.0,,,
80,2022-04-28,30455.0,,,
81,2022-04-29,15490.0,,,
82,2022-05-03,13045.0,,,
83,2022-05-04,21745.0,,,
84,2022-05-05,19185.0,,,
85,2022-05-06,12574.0,,,
86,2022-05-09,13075.0,,,
87,2022-05-10,16177.0,,,
88,2022-05-11,12009.0,,,
89,2022-05-12,18769.0,,,
90,2022-05-13,13211.0,,,
91,2022-05-16,11992.0,,,
92,2022-05-17,16247.0,,,
93,2022-05-18,11609.0,,,
94,2022-05-19,19436.0,,,
95,2022-05-20,12254.0,,,
96,2022-05-23,11074.0,,,
97,2022-05-24,16160.0,,,
98,2022-05-25,11423.0,,,
99,2022-05-26,19181.0,,,
100,2022-05-27,13608.0,,,
101,2022-05-30,22677.0,,,
102,2022-05-31,23488.0,,,
103,2022-06-01,13811.0,,,
104,2022-06-06,16043.0,,,
105,2022-06-07,21809.0,,,
106,2022-06-08,11714.0,,,
107,2022-06-09,18084.0,,,
108,2022-06-10,12789.0,,,
109,2022-06-13,12023.0,,,
110,2022-06-14,18791.0,,,
111,2022-06-15,11260.0,,,
112,2022-06-16,18332.0,,,
113,2022-06-17,13058.0,,,
114,2022-06-20,11306.0,,,
115,2022-06-21,17555.0,,,
116,2022-06-22,11109.0,,,
117,2022-06-23,18668.0,,,
