,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,14747.0,,,
1,2022-01-05,13551.0,,,
2,2022-01-06,11349.0,,,
3,2022-01-07,16152.0,,,
4,2022-01-10,7316.0,,,
5,2022-01-11,11178.0,,,
6,2022-01-12,7391.0,,,
7,2022-01-13,10479.0,,,
8,2022-01-14,30971.0,,,
9,2022-01-17,11541.0,,,
10,2022-01-18,18753.0,,,
11,2022-01-19,11837.0,,,
12,2022-01-20,11662.0,,,
13,2022-01-21,16329.0,,,
14,2022-01-24,10363.0,,,
15,2022-01-25,12589.0,,,
16,2022-01-26,7973.0,,,
17,2022-01-27,15443.0,,,
18,2022-01-28,20014.0,,,
19,2022-01-31,34431.0,,,
20,2022-02-01,15262.0,,,
21,2022-02-02,9362.0,,,
22,2022-02-03,9746.0,,,
23,2022-02-04,15100.0,,,
24,2022-02-07,7962.0,,,
25,2022-02-08,9790.0,,,
26,2022-02-09,13351.0,,,
27,2022-02-10,8762.0,,,
28,2022-02-11,16492.0,,,
29,2022-02-14,18288.0,,,
30,2022-02-15,15445.0,,,
31,2022-02-16,9732.0,,,
32,2022-02-17,14495.0,,,
33,2022-02-18,21800.0,,,
34,2022-02-21,10354.0,,,
35,2022-02-22,12173.0,,,
36,2022-02-23,8461.0,,,
37,2022-02-24,11763.0,,,
38,2022-02-25,29382.0,,,
39,2022-02-28,33414.0,,,
40,2022-03-01,15202.0,,,
41,2022-03-02,11669.0,,,
42,2022-03-03,10301.0,,,
43,2022-03-04,15489.0,,,
44,2022-03-07,8402.0,,,
45,2022-03-08,10514.0,,,
46,2022-03-09,12805.0,,,
47,2022-03-10,8307.0,,,
48,2022-03-11,16977.0,,,
49,2022-03-14,18101.0,,,
50,2022-03-15,15738.0,,,
51,2022-03-16,9719.0,,,
52,2022-03-17,14494.0,,,
53,2022-03-18,21401.0,,,
54,2022-03-21,11088.0,,,
55,2022-03-22,11891.0,,,
56,2022-03-23,8445.0,,,
57,2022-03-24,11341.0,,,
58,2022-03-25,19405.0,,,
59,2022-03-28,7794.0,,,
60,2022-03-29,10965.0,,,
61,2022-03-30,14413.0,,,
62,2022-03-31,40273.0,,,
63,2022-04-01,16534.0,,,
64,2022-04-04,12098.0,,,
65,2022-04-05,10808.0,,,
66,2022-04-06,8798.0,,,
67,2022-04-07,10011.0,,,
68,2022-04-08,15419.0,,,
69,2022-04-11,8832.0,,,
70,2022-04-12,9259.0,,,
71,2022-04-13,14284.0,,,
72,2022-04-14,32868.0,,,
73,2022-04-19,21980.0,,,
74,2022-04-20,19678.0,,,
75,2022-04-21,12352.0,,,
76,2022-04-22,17559.0,,,
77,2022-04-25,10382.0,,,
78,2022-04-26,10637.0,,,
79,2022-04-27,13857.0,,,
80,2022-04-28,15573.0,,,
81,2022-04-29,48395.0,,,
82,2022-05-03,14498.0,,,
83,2022-05-04,15621.0,,,
84,2022-05-05,10640.0,,,
85,2022-05-06,15041.0,,,
86,2022-05-09,11284.0,,,
87,2022-05-10,11712.0,,,
88,2022-05-11,8506.0,,,
89,2022-05-12,8375.0,,,
90,2022-05-13,30919.0,,,
91,2022-05-16,11424.0,,,
92,2022-05-17,16398.0,,,
93,2022-05-18,12246.0,,,
94,2022-05-19,14578.0,,,
95,2022-05-20,17473.0,,,
96,2022-05-23,9782.0,,,
97,2022-05-24,13257.0,,,
98,2022-05-25,9173.0,,,
99,2022-05-26,9894.0,,,
100,2022-05-27,20335.0,,,
101,2022-05-30,14108.0,,,
102,2022-05-31,40570.0,,,
103,2022-06-01,26764.0,,,
104,2022-06-06,11621.0,,,
105,2022-06-07,14511.0,,,
106,2022-06-08,9161.0,,,
107,2022-06-09,14913.0,,,
108,2022-06-10,12278.0,,,
109,2022-06-13,8978.0,,,
110,2022-06-14,22293.0,,,
111,2022-06-15,16286.0,,,
112,2022-06-16,10653.0,,,
113,2022-06-17,22312.0,,,
114,2022-06-20,14898.0,,,
115,2022-06-21,12625.0,,,
116,2022-06-22,9680.0,,,
117,2022-06-23,12565.0,,,
118,2022-06-24,16808.0,,,
119,2022-06-27,13497.0,,,
120,2022-06-28,10475.0,,,
121,2022-06-29,16431.0,,,
122,2022-06-30,42176.0,,,
123,2022-07-01,16843.0,,,
124,2022-07-04,12044.0,,,
125,2022-07-05,10943.0,,,
126,2022-07-06,10059.0,,,
127,2022-07-07,11003.0,,,
128,2022-07-08,16077.0,,,
129,2022-07-11,8828.0,,,
130,2022-07-12,9100.0,,,
131,2022-07-13,12242.0,,,
132,2022-07-14,22677.0,,,
133,2022-07-15,19956.0,,,
134,2022-07-18,12879.0,,,
135,2022-07-19,18629.0,,,
136,2022-07-20,11937.0,,,
137,2022-07-21,12140.0,,,
138,2022-07-22,17180.0,,,
139,2022-07-25,9664.0,,,
140,2022-07-26,10916.0,,,
141,2022-07-27,14703.0,,,
142,2022-07-28,15189.0,,,
143,2022-07-29,44446.0,,,
144,2022-08-01,12734.0,,,
145,2022-08-02,12679.0,,,
146,2022-08-03,8961.0,,,
147,2022-08-04,11492.0,,,
148,2022-08-05,15041.0,,,
149,2022-08-08,7246.0,,,
150,2022-08-09,15695.0,,,
151,2022-08-10,7779.0,,,
152,2022-08-11,11845.0,,,
153,2022-08-12,26311.0,,,
154,2022-08-15,12982.0,,,
155,2022-08-16,12294.0,,,
156,2022-08-17,13272.0,,,
157,2022-08-18,13628.0,,,
158,2022-08-19,20706.0,,,
