,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,7107.0,,,
1,2022-01-02,4633.0,,,
2,2022-01-03,7320.0,,,
3,2022-01-04,109801.0,,,
4,2022-01-05,36959.0,,,
5,2022-01-06,34667.0,,,
6,2022-01-07,42265.0,,,
7,2022-01-08,4933.0,,,
8,2022-01-09,4057.0,,,
9,2022-01-10,52494.0,,,
10,2022-01-11,33614.0,,,
11,2022-01-12,34012.0,,,
12,2022-01-13,30637.0,,,
13,2022-01-14,42338.0,,,
14,2022-01-15,4985.0,,,
15,2022-01-16,3980.0,,,
16,2022-01-17,58114.0,,,
17,2022-01-18,32427.0,,,
18,2022-01-19,29194.0,,,
19,2022-01-20,35334.0,,,
20,2022-01-21,38723.0,,,
21,2022-01-22,4323.0,,,
22,2022-01-23,3813.0,,,
23,2022-01-24,45845.0,,,
24,2022-01-25,34489.0,,,
25,2022-01-26,30682.0,,,
26,2022-01-27,33456.0,,,
27,2022-01-28,50220.0,,,
28,2022-01-29,5777.0,,,
29,2022-01-30,5095.0,,,
30,2022-01-31,71171.0,,,
31,2022-02-01,91617.0,,,
32,2022-02-02,37754.0,,,
33,2022-02-03,36776.0,,,
34,2022-02-04,43419.0,,,
35,2022-02-05,5063.0,,,
36,2022-02-06,4644.0,,,
37,2022-02-07,52424.0,,,
38,2022-02-08,33566.0,,,
39,2022-02-09,31908.0,,,
40,2022-02-10,34912.0,,,
41,2022-02-11,39021.0,,,
42,2022-02-12,4577.0,,,
43,2022-02-13,3920.0,,,
44,2022-02-14,47747.0,,,
45,2022-02-15,40696.0,,,
46,2022-02-16,33760.0,,,
47,2022-02-17,28562.0,,,
48,2022-02-18,39121.0,,,
49,2022-02-19,4390.0,,,
50,2022-02-20,3937.0,,,
51,2022-02-21,48186.0,,,
52,2022-02-22,30364.0,,,
53,2022-02-23,29640.0,,,
54,2022-02-24,31577.0,,,
55,2022-02-25,46513.0,,,
56,2022-02-26,5950.0,,,
57,2022-02-27,5300.0,,,
58,2022-02-28,88596.0,,,
59,2022-03-01,97687.0,,,
60,2022-03-02,40132.0,,,
61,2022-03-03,40495.0,,,
62,2022-03-04,45449.0,,,
63,2022-03-05,5470.0,,,
64,2022-03-06,4646.0,,,
65,2022-03-07,54316.0,,,
66,2022-03-08,34785.0,,,
67,2022-03-09,32931.0,,,
68,2022-03-10,37027.0,,,
69,2022-03-11,41216.0,,,
70,2022-03-12,5005.0,,,
71,2022-03-13,4054.0,,,
72,2022-03-14,49942.0,,,
73,2022-03-15,42716.0,,,
74,2022-03-16,35938.0,,,
75,2022-03-17,31114.0,,,
76,2022-03-18,40570.0,,,
77,2022-03-19,4884.0,,,
78,2022-03-20,4100.0,,,
79,2022-03-21,50977.0,,,
80,2022-03-22,31302.0,,,
81,2022-03-23,30854.0,,,
82,2022-03-24,32061.0,,,
83,2022-03-25,45701.0,,,
84,2022-03-26,5747.0,,,
85,2022-03-27,6747.0,,,
86,2022-03-28,56789.0,,,
87,2022-03-29,37055.0,,,
88,2022-03-30,39817.0,,,
89,2022-03-31,59226.0,,,
90,2022-04-01,102903.0,,,
91,2022-04-02,6362.0,,,
92,2022-04-03,6826.0,,,
93,2022-04-04,57968.0,,,
94,2022-04-05,40091.0,,,
95,2022-04-06,36180.0,,,
96,2022-04-07,36010.0,,,
97,2022-04-08,42330.0,,,
98,2022-04-09,5074.0,,,
99,2022-04-10,5855.0,,,
100,2022-04-11,49954.0,,,
101,2022-04-12,34595.0,,,
102,2022-04-13,31303.0,,,
103,2022-04-14,43759.0,,,
104,2022-04-15,7082.0,,,
105,2022-04-16,3564.0,,,
106,2022-04-17,2704.0,,,
107,2022-04-18,7361.0,,,
108,2022-04-19,73082.0,,,
109,2022-04-20,37250.0,,,
110,2022-04-21,34286.0,,,
111,2022-04-22,40034.0,,,
112,2022-04-23,5051.0,,,
113,2022-04-24,6289.0,,,
114,2022-04-25,49992.0,,,
115,2022-04-26,36001.0,,,
116,2022-04-27,35350.0,,,
117,2022-04-28,45401.0,,,
118,2022-04-29,68264.0,,,
119,2022-04-30,8209.0,,,
120,2022-05-01,8450.0,,,
121,2022-05-02,10019.0,,,
122,2022-05-03,122787.0,,,
123,2022-05-04,42651.0,,,
124,2022-05-05,42736.0,,,
125,2022-05-06,46802.0,,,
126,2022-05-07,5833.0,,,
127,2022-05-08,5817.0,,,
128,2022-05-09,52600.0,,,
129,2022-05-10,39481.0,,,
130,2022-05-11,36046.0,,,
131,2022-05-12,34582.0,,,
132,2022-05-13,43027.0,,,
133,2022-05-14,4766.0,,,
134,2022-05-15,7242.0,,,
135,2022-05-16,56567.0,,,
136,2022-05-17,33445.0,,,
137,2022-05-18,32821.0,,,
138,2022-05-19,32239.0,,,
139,2022-05-20,42514.0,,,
140,2022-05-21,4890.0,,,
141,2022-05-22,5777.0,,,
142,2022-05-23,45753.0,,,
143,2022-05-24,33929.0,,,
144,2022-05-25,36136.0,,,
145,2022-05-26,35445.0,,,
146,2022-05-27,46693.0,,,
147,2022-05-28,6337.0,,,
148,2022-05-29,7036.0,,,
149,2022-05-30,59016.0,,,
150,2022-05-31,59607.0,,,
151,2022-06-01,93995.0,,,
152,2022-06-02,9281.0,,,
153,2022-06-03,5806.0,,,
154,2022-06-04,4170.0,,,
155,2022-06-05,6031.0,,,
156,2022-06-06,78855.0,,,
157,2022-06-07,41647.0,,,
158,2022-06-08,36923.0,,,
159,2022-06-09,35259.0,,,
160,2022-06-10,46878.0,,,
161,2022-06-11,5371.0,,,
162,2022-06-12,6256.0,,,
163,2022-06-13,48180.0,,,
164,2022-06-14,35771.0,,,
165,2022-06-15,42027.0,,,
166,2022-06-16,37537.0,,,
167,2022-06-17,40865.0,,,
168,2022-06-18,5098.0,,,
169,2022-06-19,5060.0,,,
170,2022-06-20,52053.0,,,
171,2022-06-21,36687.0,,,
172,2022-06-22,32556.0,,,
173,2022-06-23,33201.0,,,
174,2022-06-24,44135.0,,,
175,2022-06-25,5600.0,,,
176,2022-06-26,6691.0,,,
177,2022-06-27,53293.0,,,
178,2022-06-28,43755.0,,,
179,2022-06-29,38786.0,,,
180,2022-06-30,65532.0,,,
181,2022-07-01,101433.0,,,
182,2022-07-02,6783.0,,,
183,2022-07-03,7145.0,,,
184,2022-07-04,19591.0,,,
185,2022-07-05,15815.0,,,
186,2022-07-06,10876.0,,,
187,2022-07-08,12342.0,,,
188,2022-07-09,5616.0,,,
189,2022-07-10,5704.0,,,
190,2022-07-11,17780.0,,,
191,2022-07-15,12650.0,,,
192,2022-07-16,5463.0,,,
193,2022-07-17,6438.0,,,
194,2022-07-18,16905.0,,,
195,2022-07-22,11510.0,,,
196,2022-07-23,5593.0,,,
197,2022-07-24,5828.0,,,
198,2022-07-25,17124.0,,,
199,2022-07-29,15371.0,,,
200,2022-07-30,5087.0,,,
201,2022-07-31,6488.0,,,
202,2022-08-01,85793.0,,,
203,2022-08-02,59290.0,,,
204,2022-08-03,51264.0,,,
205,2022-08-04,49498.0,,,
206,2022-08-05,57892.0,,,
207,2022-08-06,7608.0,,,
208,2022-08-07,10772.0,,,
209,2022-08-08,65654.0,,,
210,2022-08-09,47594.0,,,
211,2022-08-10,47104.0,,,
212,2022-08-11,45898.0,,,
213,2022-08-12,52270.0,,,
214,2022-08-13,6708.0,,,
215,2022-08-14,11208.0,,,
216,2022-08-15,71312.0,,,
217,2022-08-16,47866.0,,,
218,2022-08-17,42748.0,,,
219,2022-08-18,43778.0,,,
220,2022-08-19,50886.0,,,
221,2022-08-20,6998.0,,,
222,2022-08-21,8286.0,,,
223,2022-08-22,64080.0,,,
224,2022-08-23,43654.0,,,
225,2022-08-24,43064.0,,,
226,2022-08-25,46670.0,,,
227,2022-08-26,57338.0,,,
228,2022-08-27,7684.0,,,
229,2022-08-28,6456.0,,,
230,2022-08-29,15034.0,,,
231,2022-08-30,87828.0,,,
232,2022-08-31,78302.0,,,
233,2022-09-01,111334.0,,,
234,2022-09-02,64562.0,,,
235,2022-09-03,8874.0,,,
236,2022-09-04,11814.0,,,
237,2022-09-05,73740.0,,,
238,2022-09-06,52634.0,,,
239,2022-09-07,50578.0,,,
240,2022-09-08,48260.0,,,
241,2022-09-09,55694.0,,,
242,2022-09-10,8548.0,,,
243,2022-09-11,11692.0,,,
244,2022-09-12,67532.0,,,
245,2022-09-13,47454.0,,,
246,2022-09-14,49664.0,,,
247,2022-09-15,53684.0,,,
248,2022-09-16,60074.0,,,
249,2022-09-17,7286.0,,,
250,2022-09-18,5560.0,,,
251,2022-09-19,13140.0,,,
252,2022-09-20,76632.0,,,
253,2022-09-21,48748.0,,,
254,2022-09-22,46120.0,,,
255,2022-09-23,54960.0,,,
256,2022-09-24,8104.0,,,
257,2022-09-25,10562.0,,,
258,2022-09-26,69138.0,,,
259,2022-09-27,50908.0,,,
260,2022-09-28,56114.0,,,
261,2022-09-29,54060.0,,,
262,2022-09-30,94172.0,,,
263,2022-10-01,15320.0,,,
264,2022-10-02,12564.0,,,
265,2022-10-03,128022.0,,,
266,2022-10-04,60780.0,,,
267,2022-10-05,56424.0,,,
268,2022-10-06,52346.0,,,
269,2022-10-07,60086.0,,,
270,2022-10-08,8370.0,,,
271,2022-10-09,10180.0,,,
272,2022-10-10,72554.0,,,
273,2022-10-11,49680.0,,,
274,2022-10-12,48348.0,,,
275,2022-10-13,47270.0,,,
276,2022-10-14,59052.0,,,
277,2022-10-15,7774.0,,,
278,2022-10-16,10100.0,,,
279,2022-10-17,75828.0,,,
280,2022-10-18,47594.0,,,
281,2022-10-19,33893.0,,,
282,2022-10-20,24120.0,,,
283,2022-10-21,39069.0,,,
284,2022-10-22,7278.0,,,
285,2022-10-23,10022.0,,,
286,2022-10-24,64606.0,,,
287,2022-10-25,48562.0,,,
288,2022-10-26,46358.0,,,
289,2022-10-27,49612.0,,,
290,2022-10-28,67558.0,,,
291,2022-10-29,9380.0,,,
292,2022-10-30,9902.0,,,
293,2022-10-31,100829.0,,,
294,2022-11-01,117350.0,,,
295,2022-11-02,57392.0,,,
296,2022-11-03,56526.0,,,
297,2022-11-04,62138.0,,,
298,2022-11-05,8848.0,,,
299,2022-11-06,8174.0,,,
300,2022-11-07,74484.0,,,
301,2022-11-08,51900.0,,,
302,2022-11-09,48764.0,,,
303,2022-11-10,51534.0,,,
304,2022-11-11,56340.0,,,
305,2022-11-12,7544.0,,,
306,2022-11-13,6836.0,,,
307,2022-11-14,69522.0,,,
308,2022-11-15,59090.0,,,
309,2022-11-16,50292.0,,,
310,2022-11-17,47460.0,,,
311,2022-11-18,56730.0,,,
312,2022-11-19,7332.0,,,
313,2022-11-20,7356.0,,,
314,2022-11-21,67898.0,,,
315,2022-11-22,45290.0,,,
316,2022-11-23,44622.0,,,
317,2022-11-24,46646.0,,,
318,2022-11-25,59376.0,,,
319,2022-11-26,8480.0,,,
320,2022-11-27,8118.0,,,
321,2022-11-28,80040.0,,,
322,2022-11-29,54296.0,,,
323,2022-11-30,84864.0,,,
324,2022-12-01,115402.0,,,
325,2022-12-02,66918.0,,,
326,2022-12-03,9302.0,,,
327,2022-12-04,8436.0,,,
328,2022-12-05,81372.0,,,
329,2022-12-06,53636.0,,,
330,2022-12-07,50726.0,,,
331,2022-12-08,55030.0,,,
