,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,465888.0,,,
1,2022-01-02,441552.0,,,
2,2022-01-03,516028.0,,,
3,2022-01-04,1846046.0,,,
4,2022-01-05,815605.0,,,
5,2022-01-06,806222.0,,,
6,2022-01-07,1037471.0,,,
7,2022-01-08,502843.0,,,
8,2022-01-09,424415.0,,,
9,2022-01-10,1015554.0,,,
10,2022-01-11,726560.0,,,
11,2022-01-12,707766.0,,,
12,2022-01-13,751774.0,,,
13,2022-01-14,1089311.0,,,
14,2022-01-15,517433.0,,,
15,2022-01-16,436386.0,,,
16,2022-01-17,1043088.0,,,
17,2022-01-18,729504.0,,,
18,2022-01-19,704552.0,,,
19,2022-01-20,858251.0,,,
20,2022-01-21,1094800.0,,,
21,2022-01-22,516885.0,,,
22,2022-01-23,439369.0,,,
23,2022-01-24,991502.0,,,
24,2022-01-25,910214.0,,,
25,2022-01-26,838198.0,,,
26,2022-01-27,938069.0,,,
27,2022-01-28,1488387.0,,,
28,2022-01-29,592389.0,,,
29,2022-01-30,508552.0,,,
30,2022-01-31,1456777.0,,,
31,2022-02-01,1668954.0,,,
32,2022-02-02,905867.0,,,
33,2022-02-03,896470.0,,,
34,2022-02-04,1157297.0,,,
35,2022-02-05,545899.0,,,
36,2022-02-06,474255.0,,,
37,2022-02-07,1070938.0,,,
38,2022-02-08,775691.0,,,
39,2022-02-09,734617.0,,,
40,2022-02-10,858425.0,,,
41,2022-02-11,1070343.0,,,
42,2022-02-12,525856.0,,,
43,2022-02-13,461010.0,,,
44,2022-02-14,954793.0,,,
45,2022-02-15,894232.0,,,
46,2022-02-16,755059.0,,,
47,2022-02-17,784537.0,,,
48,2022-02-18,1061300.0,,,
49,2022-02-19,527250.0,,,
50,2022-02-20,452004.0,,,
51,2022-02-21,1017526.0,,,
52,2022-02-22,754567.0,,,
53,2022-02-23,760124.0,,,
54,2022-02-24,881279.0,,,
55,2022-02-25,1483737.0,,,
56,2022-02-26,615132.0,,,
57,2022-02-27,532556.0,,,
58,2022-02-28,1917444.0,,,
59,2022-03-01,1764680.0,,,
60,2022-03-02,945335.0,,,
61,2022-03-03,929501.0,,,
62,2022-03-04,1172989.0,,,
63,2022-03-05,557364.0,,,
64,2022-03-06,483431.0,,,
65,2022-03-07,1086974.0,,,
66,2022-03-08,785894.0,,,
67,2022-03-09,759636.0,,,
68,2022-03-10,877637.0,,,
69,2022-03-11,1098235.0,,,
70,2022-03-12,533784.0,,,
71,2022-03-13,463703.0,,,
72,2022-03-14,975190.0,,,
73,2022-03-15,907952.0,,,
74,2022-03-16,788896.0,,,
75,2022-03-17,804518.0,,,
76,2022-03-18,1122051.0,,,
77,2022-03-19,535583.0,,,
78,2022-03-20,460379.0,,,
79,2022-03-21,1045107.0,,,
80,2022-03-22,780753.0,,,
81,2022-03-23,768705.0,,,
82,2022-03-24,873688.0,,,
83,2022-03-25,1441596.0,,,
84,2022-03-26,593971.0,,,
85,2022-03-27,482790.0,,,
86,2022-03-28,1373112.0,,,
87,2022-03-29,863624.0,,,
88,2022-03-30,914032.0,,,
89,2022-03-31,1327030.0,,,
90,2022-04-01,2056607.0,,,
91,2022-04-02,613972.0,,,
92,2022-04-03,506215.0,,,
93,2022-04-04,1213312.0,,,
94,2022-04-05,897837.0,,,
95,2022-04-06,823163.0,,,
96,2022-04-07,875270.0,,,
97,2022-04-08,1146316.0,,,
98,2022-04-09,575948.0,,,
99,2022-04-10,465464.0,,,
100,2022-04-11,1022127.0,,,
101,2022-04-12,791324.0,,,
102,2022-04-13,764649.0,,,
103,2022-04-14,1127960.0,,,
104,2022-04-15,625569.0,,,
105,2022-04-16,479047.0,,,
106,2022-04-17,381979.0,,,
107,2022-04-18,480587.0,,,
108,2022-04-19,1281490.0,,,
109,2022-04-20,873162.0,,,
110,2022-04-21,867483.0,,,
111,2022-04-22,1153218.0,,,
112,2022-04-23,567361.0,,,
113,2022-04-24,468983.0,,,
114,2022-04-25,1199337.0,,,
115,2022-04-26,897563.0,,,
116,2022-04-27,899983.0,,,
117,2022-04-28,1208915.0,,,
118,2022-04-29,1673649.0,,,
119,2022-04-30,665069.0,,,
120,2022-05-01,606887.0,,,
121,2022-05-02,619621.0,,,
122,2022-05-03,2059565.0,,,
123,2022-05-04,896867.0,,,
124,2022-05-05,958106.0,,,
125,2022-05-06,1170279.0,,,
126,2022-05-07,525797.0,,,
127,2022-05-08,475362.0,,,
128,2022-05-09,1011946.0,,,
129,2022-05-10,866249.0,,,
130,2022-05-11,768239.0,,,
131,2022-05-12,826199.0,,,
132,2022-05-13,1129218.0,,,
133,2022-05-14,497985.0,,,
134,2022-05-15,492233.0,,,
135,2022-05-16,1083389.0,,,
136,2022-05-17,766720.0,,,
137,2022-05-18,757300.0,,,
138,2022-05-19,807823.0,,,
139,2022-05-20,1191808.0,,,
140,2022-05-21,539584.0,,,
141,2022-05-22,462893.0,,,
142,2022-05-23,1015099.0,,,
143,2022-05-24,829984.0,,,
144,2022-05-25,949116.0,,,
145,2022-05-26,968214.0,,,
146,2022-05-27,1434171.0,,,
147,2022-05-28,593940.0,,,
148,2022-05-29,490491.0,,,
149,2022-05-30,1241532.0,,,
150,2022-05-31,1278593.0,,,
151,2022-06-01,1932996.0,,,
152,2022-06-02,633732.0,,,
153,2022-06-03,562715.0,,,
154,2022-06-04,476302.0,,,
155,2022-06-05,466672.0,,,
156,2022-06-06,1474840.0,,,
157,2022-06-07,854466.0,,,
158,2022-06-08,821282.0,,,
159,2022-06-09,842636.0,,,
160,2022-06-10,1163304.0,,,
161,2022-06-11,527198.0,,,
162,2022-06-12,463382.0,,,
163,2022-06-13,974409.0,,,
164,2022-06-14,764014.0,,,
165,2022-06-15,895272.0,,,
166,2022-06-16,851535.0,,,
167,2022-06-17,1093942.0,,,
168,2022-06-18,528830.0,,,
169,2022-06-19,479504.0,,,
170,2022-06-20,1052784.0,,,
171,2022-06-21,800519.0,,,
172,2022-06-22,762425.0,,,
173,2022-06-23,856862.0,,,
174,2022-06-24,1344991.0,,,
175,2022-06-25,570158.0,,,
176,2022-06-26,481436.0,,,
177,2022-06-27,1217113.0,,,
178,2022-06-28,1091427.0,,,
179,2022-06-29,909195.0,,,
180,2022-06-30,1357742.0,,,
181,2022-07-01,2080511.0,,,
182,2022-07-02,596164.0,,,
183,2022-07-03,502411.0,,,
184,2022-07-04,1191918.0,,,
185,2022-07-05,911965.0,,,
186,2022-07-06,814543.0,,,
187,2022-07-07,871077.0,,,
188,2022-07-08,1130176.0,,,
189,2022-07-09,513200.0,,,
190,2022-07-10,447874.0,,,
191,2022-07-11,1009490.0,,,
192,2022-07-12,777407.0,,,
193,2022-07-13,738924.0,,,
194,2022-07-14,825905.0,,,
195,2022-07-15,1256125.0,,,
196,2022-07-16,528574.0,,,
197,2022-07-17,445734.0,,,
198,2022-07-18,997494.0,,,
199,2022-07-19,768189.0,,,
200,2022-07-20,841969.0,,,
201,2022-07-21,843521.0,,,
202,2022-07-22,1132984.0,,,
203,2022-07-23,533231.0,,,
204,2022-07-24,455566.0,,,
205,2022-07-25,1140905.0,,,
206,2022-07-26,866021.0,,,
207,2022-07-27,892700.0,,,
208,2022-07-28,1186055.0,,,
209,2022-07-29,1562206.0,,,
210,2022-07-30,604774.0,,,
211,2022-07-31,553936.0,,,
212,2022-08-01,1897360.0,,,
213,2022-08-02,935416.0,,,
214,2022-08-03,851225.0,,,
215,2022-08-04,869718.0,,,
216,2022-08-05,1173336.0,,,
217,2022-08-06,516890.0,,,
218,2022-08-07,448635.0,,,
219,2022-08-08,1001488.0,,,
220,2022-08-09,757768.0,,,
221,2022-08-10,799297.0,,,
222,2022-08-11,785851.0,,,
223,2022-08-12,1059733.0,,,
224,2022-08-13,498985.0,,,
225,2022-08-14,440322.0,,,
226,2022-08-15,1067189.0,,,
227,2022-08-16,780821.0,,,
228,2022-08-17,748451.0,,,
229,2022-08-18,816121.0,,,
230,2022-08-19,1107887.0,,,
231,2022-08-20,531569.0,,,
232,2022-08-21,444169.0,,,
233,2022-08-22,1025597.0,,,
234,2022-08-23,777770.0,,,
235,2022-08-24,797016.0,,,
236,2022-08-25,998914.0,,,
237,2022-08-26,1476323.0,,,
238,2022-08-27,566718.0,,,
239,2022-08-28,459333.0,,,
240,2022-08-29,549383.0,,,
241,2022-08-30,1345544.0,,,
242,2022-08-31,1256098.0,,,
243,2022-09-01,1769764.0,,,
244,2022-09-02,1280901.0,,,
245,2022-09-03,569611.0,,,
246,2022-09-04,502053.0,,,
247,2022-09-05,1153946.0,,,
248,2022-09-06,833668.0,,,
249,2022-09-07,804184.0,,,
250,2022-09-08,816227.0,,,
251,2022-09-09,1092424.0,,,
252,2022-09-10,538390.0,,,
253,2022-09-11,466417.0,,,
254,2022-09-12,1013008.0,,,
255,2022-09-13,758421.0,,,
256,2022-09-14,761680.0,,,
257,2022-09-15,964737.0,,,
258,2022-09-16,1395369.0,,,
259,2022-09-17,549816.0,,,
260,2022-09-18,453722.0,,,
