,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,1553.0,,,
1,2022-01-02,1416.0,,,
2,2022-01-03,2828.0,,,
3,2022-01-04,47726.0,,,
4,2022-01-05,40625.0,,,
5,2022-01-06,44736.0,,,
6,2022-01-07,87415.0,,,
7,2022-01-08,1670.0,,,
8,2022-01-09,1626.0,,,
9,2022-01-10,35259.0,,,
10,2022-01-11,28150.0,,,
11,2022-01-12,32028.0,,,
12,2022-01-13,37969.0,,,
13,2022-01-14,101497.0,,,
14,2022-01-15,2096.0,,,
15,2022-01-16,1464.0,,,
16,2022-01-17,36437.0,,,
17,2022-01-18,25145.0,,,
18,2022-01-19,27140.0,,,
19,2022-01-20,45697.0,,,
20,2022-01-21,96489.0,,,
21,2022-01-22,1924.0,,,
22,2022-01-23,1511.0,,,
23,2022-01-24,32713.0,,,
24,2022-01-25,37587.0,,,
25,2022-01-26,38496.0,,,
26,2022-01-27,54562.0,,,
27,2022-01-28,142224.0,,,
28,2022-01-29,1852.0,,,
29,2022-01-30,2346.0,,,
30,2022-01-31,106278.0,,,
31,2022-02-01,52758.0,,,
32,2022-02-02,35131.0,,,
33,2022-02-03,43217.0,,,
34,2022-02-04,101700.0,,,
35,2022-02-05,1834.0,,,
36,2022-02-06,1924.0,,,
37,2022-02-07,36127.0,,,
38,2022-02-08,29114.0,,,
39,2022-02-09,28938.0,,,
40,2022-02-10,42974.0,,,
41,2022-02-11,91630.0,,,
42,2022-02-12,1591.0,,,
43,2022-02-13,1511.0,,,
44,2022-02-14,30831.0,,,
45,2022-02-15,37577.0,,,
46,2022-02-16,27447.0,,,
47,2022-02-17,40482.0,,,
48,2022-02-18,93599.0,,,
49,2022-02-19,1972.0,,,
50,2022-02-20,1517.0,,,
51,2022-02-21,35222.0,,,
52,2022-02-22,26072.0,,,
53,2022-02-23,28855.0,,,
54,2022-02-24,53692.0,,,
55,2022-02-25,136183.0,,,
56,2022-02-26,2290.0,,,
57,2022-02-27,2189.0,,,
58,2022-02-28,136764.0,,,
59,2022-03-01,47424.0,,,
60,2022-03-02,32716.0,,,
61,2022-03-03,41054.0,,,
62,2022-03-04,102877.0,,,
63,2022-03-05,2434.0,,,
64,2022-03-06,1826.0,,,
65,2022-03-07,35086.0,,,
66,2022-03-08,26457.0,,,
