,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,505706.0,,,
1,2022-01-02,487861.0,,,
2,2022-01-03,574637.0,,,
3,2022-01-04,2065710.0,,,
4,2022-01-05,802534.0,,,
5,2022-01-06,773010.0,,,
6,2022-01-07,953615.0,,,
7,2022-01-08,541095.0,,,
8,2022-01-09,482577.0,,,
9,2022-01-10,992507.0,,,
10,2022-01-11,690773.0,,,
11,2022-01-12,686104.0,,,
12,2022-01-13,720780.0,,,
13,2022-01-14,988160.0,,,
14,2022-01-15,568495.0,,,
15,2022-01-16,496185.0,,,
16,2022-01-17,1015257.0,,,
17,2022-01-18,704572.0,,,
18,2022-01-19,691520.0,,,
19,2022-01-20,838092.0,,,
20,2022-01-21,999446.0,,,
21,2022-01-22,569201.0,,,
22,2022-01-23,499772.0,,,
23,2022-01-24,938051.0,,,
24,2022-01-25,863508.0,,,
25,2022-01-26,815718.0,,,
26,2022-01-27,904170.0,,,
27,2022-01-28,1356883.0,,,
28,2022-01-29,637594.0,,,
29,2022-01-30,600988.0,,,
30,2022-01-31,1331572.0,,,
31,2022-02-01,1884082.0,,,
32,2022-02-02,885580.0,,,
33,2022-02-03,864402.0,,,
34,2022-02-04,1054411.0,,,
35,2022-02-05,596769.0,,,
36,2022-02-06,536952.0,,,
37,2022-02-07,1015035.0,,,
38,2022-02-08,727425.0,,,
39,2022-02-09,704057.0,,,
40,2022-02-10,834021.0,,,
41,2022-02-11,972891.0,,,
42,2022-02-12,576447.0,,,
43,2022-02-13,514829.0,,,
44,2022-02-14,886654.0,,,
45,2022-02-15,863298.0,,,
46,2022-02-16,731019.0,,,
47,2022-02-17,758924.0,,,
48,2022-02-18,967897.0,,,
49,2022-02-19,572813.0,,,
50,2022-02-20,508658.0,,,
51,2022-02-21,963740.0,,,
52,2022-02-22,715766.0,,,
53,2022-02-23,727243.0,,,
54,2022-02-24,831095.0,,,
55,2022-02-25,1295413.0,,,
56,2022-02-26,638801.0,,,
57,2022-02-27,603990.0,,,
58,2022-02-28,1809630.0,,,
59,2022-03-01,1940136.0,,,
60,2022-03-02,926575.0,,,
61,2022-03-03,894466.0,,,
62,2022-03-04,1080332.0,,,
63,2022-03-05,630704.0,,,
64,2022-03-06,544882.0,,,
65,2022-03-07,1034962.0,,,
66,2022-03-08,744563.0,,,
67,2022-03-09,731050.0,,,
68,2022-03-10,859907.0,,,
69,2022-03-11,1005234.0,,,
70,2022-03-12,586578.0,,,
71,2022-03-13,517022.0,,,
72,2022-03-14,912351.0,,,
73,2022-03-15,884046.0,,,
74,2022-03-16,762748.0,,,
75,2022-03-17,784930.0,,,
76,2022-03-18,1023545.0,,,
77,2022-03-19,577995.0,,,
78,2022-03-20,518609.0,,,
79,2022-03-21,994011.0,,,
80,2022-03-22,739156.0,,,
81,2022-03-23,739721.0,,,
82,2022-03-24,833845.0,,,
83,2022-03-25,1280791.0,,,
84,2022-03-26,632092.0,,,
85,2022-03-27,542660.0,,,
86,2022-03-28,1264864.0,,,
87,2022-03-29,813023.0,,,
88,2022-03-30,894552.0,,,
89,2022-03-31,1178704.0,,,
90,2022-04-01,2221330.0,,,
91,2022-04-02,670261.0,,,
92,2022-04-03,565683.0,,,
93,2022-04-04,1153437.0,,,
94,2022-04-05,862064.0,,,
95,2022-04-06,799000.0,,,
96,2022-04-07,841469.0,,,
97,2022-04-08,1051731.0,,,
98,2022-04-09,626157.0,,,
99,2022-04-10,516509.0,,,
100,2022-04-11,978036.0,,,
101,2022-04-12,745659.0,,,
102,2022-04-13,745118.0,,,
103,2022-04-14,965384.0,,,
104,2022-04-15,673412.0,,,
105,2022-04-16,531417.0,,,
106,2022-04-17,419716.0,,,
107,2022-04-18,535593.0,,,
108,2022-04-19,1242431.0,,,
109,2022-04-20,849055.0,,,
110,2022-04-21,826886.0,,,
111,2022-04-22,1036387.0,,,
112,2022-04-23,597504.0,,,
113,2022-04-24,527995.0,,,
114,2022-04-25,1135460.0,,,
115,2022-04-26,852979.0,,,
116,2022-04-27,870600.0,,,
117,2022-04-28,1129968.0,,,
118,2022-04-29,1483435.0,,,
119,2022-04-30,738121.0,,,
120,2022-05-01,668208.0,,,
121,2022-05-02,685542.0,,,
122,2022-05-03,2237396.0,,,
123,2022-05-04,869198.0,,,
124,2022-05-05,923400.0,,,
125,2022-05-06,1069004.0,,,
126,2022-05-07,569527.0,,,
127,2022-05-08,560392.0,,,
128,2022-05-09,966139.0,,,
129,2022-05-10,835423.0,,,
130,2022-05-11,746784.0,,,
131,2022-05-12,804366.0,,,
132,2022-05-13,1025276.0,,,
133,2022-05-14,544950.0,,,
134,2022-05-15,572873.0,,,
135,2022-05-16,1060895.0,,,
136,2022-05-17,731572.0,,,
137,2022-05-18,744191.0,,,
138,2022-05-19,783980.0,,,
139,2022-05-20,1113724.0,,,
140,2022-05-21,587049.0,,,
141,2022-05-22,522797.0,,,
142,2022-05-23,958470.0,,,
143,2022-05-24,786249.0,,,
144,2022-05-25,908967.0,,,
145,2022-05-26,925372.0,,,
146,2022-05-27,1254677.0,,,
147,2022-05-28,643460.0,,,
148,2022-05-29,551443.0,,,
149,2022-05-30,1227412.0,,,
150,2022-05-31,1111636.0,,,
151,2022-06-01,2061325.0,,,
152,2022-06-02,668234.0,,,
153,2022-06-03,613764.0,,,
154,2022-06-04,531773.0,,,
155,2022-06-05,529635.0,,,
156,2022-06-06,1419260.0,,,
157,2022-06-07,810251.0,,,
158,2022-06-08,783244.0,,,
159,2022-06-09,801537.0,,,
160,2022-06-10,1082406.0,,,
161,2022-06-11,575913.0,,,
162,2022-06-12,519872.0,,,
163,2022-06-13,908937.0,,,
164,2022-06-14,758833.0,,,
165,2022-06-15,906952.0,,,
166,2022-06-16,828170.0,,,
167,2022-06-17,1006213.0,,,
168,2022-06-18,576611.0,,,
169,2022-06-19,538839.0,,,
170,2022-06-20,1014462.0,,,
171,2022-06-21,762883.0,,,
172,2022-06-22,741853.0,,,
173,2022-06-23,824013.0,,,
174,2022-06-24,1169401.0,,,
175,2022-06-25,604430.0,,,
176,2022-06-26,538397.0,,,
177,2022-06-27,1144581.0,,,
178,2022-06-28,1033562.0,,,
179,2022-06-29,882261.0,,,
180,2022-06-30,1102634.0,,,
181,2022-07-01,2323357.0,,,
182,2022-07-02,666260.0,,,
183,2022-07-03,571087.0,,,
184,2022-07-04,1154746.0,,,
185,2022-07-05,870436.0,,,
186,2022-07-06,799897.0,,,
187,2022-07-07,835885.0,,,
188,2022-07-08,1032550.0,,,
189,2022-07-09,560875.0,,,
190,2022-07-10,506942.0,,,
191,2022-07-11,969280.0,,,
192,2022-07-12,749353.0,,,
193,2022-07-13,728185.0,,,
194,2022-07-14,813481.0,,,
195,2022-07-15,1171996.0,,,
196,2022-07-16,569830.0,,,
197,2022-07-17,507930.0,,,
198,2022-07-18,962619.0,,,
199,2022-07-19,746700.0,,,
200,2022-07-20,840464.0,,,
201,2022-07-21,816750.0,,,
202,2022-07-22,1029013.0,,,
203,2022-07-23,574986.0,,,
204,2022-07-24,517966.0,,,
205,2022-07-25,1083157.0,,,
206,2022-07-26,834000.0,,,
207,2022-07-27,864894.0,,,
208,2022-07-28,1127370.0,,,
209,2022-07-29,1361981.0,,,
210,2022-07-30,666536.0,,,
211,2022-07-31,631878.0,,,
212,2022-08-01,2079464.0,,,
213,2022-08-02,900732.0,,,
214,2022-08-03,828274.0,,,
215,2022-08-04,837996.0,,,
216,2022-08-05,1084445.0,,,
217,2022-08-06,563474.0,,,
218,2022-08-07,505551.0,,,
219,2022-08-08,948509.0,,,
220,2022-08-09,719567.0,,,
221,2022-08-10,791106.0,,,
222,2022-08-11,756019.0,,,
223,2022-08-12,961673.0,,,
224,2022-08-13,540913.0,,,
225,2022-08-14,497762.0,,,
226,2022-08-15,1036245.0,,,
227,2022-08-16,745670.0,,,
228,2022-08-17,717372.0,,,
229,2022-08-18,792002.0,,,
230,2022-08-19,998203.0,,,
231,2022-08-20,578069.0,,,
232,2022-08-21,496152.0,,,
233,2022-08-22,981038.0,,,
234,2022-08-23,737998.0,,,
235,2022-08-24,774340.0,,,
236,2022-08-25,962817.0,,,
237,2022-08-26,1286694.0,,,
238,2022-08-27,614371.0,,,
239,2022-08-28,504446.0,,,
240,2022-08-29,597371.0,,,
241,2022-08-30,1283745.0,,,
242,2022-08-31,1115696.0,,,
243,2022-09-01,1979791.0,,,
244,2022-09-02,1178434.0,,,
245,2022-09-03,624420.0,,,
246,2022-09-04,560734.0,,,
247,2022-09-05,1101007.0,,,
248,2022-09-06,786772.0,,,
249,2022-09-07,776230.0,,,
250,2022-09-08,776956.0,,,
251,2022-09-09,977331.0,,,
252,2022-09-10,579551.0,,,
253,2022-09-11,516230.0,,,
254,2022-09-12,965097.0,,,
255,2022-09-13,707889.0,,,
256,2022-09-14,739637.0,,,
257,2022-09-15,949481.0,,,
258,2022-09-16,1081088.0,,,
259,2022-09-17,595609.0,,,
260,2022-09-18,495241.0,,,
261,2022-09-19,474418.0,,,
262,2022-09-20,1049797.0,,,
263,2022-09-21,765257.0,,,
264,2022-09-22,829591.0,,,
265,2022-09-23,1126093.0,,,
266,2022-09-24,615742.0,,,
267,2022-09-25,553169.0,,,
268,2022-09-26,1130776.0,,,
269,2022-09-27,876376.0,,,
270,2022-09-28,1065475.0,,,
271,2022-09-29,953151.0,,,
272,2022-09-30,1587825.0,,,
273,2022-10-01,829968.0,,,
274,2022-10-02,656747.0,,,
275,2022-10-03,2132538.0,,,
276,2022-10-04,857523.0,,,
277,2022-10-05,879663.0,,,
278,2022-10-06,846794.0,,,
279,2022-10-07,1074238.0,,,
280,2022-10-08,616508.0,,,
281,2022-10-09,551639.0,,,
282,2022-10-10,1015459.0,,,
283,2022-10-11,747963.0,,,
284,2022-10-12,759196.0,,,
285,2022-10-13,785817.0,,,
286,2022-10-14,1075962.0,,,
287,2022-10-15,626103.0,,,
288,2022-10-16,542008.0,,,
289,2022-10-17,1055657.0,,,
290,2022-10-18,760620.0,,,
291,2022-10-19,745941.0,,,
292,2022-10-20,883248.0,,,
293,2022-10-21,1058670.0,,,
294,2022-10-22,611304.0,,,
295,2022-10-23,532772.0,,,
296,2022-10-24,976105.0,,,
297,2022-10-25,904611.0,,,
298,2022-10-26,866480.0,,,
299,2022-10-27,951160.0,,,
300,2022-10-28,1405349.0,,,
301,2022-10-29,667689.0,,,
302,2022-10-30,636096.0,,,
303,2022-10-31,1359862.0,,,
304,2022-11-01,1979991.0,,,
305,2022-11-02,945822.0,,,
306,2022-11-03,920784.0,,,
307,2022-11-04,1095090.0,,,
308,2022-11-05,631923.0,,,
309,2022-11-06,596585.0,,,
310,2022-11-07,1079154.0,,,
311,2022-11-08,818912.0,,,
312,2022-11-09,796844.0,,,
313,2022-11-10,926870.0,,,
314,2022-11-11,1066146.0,,,
315,2022-11-12,629967.0,,,
316,2022-11-13,558003.0,,,
317,2022-11-14,939628.0,,,
318,2022-11-15,941120.0,,,
319,2022-11-16,792781.0,,,
320,2022-11-17,835308.0,,,
321,2022-11-18,1092672.0,,,
322,2022-11-19,633727.0,,,
323,2022-11-20,577278.0,,,
324,2022-11-21,1024980.0,,,
325,2022-11-22,780581.0,,,
326,2022-11-23,798268.0,,,
327,2022-11-24,905666.0,,,
328,2022-11-25,1351377.0,,,
329,2022-11-26,683408.0,,,
330,2022-11-27,634353.0,,,
331,2022-11-28,1340823.0,,,
332,2022-11-29,911801.0,,,
333,2022-11-30,1272602.0,,,
334,2022-12-01,2031715.0,,,
335,2022-12-02,1231958.0,,,
336,2022-12-03,669599.0,,,
337,2022-12-04,614736.0,,,
338,2022-12-05,1171038.0,,,
339,2022-12-06,839044.0,,,
340,2022-12-07,829044.0,,,
341,2022-12-08,856688.0,,,
342,2022-12-09,1063077.0,,,
343,2022-12-10,672401.0,,,
344,2022-12-11,566429.0,,,
345,2022-12-12,1017277.0,,,
346,2022-12-13,768548.0,,,
347,2022-12-14,804848.0,,,
348,2022-12-15,997540.0,,,
349,2022-12-16,1118516.0,,,
350,2022-12-17,646775.0,,,
351,2022-12-18,569875.0,,,
352,2022-12-19,1025440.0,,,
353,2022-12-20,960294.0,,,
354,2022-12-21,958230.0,,,
355,2022-12-22,1001624.0,,,
356,2022-12-23,1278189.0,,,
357,2022-12-24,634873.0,,,
358,2022-12-25,374844.0,,,
359,2022-12-26,416652.0,,,
360,2022-12-27,505423.0,,,
361,2022-12-28,1220124.0,,,
362,2022-12-29,767230.0,,,
363,2022-12-30,1133861.0,,,
364,2022-12-31,628076.0,,,
365,2023-01-01,526156.0,,,
366,2023-01-02,623354.0,,,
367,2023-01-03,2091364.0,,,
368,2023-01-04,811780.0,,,
369,2023-01-05,883466.0,,,
370,2023-01-06,1007834.0,,,
371,2023-01-07,592594.0,,,
372,2023-01-08,531692.0,,,
373,2023-01-09,978995.0,,,
374,2023-01-10,818543.0,,,
375,2023-01-11,729745.0,,,
376,2023-01-12,799143.0,,,
377,2023-01-13,1028172.0,,,
378,2023-01-14,586926.0,,,
379,2023-01-15,575890.0,,,
380,2023-01-16,1055690.0,,,
381,2023-01-17,728014.0,,,
382,2023-01-18,745480.0,,,
383,2023-01-19,785122.0,,,
384,2023-01-20,1115039.0,,,
385,2023-01-21,607755.0,,,
386,2023-01-22,543746.0,,,
387,2023-01-23,957895.0,,,
388,2023-01-24,785811.0,,,
389,2023-01-25,924896.0,,,
390,2023-01-26,943557.0,,,
391,2023-01-27,1306619.0,,,
392,2023-01-28,697680.0,,,
393,2023-01-29,611670.0,,,
394,2023-01-30,1284679.0,,,
395,2023-01-31,1168563.0,,,
396,2023-02-01,1950359.0,,,
397,2023-02-02,990793.0,,,
398,2023-02-03,1148797.0,,,
399,2023-02-04,643165.0,,,
400,2023-02-05,570997.0,,,
