,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,69.0,,,
1,2022-01-02,121.0,,,
2,2022-01-03,173.0,,,
3,2022-01-04,354.0,,,
4,2022-01-05,298.0,,,
5,2022-01-06,287.0,,,
6,2022-01-07,286.0,,,
7,2022-01-08,244.0,,,
8,2022-01-09,113.0,,,
9,2022-01-10,345.0,,,
10,2022-01-11,277.0,,,
11,2022-01-12,262.0,,,
12,2022-01-13,305.0,,,
13,2022-01-14,317.0,,,
14,2022-01-15,224.0,,,
15,2022-01-16,151.0,,,
16,2022-01-17,309.0,,,
17,2022-01-18,317.0,,,
18,2022-01-19,321.0,,,
19,2022-01-20,280.0,,,
20,2022-01-21,264.0,,,
21,2022-01-22,275.0,,,
22,2022-01-23,135.0,,,
23,2022-01-24,333.0,,,
24,2022-01-25,284.0,,,
25,2022-01-26,256.0,,,
26,2022-01-27,229.0,,,
27,2022-01-28,318.0,,,
28,2022-01-29,219.0,,,
29,2022-01-30,111.0,,,
30,2022-01-31,378.0,,,
31,2022-02-01,340.0,,,
32,2022-02-02,237.0,,,
33,2022-02-03,224.0,,,
34,2022-02-04,255.0,,,
35,2022-02-05,209.0,,,
36,2022-02-06,113.0,,,
37,2022-02-07,279.0,,,
38,2022-02-08,252.0,,,
39,2022-02-09,277.0,,,
40,2022-02-10,297.0,,,
41,2022-02-11,299.0,,,
42,2022-02-12,290.0,,,
43,2022-02-13,107.0,,,
44,2022-02-14,315.0,,,
45,2022-02-15,284.0,,,
46,2022-02-16,254.0,,,
47,2022-02-17,269.0,,,
48,2022-02-18,236.0,,,
49,2022-02-19,313.0,,,
50,2022-02-20,124.0,,,
51,2022-02-21,324.0,,,
52,2022-02-22,276.0,,,
53,2022-02-23,309.0,,,
54,2022-02-24,286.0,,,
55,2022-02-25,281.0,,,
56,2022-02-26,334.0,,,
57,2022-02-27,122.0,,,
58,2022-02-28,359.0,,,
59,2022-03-01,228.0,,,
60,2022-03-02,244.0,,,
61,2022-03-03,228.0,,,
62,2022-03-04,316.0,,,
63,2022-03-05,273.0,,,
64,2022-03-06,113.0,,,
65,2022-03-07,271.0,,,
66,2022-03-08,279.0,,,
67,2022-03-09,233.0,,,
68,2022-03-10,318.0,,,
69,2022-03-11,300.0,,,
70,2022-03-12,268.0,,,
71,2022-03-13,126.0,,,
72,2022-03-14,323.0,,,
73,2022-03-15,376.0,,,
74,2022-03-16,270.0,,,
75,2022-03-17,332.0,,,
76,2022-03-18,359.0,,,
77,2022-03-19,279.0,,,
78,2022-03-20,138.0,,,
79,2022-03-21,330.0,,,
80,2022-03-22,265.0,,,
81,2022-03-23,250.0,,,
82,2022-03-24,303.0,,,
83,2022-03-25,327.0,,,
84,2022-03-26,285.0,,,
85,2022-03-27,122.0,,,
86,2022-03-28,306.0,,,
87,2022-03-29,275.0,,,
88,2022-03-30,258.0,,,
89,2022-03-31,259.0,,,
90,2022-04-01,334.0,,,
91,2022-04-02,310.0,,,
92,2022-04-03,147.0,,,
93,2022-04-04,315.0,,,
94,2022-04-05,284.0,,,
95,2022-04-06,252.0,,,
96,2022-04-07,341.0,,,
97,2022-04-08,333.0,,,
98,2022-04-09,337.0,,,
99,2022-04-10,140.0,,,
100,2022-04-11,331.0,,,
101,2022-04-12,312.0,,,
102,2022-04-13,318.0,,,
103,2022-04-14,315.0,,,
104,2022-04-15,195.0,,,
105,2022-04-16,290.0,,,
106,2022-04-17,101.0,,,
107,2022-04-18,178.0,,,
108,2022-04-19,384.0,,,
109,2022-04-20,400.0,,,
110,2022-04-21,363.0,,,
111,2022-04-22,305.0,,,
112,2022-04-23,287.0,,,
113,2022-04-24,136.0,,,
114,2022-04-25,255.0,,,
115,2022-04-26,279.0,,,
116,2022-04-27,308.0,,,
117,2022-04-28,261.0,,,
118,2022-04-29,326.0,,,
119,2022-04-30,313.0,,,
120,2022-05-01,149.0,,,
121,2022-05-02,162.0,,,
122,2022-05-03,398.0,,,
123,2022-05-04,301.0,,,
124,2022-05-05,324.0,,,
125,2022-05-06,319.0,,,
126,2022-05-07,297.0,,,
127,2022-05-08,151.0,,,
128,2022-05-09,333.0,,,
129,2022-05-10,323.0,,,
130,2022-05-11,301.0,,,
131,2022-05-12,316.0,,,
132,2022-05-13,319.0,,,
133,2022-05-14,397.0,,,
134,2022-05-15,128.0,,,
135,2022-05-16,358.0,,,
136,2022-05-17,303.0,,,
137,2022-05-18,354.0,,,
138,2022-05-19,344.0,,,
139,2022-05-20,330.0,,,
140,2022-05-21,346.0,,,
