,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,190513.0,,,
1,2022-01-02,393552.0,,,
2,2022-01-03,252474.0,,,
3,2022-01-04,311538.0,,,
4,2022-01-05,307065.0,,,
5,2022-01-06,306921.0,,,
6,2022-01-07,393284.0,,,
7,2022-01-08,341282.0,,,
8,2022-01-09,417410.0,,,
9,2022-01-10,329192.0,,,
10,2022-01-11,315924.0,,,
11,2022-01-12,319267.0,,,
12,2022-01-13,342750.0,,,
13,2022-01-14,444342.0,,,
14,2022-01-15,390572.0,,,
15,2022-01-16,440648.0,,,
16,2022-01-17,334226.0,,,
17,2022-01-18,317519.0,,,
18,2022-01-19,322343.0,,,
19,2022-01-20,351114.0,,,
20,2022-01-21,453392.0,,,
21,2022-01-22,404288.0,,,
22,2022-01-23,443097.0,,,
23,2022-01-24,334357.0,,,
24,2022-01-25,332355.0,,,
25,2022-01-26,341422.0,,,
26,2022-01-27,376382.0,,,
27,2022-01-28,498918.0,,,
28,2022-01-29,433647.0,,,
29,2022-01-30,482141.0,,,
30,2022-01-31,371622.0,,,
31,2022-02-01,360220.0,,,
32,2022-02-02,358587.0,,,
33,2022-02-03,376807.0,,,
34,2022-02-04,470341.0,,,
35,2022-02-05,418361.0,,,
36,2022-02-06,453885.0,,,
37,2022-02-07,352373.0,,,
38,2022-02-08,339340.0,,,
39,2022-02-09,345890.0,,,
40,2022-02-10,372105.0,,,
41,2022-02-11,477800.0,,,
42,2022-02-12,413726.0,,,
43,2022-02-13,440626.0,,,
44,2022-02-14,351993.0,,,
45,2022-02-15,328358.0,,,
46,2022-02-16,331017.0,,,
47,2022-02-17,379230.0,,,
48,2022-02-18,378640.0,,,
49,2022-02-19,405752.0,,,
50,2022-02-20,422690.0,,,
51,2022-02-21,344900.0,,,
52,2022-02-22,342939.0,,,
53,2022-02-23,346133.0,,,
54,2022-02-24,365696.0,,,
55,2022-02-25,521302.0,,,
56,2022-02-26,452560.0,,,
57,2022-02-27,505424.0,,,
58,2022-02-28,394513.0,,,
59,2022-03-01,368483.0,,,
60,2022-03-02,352822.0,,,
61,2022-03-03,390382.0,,,
62,2022-03-04,494167.0,,,
63,2022-03-05,471533.0,,,
64,2022-03-06,499932.0,,,
65,2022-03-07,354614.0,,,
66,2022-03-08,345103.0,,,
67,2022-03-09,346124.0,,,
68,2022-03-10,386034.0,,,
69,2022-03-11,469925.0,,,
70,2022-03-12,437964.0,,,
71,2022-03-13,477079.0,,,
72,2022-03-14,354683.0,,,
73,2022-03-15,356124.0,,,
74,2022-03-16,336524.0,,,
75,2022-03-17,395546.0,,,
76,2022-03-18,490230.0,,,
77,2022-03-19,430946.0,,,
78,2022-03-20,486281.0,,,
79,2022-03-21,362401.0,,,
80,2022-03-22,343926.0,,,
81,2022-03-23,350913.0,,,
82,2022-03-24,388226.0,,,
83,2022-03-25,519236.0,,,
84,2022-03-26,467621.0,,,
85,2022-03-27,496278.0,,,
86,2022-03-28,364708.0,,,
87,2022-03-29,349666.0,,,
88,2022-03-30,351044.0,,,
89,2022-03-31,412744.0,,,
90,2022-04-01,512187.0,,,
91,2022-04-02,455487.0,,,
92,2022-04-03,504925.0,,,
93,2022-04-04,352996.0,,,
94,2022-04-05,354251.0,,,
95,2022-04-06,348618.0,,,
96,2022-04-07,381929.0,,,
97,2022-04-08,497577.0,,,
98,2022-04-09,450908.0,,,
99,2022-04-10,500360.0,,,
100,2022-04-11,365526.0,,,
101,2022-04-12,354763.0,,,
102,2022-04-13,384710.0,,,
103,2022-04-14,495475.0,,,
104,2022-04-15,440850.0,,,
105,2022-04-16,426978.0,,,
106,2022-04-17,446604.0,,,
107,2022-04-18,288223.0,,,
108,2022-04-19,367211.0,,,
109,2022-04-20,363770.0,,,
110,2022-04-21,393646.0,,,
111,2022-04-22,484825.0,,,
112,2022-04-23,436683.0,,,
113,2022-04-24,490499.0,,,
114,2022-04-25,370096.0,,,
115,2022-04-26,367289.0,,,
116,2022-04-27,371003.0,,,
117,2022-04-28,418943.0,,,
118,2022-04-29,580439.0,,,
119,2022-04-30,500998.0,,,
120,2022-05-01,581312.0,,,
121,2022-05-02,317166.0,,,
122,2022-05-03,387590.0,,,
123,2022-05-04,367957.0,,,
124,2022-05-05,411580.0,,,
125,2022-05-06,501672.0,,,
126,2022-05-07,459393.0,,,
127,2022-05-08,519349.0,,,
128,2022-05-09,365325.0,,,
129,2022-05-10,360609.0,,,
130,2022-05-11,354793.0,,,
131,2022-05-12,401214.0,,,
132,2022-05-13,506583.0,,,
133,2022-05-14,455411.0,,,
134,2022-05-15,492639.0,,,
135,2022-05-16,359229.0,,,
136,2022-05-17,352433.0,,,
137,2022-05-18,363332.0,,,
138,2022-05-19,395392.0,,,
139,2022-05-20,490304.0,,,
140,2022-05-21,456462.0,,,
141,2022-05-22,509042.0,,,
142,2022-05-23,358082.0,,,
143,2022-05-24,356134.0,,,
