,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-01,9966.0,,,
1,2022-01-02,21899.0,,,
2,2022-01-03,18242.0,,,
3,2022-01-04,38639.0,,,
4,2022-01-05,36104.0,,,
5,2022-01-06,31069.0,,,
6,2022-01-07,40729.0,,,
7,2022-01-08,30443.0,,,
8,2022-01-09,23697.0,,,
9,2022-01-10,36830.0,,,
10,2022-01-11,34071.0,,,
11,2022-01-12,34492.0,,,
12,2022-01-13,35715.0,,,
13,2022-01-14,45308.0,,,
14,2022-01-15,37242.0,,,
15,2022-01-16,23817.0,,,
16,2022-01-17,37330.0,,,
17,2022-01-18,34378.0,,,
18,2022-01-19,33768.0,,,
19,2022-01-20,36491.0,,,
20,2022-01-21,45489.0,,,
21,2022-01-22,38936.0,,,
22,2022-01-23,23671.0,,,
23,2022-01-24,36828.0,,,
24,2022-01-25,35400.0,,,
25,2022-01-26,35210.0,,,
26,2022-01-27,38058.0,,,
27,2022-01-28,50293.0,,,
28,2022-01-29,40466.0,,,
29,2022-01-30,25248.0,,,
30,2022-01-31,40922.0,,,
31,2022-02-01,39618.0,,,
32,2022-02-02,38045.0,,,
33,2022-02-03,38956.0,,,
34,2022-02-04,45882.0,,,
35,2022-02-05,39052.0,,,
36,2022-02-06,23232.0,,,
37,2022-02-07,39547.0,,,
38,2022-02-08,36543.0,,,
39,2022-02-09,36237.0,,,
40,2022-02-10,38235.0,,,
41,2022-02-11,49329.0,,,
42,2022-02-12,39042.0,,,
43,2022-02-13,21647.0,,,
44,2022-02-14,38074.0,,,
45,2022-02-15,33256.0,,,
46,2022-02-16,34590.0,,,
47,2022-02-17,39146.0,,,
48,2022-02-18,28981.0,,,
49,2022-02-19,35832.0,,,
50,2022-02-20,21227.0,,,
51,2022-02-21,37395.0,,,
52,2022-02-22,38251.0,,,
53,2022-02-23,38593.0,,,
54,2022-02-24,36282.0,,,
55,2022-02-25,54980.0,,,
56,2022-02-26,44220.0,,,
57,2022-02-27,28101.0,,,
58,2022-02-28,44858.0,,,
59,2022-03-01,42099.0,,,
60,2022-03-02,37194.0,,,
61,2022-03-03,41922.0,,,
62,2022-03-04,50517.0,,,
63,2022-03-05,45843.0,,,
64,2022-03-06,27176.0,,,
65,2022-03-07,41225.0,,,
66,2022-03-08,38333.0,,,
67,2022-03-09,37653.0,,,
68,2022-03-10,40652.0,,,
69,2022-03-11,46326.0,,,
70,2022-03-12,42843.0,,,
71,2022-03-13,25214.0,,,
72,2022-03-14,41611.0,,,
73,2022-03-15,40394.0,,,
74,2022-03-16,34623.0,,,
75,2022-03-17,41004.0,,,
76,2022-03-18,49996.0,,,
77,2022-03-19,41832.0,,,
78,2022-03-20,26615.0,,,
79,2022-03-21,40744.0,,,
80,2022-03-22,38218.0,,,
81,2022-03-23,38526.0,,,
82,2022-03-24,40988.0,,,
83,2022-03-25,53356.0,,,
84,2022-03-26,45338.0,,,
85,2022-03-27,25131.0,,,
86,2022-03-28,40594.0,,,
87,2022-03-29,37975.0,,,
88,2022-03-30,36881.0,,,
89,2022-03-31,41018.0,,,
90,2022-04-01,53131.0,,,
91,2022-04-02,44987.0,,,
92,2022-04-03,27865.0,,,
93,2022-04-04,40584.0,,,
94,2022-04-05,40715.0,,,
95,2022-04-06,37585.0,,,
96,2022-04-07,39079.0,,,
97,2022-04-08,52492.0,,,
98,2022-04-09,44715.0,,,
99,2022-04-10,26964.0,,,
100,2022-04-11,42757.0,,,
101,2022-04-12,39331.0,,,
102,2022-04-13,42265.0,,,
103,2022-04-14,53529.0,,,
104,2022-04-15,29791.0,,,
105,2022-04-16,41217.0,,,
106,2022-04-17,19988.0,,,
107,2022-04-18,16580.0,,,
108,2022-04-19,45328.0,,,
109,2022-04-20,41749.0,,,
110,2022-04-21,42768.0,,,
111,2022-04-22,50910.0,,,
112,2022-04-23,41564.0,,,
113,2022-04-24,25455.0,,,
114,2022-04-25,42365.0,,,
115,2022-04-26,41467.0,,,
116,2022-04-27,40205.0,,,
117,2022-04-28,43775.0,,,
118,2022-04-29,60958.0,,,
119,2022-04-30,49181.0,,,
120,2022-05-01,30220.0,,,
121,2022-05-02,18957.0,,,
122,2022-05-03,48715.0,,,
123,2022-05-04,41818.0,,,
124,2022-05-05,43767.0,,,
125,2022-05-06,51072.0,,,
126,2022-05-07,44212.0,,,
127,2022-05-08,27425.0,,,
128,2022-05-09,41270.0,,,
129,2022-05-10,39840.0,,,
130,2022-05-11,36663.0,,,
131,2022-05-12,42181.0,,,
132,2022-05-13,51886.0,,,
133,2022-05-14,43276.0,,,
134,2022-05-15,25792.0,,,
135,2022-05-16,39593.0,,,
136,2022-05-17,38826.0,,,
137,2022-05-18,38964.0,,,
138,2022-05-19,41125.0,,,
139,2022-05-20,48291.0,,,
140,2022-05-21,44058.0,,,
141,2022-05-22,27185.0,,,
142,2022-05-23,39846.0,,,
143,2022-05-24,39453.0,,,
144,2022-05-25,39403.0,,,
145,2022-05-26,42638.0,,,
146,2022-05-27,55144.0,,,
147,2022-05-28,45623.0,,,
148,2022-05-29,27644.0,,,
149,2022-05-30,43297.0,,,
150,2022-05-31,46552.0,,,
151,2022-06-01,56768.0,,,
152,2022-06-02,29992.0,,,
153,2022-06-03,25873.0,,,
154,2022-06-04,39282.0,,,
155,2022-06-05,22635.0,,,
156,2022-06-06,44089.0,,,
157,2022-06-07,42577.0,,,
158,2022-06-08,39655.0,,,
159,2022-06-09,41785.0,,,
160,2022-06-10,52159.0,,,
161,2022-06-11,43017.0,,,
162,2022-06-12,28049.0,,,
163,2022-06-13,42151.0,,,
164,2022-06-14,40593.0,,,
165,2022-06-15,39921.0,,,
166,2022-06-16,41421.0,,,
167,2022-06-17,47357.0,,,
168,2022-06-18,41252.0,,,
169,2022-06-19,26777.0,,,
170,2022-06-20,42080.0,,,
171,2022-06-21,39675.0,,,
172,2022-06-22,38402.0,,,
173,2022-06-23,39182.0,,,
174,2022-06-24,52190.0,,,
175,2022-06-25,43213.0,,,
176,2022-06-26,27819.0,,,
177,2022-06-27,41622.0,,,
178,2022-06-28,41390.0,,,
179,2022-06-29,40501.0,,,
180,2022-06-30,89734.0,,,
181,2022-07-01,56303.0,,,
182,2022-07-02,45126.0,,,
183,2022-07-03,28242.0,,,
184,2022-07-04,44042.0,,,
185,2022-07-05,41463.0,,,
186,2022-07-06,39570.0,,,
187,2022-07-07,42036.0,,,
188,2022-07-08,51390.0,,,
189,2022-07-09,41489.0,,,
190,2022-07-10,26649.0,,,
191,2022-07-11,39702.0,,,
192,2022-07-12,37441.0,,,
193,2022-07-13,39129.0,,,
194,2022-07-14,43548.0,,,
195,2022-07-15,55028.0,,,
196,2022-07-16,43653.0,,,
197,2022-07-17,26321.0,,,
198,2022-07-18,33974.0,,,
199,2022-07-19,31324.0,,,
200,2022-07-20,44571.0,,,
201,2022-07-21,45853.0,,,
202,2022-07-22,52409.0,,,
203,2022-07-23,41777.0,,,
204,2022-07-24,27059.0,,,
205,2022-07-25,43685.0,,,
206,2022-07-26,42967.0,,,
207,2022-07-27,41599.0,,,
208,2022-07-28,45430.0,,,
209,2022-07-29,56911.0,,,
210,2022-07-30,42845.0,,,
211,2022-07-31,29096.0,,,
212,2022-08-01,45321.0,,,
213,2022-08-02,41315.0,,,
214,2022-08-03,41700.0,,,
215,2022-08-04,43165.0,,,
216,2022-08-05,52926.0,,,
217,2022-08-06,41113.0,,,
218,2022-08-07,26825.0,,,
219,2022-08-08,42360.0,,,
220,2022-08-09,40227.0,,,
221,2022-08-10,38738.0,,,
222,2022-08-11,38838.0,,,
223,2022-08-12,46704.0,,,
224,2022-08-13,37412.0,,,
225,2022-08-14,26169.0,,,
226,2022-08-15,41324.0,,,
227,2022-08-16,39377.0,,,
228,2022-08-17,38895.0,,,
229,2022-08-18,42244.0,,,
230,2022-08-19,51291.0,,,
231,2022-08-20,40317.0,,,
232,2022-08-21,27313.0,,,
233,2022-08-22,41162.0,,,
234,2022-08-23,40902.0,,,
235,2022-08-24,39843.0,,,
236,2022-08-25,40236.0,,,
237,2022-08-26,58508.0,,,
238,2022-08-27,43364.0,,,
239,2022-08-28,28772.0,,,
240,2022-08-29,18214.0,,,
241,2022-08-30,48123.0,,,
242,2022-08-31,46466.0,,,
243,2022-09-01,45990.0,,,
244,2022-09-02,52955.0,,,
245,2022-09-03,40903.0,,,
246,2022-09-04,27719.0,,,
247,2022-09-05,42573.0,,,
248,2022-09-06,39304.0,,,
249,2022-09-07,38425.0,,,
250,2022-09-08,37748.0,,,
251,2022-09-09,47413.0,,,
252,2022-09-10,39377.0,,,
253,2022-09-11,25436.0,,,
254,2022-09-12,39395.0,,,
255,2022-09-13,38228.0,,,
256,2022-09-14,37281.0,,,
257,2022-09-15,41682.0,,,
258,2022-09-16,52082.0,,,
259,2022-09-17,42080.0,,,
260,2022-09-18,27008.0,,,
261,2022-09-19,7600.0,,,
262,2022-09-20,46091.0,,,
263,2022-09-21,40129.0,,,
264,2022-09-22,40437.0,,,
265,2022-09-23,51211.0,,,
266,2022-09-24,41487.0,,,
267,2022-09-25,25781.0,,,
268,2022-09-26,39969.0,,,
269,2022-09-27,39442.0,,,
270,2022-09-28,41802.0,,,
271,2022-09-29,43782.0,,,
272,2022-09-30,52928.0,,,
273,2022-10-01,46530.0,,,
274,2022-10-02,28032.0,,,
275,2022-10-03,43757.0,,,
276,2022-10-04,39116.0,,,
277,2022-10-05,35190.0,,,
278,2022-10-06,42081.0,,,
279,2022-10-07,48157.0,,,
280,2022-10-08,41913.0,,,
281,2022-10-09,24472.0,,,
282,2022-10-10,40334.0,,,
283,2022-10-11,39177.0,,,
284,2022-10-12,37013.0,,,
285,2022-10-13,39603.0,,,
286,2022-10-14,48338.0,,,
287,2022-10-15,39324.0,,,
288,2022-10-16,26007.0,,,
289,2022-10-17,39109.0,,,
290,2022-10-18,39123.0,,,
291,2022-10-19,36391.0,,,
292,2022-10-20,34743.0,,,
293,2022-10-21,47783.0,,,
294,2022-10-22,40276.0,,,
295,2022-10-23,22121.0,,,
296,2022-10-24,40107.0,,,
297,2022-10-25,40094.0,,,
298,2022-10-26,38041.0,,,
299,2022-10-27,40307.0,,,
300,2022-10-28,52141.0,,,
301,2022-10-29,39275.0,,,
302,2022-10-30,26287.0,,,
303,2022-10-31,44203.0,,,
304,2022-11-01,39405.0,,,
305,2022-11-02,38336.0,,,
306,2022-11-03,39388.0,,,
307,2022-11-04,53052.0,,,
308,2022-11-05,38324.0,,,
309,2022-11-06,22819.0,,,
310,2022-11-07,38990.0,,,
311,2022-11-08,39926.0,,,
312,2022-11-09,42606.0,,,
313,2022-11-10,43538.0,,,
314,2022-11-11,54433.0,,,
315,2022-11-12,42976.0,,,
316,2022-11-13,26992.0,,,
317,2022-11-14,42731.0,,,
318,2022-11-15,34230.0,,,
319,2022-11-16,41041.0,,,
320,2022-11-17,37254.0,,,
321,2022-11-18,53623.0,,,
322,2022-11-19,41919.0,,,
323,2022-11-20,25435.0,,,
324,2022-11-21,34040.0,,,
325,2022-11-22,43269.0,,,
326,2022-11-23,37112.0,,,
327,2022-11-24,40407.0,,,
328,2022-11-25,55594.0,,,
329,2022-11-26,42039.0,,,
330,2022-11-27,26892.0,,,
331,2022-11-28,45232.0,,,
332,2022-11-29,43121.0,,,
333,2022-11-30,45984.0,,,
334,2022-12-01,47734.0,,,
335,2022-12-02,56574.0,,,
336,2022-12-03,44405.0,,,
337,2022-12-04,28007.0,,,
338,2022-12-05,46531.0,,,
339,2022-12-06,45493.0,,,
340,2022-12-07,43364.0,,,
341,2022-12-08,44314.0,,,
342,2022-12-09,53430.0,,,
343,2022-12-10,41667.0,,,
344,2022-12-11,26393.0,,,
345,2022-12-12,38773.0,,,
346,2022-12-13,41627.0,,,
347,2022-12-14,42520.0,,,
348,2022-12-15,45333.0,,,
349,2022-12-16,53989.0,,,
350,2022-12-17,44171.0,,,
351,2022-12-18,25651.0,,,
352,2022-12-19,51554.0,,,
353,2022-12-20,56670.0,,,
354,2022-12-21,53333.0,,,
355,2022-12-22,55231.0,,,
356,2022-12-23,61655.0,,,
357,2022-12-24,41872.0,,,
358,2022-12-25,5960.0,,,
359,2022-12-26,8783.0,,,
360,2022-12-27,13421.0,,,
361,2022-12-28,28045.0,,,
362,2022-12-29,35685.0,,,
363,2022-12-30,40445.0,,,
364,2022-12-31,27540.0,,,
365,2023-01-01,13839.0,,,
366,2023-01-02,15815.0,,,
367,2023-01-03,34429.0,,,
368,2023-01-04,36097.0,,,
369,2023-01-05,35877.0,,,
370,2023-01-06,43997.0,,,
371,2023-01-07,31020.0,,,
372,2023-01-08,19179.0,,,
373,2023-01-09,36971.0,,,
374,2023-01-10,28682.0,,,
375,2023-01-11,33897.0,,,
376,2023-01-12,32700.0,,,
377,2023-01-13,46402.0,,,
378,2023-01-14,32524.0,,,
379,2023-01-15,22030.0,,,
380,2023-01-16,35336.0,,,
381,2023-01-17,32690.0,,,
382,2023-01-18,31907.0,,,
383,2023-01-19,34581.0,,,
384,2023-01-20,45488.0,,,
385,2023-01-21,35299.0,,,
386,2023-01-22,21419.0,,,
387,2023-01-23,37077.0,,,
388,2023-01-24,35815.0,,,
389,2023-01-25,33998.0,,,
390,2023-01-26,37263.0,,,
391,2023-01-27,49129.0,,,
392,2023-01-28,39126.0,,,
393,2023-01-29,23067.0,,,
394,2023-01-30,38728.0,,,
395,2023-01-31,38982.0,,,
396,2023-02-01,37802.0,,,
397,2023-02-02,39142.0,,,
398,2023-02-03,49011.0,,,
399,2023-02-04,39409.0,,,
400,2023-02-05,24890.0,,,
401,2023-02-06,38094.0,,,
402,2023-02-07,36256.0,,,
403,2023-02-08,34984.0,,,
404,2023-02-09,36892.0,,,
405,2023-02-10,46835.0,,,
406,2023-02-11,37378.0,,,
407,2023-02-12,22800.0,,,
408,2023-02-13,39209.0,,,
409,2023-02-14,36358.0,,,
410,2023-02-15,35208.0,,,
411,2023-02-16,36043.0,,,
412,2023-02-17,45460.0,,,
413,2023-02-18,35334.0,,,
414,2023-02-19,23394.0,,,
415,2023-02-20,37006.0,,,
416,2023-02-21,35992.0,,,
417,2023-02-22,33286.0,,,
418,2023-02-23,36560.0,,,
419,2023-02-24,48149.0,,,
420,2023-02-25,36657.0,,,
421,2023-02-26,22849.0,,,
422,2023-02-27,38452.0,,,
423,2023-02-28,40972.0,,,
424,2023-03-01,39073.0,,,
425,2023-03-02,40401.0,,,
426,2023-03-03,48990.0,,,
427,2023-03-04,39394.0,,,
428,2023-03-05,23591.0,,,
429,2023-03-06,37501.0,,,
430,2023-03-07,35575.0,,,
431,2023-03-08,29120.0,,,
432,2023-03-09,29046.0,,,
433,2023-03-10,41348.0,,,
434,2023-03-11,37103.0,,,
435,2023-03-12,23978.0,,,
436,2023-03-13,35880.0,,,
437,2023-03-14,37510.0,,,
438,2023-03-15,36846.0,,,
439,2023-03-16,39077.0,,,
440,2023-03-17,47357.0,,,
441,2023-03-18,37952.0,,,
442,2023-03-19,22873.0,,,
443,2023-03-20,36197.0,,,
444,2023-03-21,36137.0,,,
445,2023-03-22,34551.0,,,
446,2023-03-23,35943.0,,,
447,2023-03-24,46476.0,,,
448,2023-03-25,37663.0,,,
449,2023-03-26,21234.0,,,
450,2023-03-27,39546.0,,,
451,2023-03-28,33080.0,,,
452,2023-03-29,36548.0,,,
453,2023-03-30,39739.0,,,
454,2023-03-31,49071.0,,,
455,2023-04-01,41976.0,,,
456,2023-04-02,25820.0,,,
457,2023-04-03,43736.0,,,
458,2023-04-04,41755.0,,,
459,2023-04-05,39397.0,,,
460,2023-04-06,50697.0,,,
461,2023-04-07,27740.0,,,
462,2023-04-08,37262.0,,,
463,2023-04-09,17394.0,,,
464,2023-04-10,13307.0,,,
465,2023-04-11,43047.0,,,
466,2023-04-12,35305.0,,,
467,2023-04-13,40371.0,,,
468,2023-04-14,46441.0,,,
469,2023-04-15,39152.0,,,
470,2023-04-16,22743.0,,,
471,2023-04-17,39139.0,,,
472,2023-04-18,36699.0,,,
473,2023-04-19,36290.0,,,
474,2023-04-20,38938.0,,,
475,2023-04-21,44788.0,,,
476,2023-04-22,36583.0,,,
477,2023-04-23,21279.0,,,
478,2023-04-24,37404.0,,,
479,2023-04-25,40904.0,,,
480,2023-04-26,39659.0,,,
481,2023-04-27,41222.0,,,
482,2023-04-28,59033.0,,,
483,2023-04-29,44396.0,,,
484,2023-04-30,27097.0,,,
485,2023-05-01,16932.0,,,
486,2023-05-02,48714.0,,,
487,2023-05-03,43021.0,,,
488,2023-05-04,42562.0,,,
489,2023-05-05,52671.0,,,
490,2023-05-06,29790.0,,,
491,2023-05-07,25164.0,,,
492,2023-05-08,14671.0,,,
493,2023-05-09,44239.0,,,
494,2023-05-10,38870.0,,,
495,2023-05-11,39441.0,,,
496,2023-05-12,47359.0,,,
497,2023-05-13,38571.0,,,
498,2023-05-14,24576.0,,,
499,2023-05-15,39525.0,,,
500,2023-05-16,38342.0,,,
501,2023-05-17,37086.0,,,
502,2023-05-18,39256.0,,,
503,2023-05-19,48161.0,,,
504,2023-05-20,39148.0,,,
505,2023-05-21,24492.0,,,
506,2023-05-22,38690.0,,,
507,2023-05-23,38346.0,,,
508,2023-05-24,37368.0,,,
509,2023-05-25,40406.0,,,
510,2023-05-26,55427.0,,,
511,2023-05-27,41412.0,,,
512,2023-05-28,27199.0,,,
513,2023-05-29,16885.0,,,
514,2023-05-30,45226.0,,,
515,2023-05-31,42985.0,,,
516,2023-06-01,44657.0,,,
517,2023-06-02,50625.0,,,
518,2023-06-03,38702.0,,,
519,2023-06-04,24787.0,,,
520,2023-06-05,40742.0,,,
521,2023-06-06,39524.0,,,
522,2023-06-07,38087.0,,,
523,2023-06-08,39452.0,,,
524,2023-06-09,47996.0,,,
525,2023-06-10,36361.0,,,
526,2023-06-11,22476.0,,,
527,2023-06-12,37919.0,,,
528,2023-06-13,37065.0,,,
529,2023-06-14,36779.0,,,
530,2023-06-15,39780.0,,,
531,2023-06-16,47307.0,,,
532,2023-06-17,38645.0,,,
533,2023-06-18,22786.0,,,
534,2023-06-19,37550.0,,,
535,2023-06-20,36127.0,,,
536,2023-06-21,39034.0,,,
537,2023-06-22,39445.0,,,
538,2023-06-23,49795.0,,,
539,2023-06-24,38450.0,,,
540,2023-06-25,23266.0,,,
541,2023-06-26,40150.0,,,
542,2023-06-27,38752.0,,,
543,2023-06-28,37732.0,,,
544,2023-06-29,39499.0,,,
545,2023-06-30,52189.0,,,
546,2023-07-01,41819.0,,,
547,2023-07-02,25739.0,,,
548,2023-07-03,40260.0,,,
549,2023-07-04,38237.0,,,
550,2023-07-05,39002.0,,,
551,2023-07-06,39527.0,,,
552,2023-07-07,47074.0,,,
553,2023-07-08,34762.0,,,
554,2023-07-09,23908.0,,,
555,2023-07-10,38408.0,,,
556,2023-07-11,37718.0,,,
557,2023-07-12,35182.0,,,
558,2023-07-13,38242.0,,,
559,2023-07-14,41339.0,,,
560,2023-07-15,37111.0,,,
561,2023-07-16,23778.0,,,
