,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,40827.0,,,
1,2022-01-05,52844.0,,,
2,2022-01-06,155156.0,,,
3,2022-01-07,54300.0,,,
4,2022-01-10,39222.0,,,
5,2022-01-11,56076.0,,,
6,2022-01-12,51960.0,,,
7,2022-01-13,147472.0,,,
8,2022-01-14,51460.0,,,
9,2022-01-17,37311.0,,,
10,2022-01-18,52944.0,,,
11,2022-01-19,51432.0,,,
12,2022-01-20,146200.0,,,
13,2022-01-21,52184.0,,,
14,2022-01-24,38481.0,,,
15,2022-01-25,56016.0,,,
16,2022-01-26,51952.0,,,
17,2022-01-27,146840.0,,,
18,2022-01-28,27836.0,,,
19,2022-01-31,38211.0,,,
20,2022-02-01,52528.0,,,
21,2022-02-02,53508.0,,,
22,2022-02-03,149156.0,,,
23,2022-02-04,53472.0,,,
24,2022-02-07,40626.0,,,
25,2022-02-08,55932.0,,,
26,2022-02-09,55432.0,,,
27,2022-02-10,152500.0,,,
28,2022-02-11,51868.0,,,
29,2022-02-14,38361.0,,,
30,2022-02-15,53764.0,,,
31,2022-02-16,52424.0,,,
32,2022-02-17,146452.0,,,
33,2022-02-18,51496.0,,,
34,2022-02-21,37590.0,,,
35,2022-02-22,53676.0,,,
36,2022-02-23,53040.0,,,
37,2022-02-24,151344.0,,,
38,2022-02-25,137952.0,,,
39,2022-02-28,20016.0,,,
40,2022-03-01,52228.0,,,
41,2022-03-02,52568.0,,,
42,2022-03-03,155124.0,,,
43,2022-03-04,54776.0,,,
44,2022-03-07,41061.0,,,
45,2022-03-08,57116.0,,,
46,2022-03-09,56936.0,,,
47,2022-03-10,156276.0,,,
48,2022-03-11,59252.0,,,
49,2022-03-14,38949.0,,,
50,2022-03-15,54816.0,,,
51,2022-03-16,53116.0,,,
52,2022-03-17,149140.0,,,
53,2022-03-18,52244.0,,,
54,2022-03-21,38265.0,,,
55,2022-03-22,54144.0,,,
56,2022-03-23,53916.0,,,
57,2022-03-24,153948.0,,,
58,2022-03-25,51828.0,,,
59,2022-03-28,38661.0,,,
60,2022-03-29,50324.0,,,
61,2022-03-30,28208.0,,,
62,2022-03-31,149880.0,,,
63,2022-04-01,48772.0,,,
64,2022-04-04,41226.0,,,
65,2022-04-05,52488.0,,,
66,2022-04-06,54664.0,,,
67,2022-04-07,156760.0,,,
68,2022-04-08,52328.0,,,
69,2022-04-11,39966.0,,,
70,2022-04-12,54560.0,,,
71,2022-04-13,243380.0,,,
72,2022-04-14,50436.0,,,
73,2022-04-19,38034.0,,,
74,2022-04-20,54984.0,,,
75,2022-04-21,148044.0,,,
76,2022-04-22,51288.0,,,
77,2022-04-25,40464.0,,,
78,2022-04-26,55096.0,,,
79,2022-04-27,52452.0,,,
80,2022-04-28,210908.0,,,
81,2022-04-29,52220.0,,,
82,2022-05-03,36129.0,,,
83,2022-05-04,59004.0,,,
84,2022-05-05,156228.0,,,
85,2022-05-06,56552.0,,,
86,2022-05-09,42786.0,,,
87,2022-05-10,56548.0,,,
88,2022-05-11,56176.0,,,
89,2022-05-12,155692.0,,,
90,2022-05-13,53952.0,,,
91,2022-05-16,40764.0,,,
92,2022-05-17,53664.0,,,
93,2022-05-18,53344.0,,,
94,2022-05-19,150952.0,,,
95,2022-05-20,52948.0,,,
96,2022-05-23,40176.0,,,
97,2022-05-24,55152.0,,,
98,2022-05-25,55988.0,,,
99,2022-05-26,151744.0,,,
100,2022-05-27,49912.0,,,
101,2022-05-30,21633.0,,,
102,2022-05-31,248668.0,,,
103,2022-06-01,52112.0,,,
104,2022-06-06,40191.0,,,
105,2022-06-07,56928.0,,,
106,2022-06-08,56828.0,,,
107,2022-06-09,157140.0,,,
108,2022-06-10,53808.0,,,
109,2022-06-13,38958.0,,,
110,2022-06-14,55168.0,,,
111,2022-06-15,53572.0,,,
112,2022-06-16,149056.0,,,
113,2022-06-17,51600.0,,,
114,2022-06-20,38514.0,,,
115,2022-06-21,53476.0,,,
116,2022-06-22,52756.0,,,
117,2022-06-23,152332.0,,,
118,2022-06-24,52628.0,,,
119,2022-06-27,38271.0,,,
120,2022-06-28,53708.0,,,
121,2022-06-29,71708.0,,,
122,2022-06-30,146972.0,,,
123,2022-07-01,48900.0,,,
124,2022-07-04,41676.0,,,
125,2022-07-05,56544.0,,,
126,2022-07-06,56492.0,,,
127,2022-07-07,160228.0,,,
128,2022-07-08,54020.0,,,
129,2022-07-11,41574.0,,,
130,2022-07-12,56376.0,,,
131,2022-07-13,55976.0,,,
132,2022-07-14,154732.0,,,
133,2022-07-15,52184.0,,,
134,2022-07-18,39468.0,,,
135,2022-07-19,53588.0,,,
136,2022-07-20,52736.0,,,
137,2022-07-21,151280.0,,,
138,2022-07-22,52092.0,,,
139,2022-07-25,41994.0,,,
140,2022-07-26,55796.0,,,
141,2022-07-27,53320.0,,,
142,2022-07-28,124824.0,,,
143,2022-07-29,51288.0,,,
144,2022-08-01,39195.0,,,
145,2022-08-02,56680.0,,,
146,2022-08-03,51144.0,,,
147,2022-08-04,157664.0,,,
148,2022-08-05,53128.0,,,
149,2022-08-08,41097.0,,,
150,2022-08-09,59444.0,,,
151,2022-08-10,54328.0,,,
152,2022-08-11,155188.0,,,
153,2022-08-12,52628.0,,,
154,2022-08-15,39264.0,,,
155,2022-08-16,55452.0,,,
156,2022-08-17,52176.0,,,
157,2022-08-18,150888.0,,,
158,2022-08-19,51500.0,,,
159,2022-08-22,38718.0,,,
160,2022-08-23,55556.0,,,
161,2022-08-24,52648.0,,,
162,2022-08-25,203160.0,,,
163,2022-08-26,48640.0,,,
164,2022-08-30,21384.0,,,
165,2022-08-31,53776.0,,,
166,2022-09-01,148768.0,,,
167,2022-09-02,55444.0,,,
168,2022-09-05,40218.0,,,
169,2022-09-06,58248.0,,,
170,2022-09-07,54580.0,,,
171,2022-09-08,160172.0,,,
172,2022-09-09,55252.0,,,
173,2022-09-12,40332.0,,,
174,2022-09-13,55684.0,,,
175,2022-09-14,53628.0,,,
176,2022-09-15,198680.0,,,
177,2022-09-16,19084.0,,,
178,2022-09-20,16536.0,,,
179,2022-09-21,54376.0,,,
180,2022-09-22,151296.0,,,
181,2022-09-23,55832.0,,,
182,2022-09-26,39714.0,,,
183,2022-09-27,55600.0,,,
184,2022-09-28,53540.0,,,
185,2022-09-29,169888.0,,,
186,2022-09-30,53928.0,,,
187,2022-10-03,37170.0,,,
188,2022-10-04,57840.0,,,
189,2022-10-05,56468.0,,,
190,2022-10-06,162380.0,,,
191,2022-10-07,57724.0,,,
192,2022-10-10,41937.0,,,
193,2022-10-11,59088.0,,,
194,2022-10-12,56484.0,,,
195,2022-10-13,158856.0,,,
196,2022-10-14,55156.0,,,
197,2022-10-17,40134.0,,,
198,2022-10-18,55912.0,,,
199,2022-10-19,54192.0,,,
200,2022-10-20,153840.0,,,
201,2022-10-21,54244.0,,,
202,2022-10-24,39594.0,,,
203,2022-10-25,59112.0,,,
204,2022-10-26,54944.0,,,
205,2022-10-27,151244.0,,,
206,2022-10-28,29496.0,,,
207,2022-10-31,39555.0,,,
208,2022-11-01,56164.0,,,
209,2022-11-02,55720.0,,,
210,2022-11-03,155648.0,,,
211,2022-11-04,56744.0,,,
212,2022-11-07,40716.0,,,
213,2022-11-08,58632.0,,,
214,2022-11-09,58568.0,,,
215,2022-11-10,160784.0,,,
216,2022-11-11,53904.0,,,
217,2022-11-14,39852.0,,,
218,2022-11-15,56444.0,,,
219,2022-11-16,55700.0,,,
220,2022-11-17,153328.0,,,
221,2022-11-18,54096.0,,,
222,2022-11-21,39567.0,,,
223,2022-11-22,55100.0,,,
224,2022-11-23,55116.0,,,
225,2022-11-24,155792.0,,,
226,2022-11-25,53944.0,,,
227,2022-11-28,39471.0,,,
228,2022-11-29,75396.0,,,
229,2022-11-30,53412.0,,,
230,2022-12-01,151304.0,,,
231,2022-12-02,56284.0,,,
232,2022-12-05,42006.0,,,
233,2022-12-06,60204.0,,,
234,2022-12-07,56972.0,,,
235,2022-12-08,169440.0,,,
236,2022-12-09,57604.0,,,
237,2022-12-12,42930.0,,,
238,2022-12-13,59484.0,,,
239,2022-12-14,79260.0,,,
240,2022-12-15,663364.0,,,
241,2022-12-16,54992.0,,,
242,2022-12-19,41127.0,,,
243,2022-12-20,122340.0,,,
244,2022-12-21,58696.0,,,
245,2022-12-22,268188.0,,,
246,2022-12-23,52420.0,,,
247,2022-12-28,38103.0,,,
248,2022-12-29,173156.0,,,
249,2022-12-30,54460.0,,,
250,2023-01-03,37590.0,,,
251,2023-01-04,57892.0,,,
252,2023-01-05,159924.0,,,
253,2023-01-06,57168.0,,,
254,2023-01-09,43350.0,,,
255,2023-01-10,58744.0,,,
256,2023-01-11,57880.0,,,
257,2023-01-12,157888.0,,,
258,2023-01-13,55032.0,,,
259,2023-01-16,40974.0,,,
260,2023-01-17,55928.0,,,
261,2023-01-18,55012.0,,,
262,2023-01-19,154456.0,,,
263,2023-01-20,53392.0,,,
264,2023-01-23,40815.0,,,
265,2023-01-24,55616.0,,,
266,2023-01-25,57320.0,,,
267,2023-01-26,295816.0,,,
268,2023-01-27,50948.0,,,
269,2023-01-30,21957.0,,,
270,2023-01-31,54836.0,,,
271,2023-02-01,66588.0,,,
272,2023-02-02,158860.0,,,
273,2023-02-03,55116.0,,,
274,2023-02-06,43341.0,,,
275,2023-02-07,57720.0,,,
276,2023-02-08,58728.0,,,
277,2023-02-09,166740.0,,,
278,2023-02-10,56996.0,,,
279,2023-02-13,40923.0,,,
280,2023-02-14,57376.0,,,
281,2023-02-15,55132.0,,,
282,2023-02-16,157736.0,,,
283,2023-02-17,54628.0,,,
284,2023-02-20,40902.0,,,
285,2023-02-21,56544.0,,,
286,2023-02-22,54476.0,,,
287,2023-02-23,159112.0,,,
288,2023-02-24,55048.0,,,
289,2023-02-27,107109.0,,,
290,2023-02-28,54712.0,,,
291,2023-03-01,54432.0,,,
292,2023-03-02,163244.0,,,
293,2023-03-03,57260.0,,,
294,2023-03-06,44502.0,,,
295,2023-03-07,59232.0,,,
296,2023-03-08,60064.0,,,
297,2023-03-09,170608.0,,,
298,2023-03-10,58992.0,,,
299,2023-03-13,47814.0,,,
300,2023-03-14,58828.0,,,
301,2023-03-15,57904.0,,,
302,2023-03-16,161324.0,,,
303,2023-03-17,56100.0,,,
304,2023-03-20,41856.0,,,
305,2023-03-21,57840.0,,,
306,2023-03-22,55864.0,,,
307,2023-03-23,163220.0,,,
