,yearmonth,volume,value_type
20,2021-01,24347.0,ACTUAL
24,2021-02,26476.0,ACTUAL
30,2021-03,33513.0,ACTUAL
25,2021-04,31277.0,ACTUAL
4,2021-05,28799.0,ACTUAL
7,2021-06,33471.0,ACTUAL
29,2021-07,36230.0,ACTUAL
21,2021-08,39423.0,ACTUAL
10,2021-09,32307.0,ACTUAL
17,2021-10,32264.0,ACTUAL
11,2021-11,33335.0,ACTUAL
22,2021-12,33568.0,ACTUAL
2,2022-01,29643.0,ACTUAL
16,2022-02,30422.0,ACTUAL
8,2022-03,36277.0,ACTUAL
12,2022-04,33573.0,ACTUAL
0,2022-05,35479.0,ACTUAL
19,2022-06,34288.0,ACTUAL
6,2022-07,34582.0,ACTUAL
23,2022-08,36255.0,ACTUAL
26,2022-09,35340.0,ACTUAL
14,2022-10,35313.0,ACTUAL
3,2022-11,36702.0,ACTUAL
1,2022-12,34803.0,ACTUAL
18,2023-01,33904.0,ACTUAL
13,2023-02,33223.0,ACTUAL
5,2023-03,39069.0,ACTUAL
32,2023-04,33500.0,ACTUAL
9,2023-05,36557.0,ACTUAL
15,2023-06,36921.0,ACTUAL
31,2023-07,35878.0,ACTUAL
28,2023-08,36217.0,ACTUAL
27,2023-09,34892.0,ACTUAL
33,2023-10,39015.0,PREDICTED
34,2023-11,37756.0,PREDICTED
35,2023-12,31233.0,PREDICTED
