,yearmonth,volume,value_type
21,2021-01,31196.0,ACTUAL
15,2021-02,30630.0,ACTUAL
32,2021-03,37295.0,ACTUAL
14,2021-04,34693.0,ACTUAL
3,2021-05,34690.0,ACTUAL
8,2021-06,40148.0,ACTUAL
22,2021-07,42941.0,ACTUAL
30,2021-08,46247.0,ACTUAL
1,2021-09,40757.0,ACTUAL
10,2021-10,35875.0,ACTUAL
16,2021-11,33587.0,ACTUAL
28,2021-12,37110.0,ACTUAL
33,2022-01,31190.0,ACTUAL
19,2022-02,30323.0,ACTUAL
27,2022-03,36144.0,ACTUAL
23,2022-04,30984.0,ACTUAL
25,2022-05,32740.0,ACTUAL
4,2022-06,31955.0,ACTUAL
0,2022-07,30795.0,ACTUAL
13,2022-08,30923.0,ACTUAL
6,2022-09,31514.0,ACTUAL
9,2022-10,31170.0,ACTUAL
24,2022-11,32349.0,ACTUAL
31,2022-12,33727.0,ACTUAL
2,2023-01,30540.0,ACTUAL
29,2023-02,29540.0,ACTUAL
17,2023-03,34463.0,ACTUAL
18,2023-04,29285.0,ACTUAL
20,2023-05,33508.0,ACTUAL
7,2023-06,34604.0,ACTUAL
5,2023-07,33015.0,ACTUAL
26,2023-08,32910.0,ACTUAL
11,2023-09,32288.0,ACTUAL
12,2023-10,9.0,ACTUAL
34,2023-11,40138.0,PREDICTED
35,2023-12,29737.0,PREDICTED
36,2024-01,26750.0,PREDICTED
