,yearmonth,volume,value_type
14,2021-01,45388.0,ACTUAL
28,2021-02,45255.0,ACTUAL
21,2021-03,55060.0,ACTUAL
17,2021-04,51599.0,ACTUAL
25,2021-05,52646.0,ACTUAL
26,2021-06,55642.0,ACTUAL
10,2021-07,55151.0,ACTUAL
23,2021-08,53968.0,ACTUAL
0,2021-09,58898.0,ACTUAL
18,2021-10,52058.0,ACTUAL
2,2021-11,52340.0,ACTUAL
27,2021-12,55345.0,ACTUAL
24,2022-01,48743.0,ACTUAL
16,2022-02,47994.0,ACTUAL
32,2022-03,55649.0,ACTUAL
8,2022-04,49493.0,ACTUAL
3,2022-05,51978.0,ACTUAL
22,2022-06,50413.0,ACTUAL
12,2022-07,47926.0,ACTUAL
31,2022-08,49264.0,ACTUAL
30,2022-09,49498.0,ACTUAL
33,2022-10,48339.0,ACTUAL
11,2022-11,49724.0,ACTUAL
5,2022-12,49579.0,ACTUAL
13,2023-01,47320.0,ACTUAL
4,2023-02,45382.0,ACTUAL
6,2023-03,52915.0,ACTUAL
19,2023-04,45185.0,ACTUAL
15,2023-05,51514.0,ACTUAL
9,2023-06,50631.0,ACTUAL
1,2023-07,48412.0,ACTUAL
7,2023-08,48705.0,ACTUAL
29,2023-09,47661.0,ACTUAL
20,2023-10,93.0,ACTUAL
34,2023-11,62099.0,PREDICTED
35,2023-12,47768.0,PREDICTED
36,2024-01,46098.0,PREDICTED
