,yearmonth,volume,value_type
25,2021-01,25863.0,ACTUAL
10,2021-02,25219.0,ACTUAL
28,2021-03,29255.0,ACTUAL
7,2021-04,27771.0,ACTUAL
20,2021-05,27150.0,ACTUAL
2,2021-06,31775.0,ACTUAL
19,2021-07,31680.0,ACTUAL
17,2021-08,28956.0,ACTUAL
11,2021-09,31508.0,ACTUAL
13,2021-10,31395.0,ACTUAL
22,2021-11,32584.0,ACTUAL
18,2021-12,30164.0,ACTUAL
0,2022-01,30409.0,ACTUAL
5,2022-02,29802.0,ACTUAL
32,2022-03,34011.0,ACTUAL
27,2022-04,30104.0,ACTUAL
30,2022-05,32209.0,ACTUAL
9,2022-06,30688.0,ACTUAL
29,2022-07,30654.0,ACTUAL
23,2022-08,30201.0,ACTUAL
4,2022-09,31315.0,ACTUAL
26,2022-10,30011.0,ACTUAL
15,2022-11,30704.0,ACTUAL
21,2022-12,29621.0,ACTUAL
14,2023-01,28973.0,ACTUAL
3,2023-02,27249.0,ACTUAL
6,2023-03,32838.0,ACTUAL
24,2023-04,28129.0,ACTUAL
12,2023-05,30981.0,ACTUAL
16,2023-06,31843.0,ACTUAL
8,2023-07,30854.0,ACTUAL
31,2023-08,30885.0,ACTUAL
33,2023-09,30535.0,ACTUAL
1,2023-10,13.0,ACTUAL
34,2023-11,39571.0,PREDICTED
35,2023-12,33117.0,PREDICTED
36,2024-01,30066.0,PREDICTED
