,yearmonth,volume,value_type
31,2021-01,91783.0,ACTUAL
7,2021-02,95210.0,ACTUAL
24,2021-03,119058.0,ACTUAL
4,2021-04,107187.0,ACTUAL
30,2021-05,96528.0,ACTUAL
3,2021-06,123459.0,ACTUAL
16,2021-07,102489.0,ACTUAL
19,2021-08,99172.0,ACTUAL
11,2021-09,113465.0,ACTUAL
17,2021-10,106111.0,ACTUAL
6,2021-11,113182.0,ACTUAL
21,2021-12,116689.0,ACTUAL
8,2022-01,100186.0,ACTUAL
15,2022-02,102575.0,ACTUAL
20,2022-03,122654.0,ACTUAL
18,2022-04,110379.0,ACTUAL
22,2022-05,112237.0,ACTUAL
10,2022-06,108559.0,ACTUAL
13,2022-07,108021.0,ACTUAL
14,2022-08,113484.0,ACTUAL
2,2022-09,116887.0,ACTUAL
25,2022-10,115800.0,ACTUAL
9,2022-11,113747.0,ACTUAL
28,2022-12,110476.0,ACTUAL
23,2023-01,101675.0,ACTUAL
29,2023-02,98526.0,ACTUAL
0,2023-03,117515.0,ACTUAL
5,2023-04,103382.0,ACTUAL
1,2023-05,106937.0,ACTUAL
32,2023-06,108665.0,ACTUAL
26,2023-07,109756.0,ACTUAL
27,2023-08,105772.0,ACTUAL
12,2023-09,103217.0,ACTUAL
33,2023-10,115071.0,PREDICTED
34,2023-11,107021.0,PREDICTED
35,2023-12,100618.0,PREDICTED
