,yearmonth,volume,value_type
27,2021-01,30082.0,ACTUAL
26,2021-02,30699.0,ACTUAL
18,2021-03,38457.0,ACTUAL
9,2021-04,29983.0,ACTUAL
19,2021-05,27819.0,ACTUAL
32,2021-06,42606.0,ACTUAL
28,2021-07,28440.0,ACTUAL
23,2021-08,28822.0,ACTUAL
31,2021-09,36389.0,ACTUAL
24,2021-10,29032.0,ACTUAL
29,2021-11,33051.0,ACTUAL
1,2021-12,31920.0,ACTUAL
6,2022-01,32308.0,ACTUAL
13,2022-02,30510.0,ACTUAL
11,2022-03,35930.0,ACTUAL
3,2022-04,30780.0,ACTUAL
5,2022-05,32767.0,ACTUAL
14,2022-06,30919.0,ACTUAL
7,2022-07,29960.0,ACTUAL
2,2022-08,31817.0,ACTUAL
21,2022-09,32206.0,ACTUAL
20,2022-10,31192.0,ACTUAL
12,2022-11,28798.0,ACTUAL
4,2022-12,25148.0,ACTUAL
25,2023-01,23164.0,ACTUAL
15,2023-02,19050.0,ACTUAL
30,2023-03,21768.0,ACTUAL
0,2023-04,17705.0,ACTUAL
8,2023-05,20642.0,ACTUAL
17,2023-06,22310.0,ACTUAL
10,2023-07,23337.0,ACTUAL
16,2023-08,25894.0,ACTUAL
22,2023-09,24372.0,ACTUAL
33,2023-10,23040.0,PREDICTED
34,2023-11,18281.0,PREDICTED
35,2023-12,17417.0,PREDICTED
