,yearmonth,volume,value_type
20,2021-01,38305.0,ACTUAL
31,2021-02,37907.0,ACTUAL
2,2021-03,46397.0,ACTUAL
12,2021-04,43112.0,ACTUAL
3,2021-05,42170.0,ACTUAL
17,2021-06,44280.0,ACTUAL
24,2021-07,41894.0,ACTUAL
32,2021-08,40900.0,ACTUAL
7,2021-09,43612.0,ACTUAL
13,2021-10,42094.0,ACTUAL
26,2021-11,43887.0,ACTUAL
9,2021-12,47238.0,ACTUAL
10,2022-01,39309.0,ACTUAL
16,2022-02,39029.0,ACTUAL
23,2022-03,44216.0,ACTUAL
29,2022-04,40188.0,ACTUAL
25,2022-05,42350.0,ACTUAL
19,2022-06,42914.0,ACTUAL
15,2022-07,40672.0,ACTUAL
22,2022-08,43270.0,ACTUAL
18,2022-09,42881.0,ACTUAL
27,2022-10,42243.0,ACTUAL
4,2022-11,42788.0,ACTUAL
11,2022-12,46037.0,ACTUAL
28,2023-01,42281.0,ACTUAL
14,2023-02,39510.0,ACTUAL
30,2023-03,46729.0,ACTUAL
21,2023-04,39860.0,ACTUAL
5,2023-05,45157.0,ACTUAL
33,2023-06,45898.0,ACTUAL
1,2023-07,43657.0,ACTUAL
6,2023-08,44321.0,ACTUAL
0,2023-09,43368.0,ACTUAL
8,2023-10,55.0,ACTUAL
34,2023-11,53372.0,PREDICTED
35,2023-12,50615.0,PREDICTED
36,2024-01,43188.0,PREDICTED
