,yearmonth,volume,value_type
25,2021-01,25068.0,ACTUAL
31,2021-02,25001.0,ACTUAL
28,2021-03,30402.0,ACTUAL
0,2021-04,26730.0,ACTUAL
12,2021-05,25063.0,ACTUAL
8,2021-06,28557.0,ACTUAL
6,2021-07,26576.0,ACTUAL
9,2021-08,26487.0,ACTUAL
27,2021-09,27655.0,ACTUAL
5,2021-10,27014.0,ACTUAL
17,2021-11,28529.0,ACTUAL
7,2021-12,29218.0,ACTUAL
22,2022-01,27017.0,ACTUAL
4,2022-02,25550.0,ACTUAL
24,2022-03,30472.0,ACTUAL
2,2022-04,26876.0,ACTUAL
32,2022-05,29962.0,ACTUAL
13,2022-06,28820.0,ACTUAL
20,2022-07,27798.0,ACTUAL
26,2022-08,29176.0,ACTUAL
19,2022-09,27919.0,ACTUAL
21,2022-10,27854.0,ACTUAL
11,2022-11,27697.0,ACTUAL
15,2022-12,28179.0,ACTUAL
14,2023-01,28620.0,ACTUAL
30,2023-02,26079.0,ACTUAL
33,2023-03,30614.0,ACTUAL
10,2023-04,25747.0,ACTUAL
23,2023-05,30061.0,ACTUAL
1,2023-06,29170.0,ACTUAL
29,2023-07,28547.0,ACTUAL
3,2023-08,27920.0,ACTUAL
16,2023-09,27025.0,ACTUAL
18,2023-10,4.0,ACTUAL
34,2023-11,35645.0,PREDICTED
35,2023-12,31600.0,PREDICTED
36,2024-01,29928.0,PREDICTED
