,yearmonth,volume,value_type
0,2022-01,22019.0,ACTUAL
1,2022-02,20597.0,ACTUAL
2,2022-03,23053.0,ACTUAL
3,2022-04,19966.0,ACTUAL
4,2022-05,21486.0,ACTUAL
5,2022-06,19396.0,ACTUAL
6,2022-07,19020.0,ACTUAL
7,2022-08,20730.0,ACTUAL
8,2022-09,18929.0,ACTUAL
9,2022-10,15612.0,ACTUAL
10,2022-11,16033.0,ACTUAL
11,2022-12,13852.0,ACTUAL
12,2023-01,16526.0,ACTUAL
13,2023-02,13505.0,ACTUAL
14,2023-03,15562.0,ACTUAL
15,2023-04,12672.0,ACTUAL
16,2023-05,14573.0,ACTUAL
17,2023-06,13639.0,ACTUAL
18,2023-07,12582.0,ACTUAL
19,2023-08,12264.0,ACTUAL
20,2023-09,11355.0,ACTUAL
21,2023-10,8395.0,PREDICTED
22,2023-11,8562.0,PREDICTED
23,2023-12,6677.0,PREDICTED
