,yearmonth,volume,value_type
0,2022-01,769063.0,ACTUAL
1,2022-02,638043.0,ACTUAL
2,2022-03,756860.0,ACTUAL
3,2022-04,644401.0,ACTUAL
4,2022-05,677444.0,ACTUAL
5,2022-06,597997.0,ACTUAL
6,2022-07,595982.0,ACTUAL
7,2022-08,610370.0,ACTUAL
8,2022-09,585483.0,ACTUAL
9,2022-10,585381.0,ACTUAL
10,2022-11,659789.0,ACTUAL
11,2022-12,649177.0,ACTUAL
12,2023-01,695670.0,ACTUAL
13,2023-02,520929.0,ACTUAL
14,2023-03,590459.0,ACTUAL
15,2023-04,509346.0,ACTUAL
16,2023-05,538284.0,ACTUAL
17,2023-06,518398.0,ACTUAL
18,2023-07,497573.0,ACTUAL
19,2023-08,504296.0,ACTUAL
20,2023-09,470283.0,ACTUAL
21,2023-10,446663.0,PREDICTED
22,2023-11,516427.0,PREDICTED
23,2023-12,479402.0,PREDICTED
