,yearmonth,volume,value_type
0,2022-01,61662.0,ACTUAL
1,2022-02,67015.0,ACTUAL
2,2022-03,79306.0,ACTUAL
3,2022-04,65633.0,ACTUAL
4,2022-05,66627.0,ACTUAL
5,2022-06,61132.0,ACTUAL
6,2022-07,60022.0,ACTUAL
7,2022-08,66327.0,ACTUAL
8,2022-09,55379.0,ACTUAL
9,2022-10,51297.0,ACTUAL
10,2022-11,60615.0,ACTUAL
11,2022-12,51579.0,ACTUAL
12,2023-01,57600.0,ACTUAL
13,2023-02,50525.0,ACTUAL
14,2023-03,62350.0,ACTUAL
15,2023-04,45520.0,ACTUAL
16,2023-05,50956.0,ACTUAL
17,2023-06,55006.0,ACTUAL
18,2023-07,46086.0,ACTUAL
19,2023-08,42944.0,ACTUAL
20,2023-09,41835.0,ACTUAL
21,2023-10,36809.0,PREDICTED
22,2023-11,44670.0,PREDICTED
23,2023-12,34376.0,PREDICTED
