,yearmonth,volume,value_type
0,2022-01,787619.0,ACTUAL
1,2022-02,704146.0,ACTUAL
2,2022-03,814913.0,ACTUAL
3,2022-04,697249.0,ACTUAL
4,2022-05,744136.0,ACTUAL
5,2022-06,687832.0,ACTUAL
6,2022-07,679999.0,ACTUAL
7,2022-08,796272.0,ACTUAL
8,2022-09,697130.0,ACTUAL
9,2022-10,659898.0,ACTUAL
10,2022-11,728333.0,ACTUAL
11,2022-12,677112.0,ACTUAL
12,2023-01,774974.0,ACTUAL
13,2023-02,608775.0,ACTUAL
14,2023-03,663200.0,ACTUAL
15,2023-04,569185.0,ACTUAL
16,2023-05,627297.0,ACTUAL
17,2023-06,614318.0,ACTUAL
18,2023-07,642605.0,ACTUAL
19,2023-08,689188.0,ACTUAL
20,2023-09,604414.0,ACTUAL
21,2023-10,537089.0,PREDICTED
22,2023-11,598522.0,PREDICTED
23,2023-12,526195.0,PREDICTED
