,yearmonth,volume,value_type
0,2022-01,3534.0,ACTUAL
1,2022-02,3541.0,ACTUAL
2,2022-03,4084.0,ACTUAL
3,2022-04,3874.0,ACTUAL
4,2022-05,4366.0,ACTUAL
5,2022-06,4232.0,ACTUAL
6,2022-07,4218.0,ACTUAL
7,2022-08,3987.0,ACTUAL
8,2022-09,4113.0,ACTUAL
9,2022-10,3908.0,ACTUAL
10,2022-11,3973.0,ACTUAL
11,2022-12,4491.0,ACTUAL
12,2023-01,3432.0,ACTUAL
13,2023-02,3477.0,ACTUAL
14,2023-03,3852.0,ACTUAL
15,2023-04,3452.0,ACTUAL
16,2023-05,3666.0,ACTUAL
17,2023-06,3725.0,ACTUAL
18,2023-07,3724.0,ACTUAL
19,2023-08,3630.0,ACTUAL
20,2023-09,3540.0,ACTUAL
21,2023-10,3407.0,PREDICTED
22,2023-11,3581.0,PREDICTED
23,2023-12,4047.0,PREDICTED
