,yearmonth,volume,value_type
0,2022-01,285713.0,ACTUAL
1,2022-02,296757.0,ACTUAL
2,2022-03,351652.0,ACTUAL
3,2022-04,300529.0,ACTUAL
4,2022-05,328939.0,ACTUAL
5,2022-06,309531.0,ACTUAL
6,2022-07,313016.0,ACTUAL
7,2022-08,318429.0,ACTUAL
8,2022-09,318957.0,ACTUAL
9,2022-10,311674.0,ACTUAL
10,2022-11,326690.0,ACTUAL
11,2022-12,304386.0,ACTUAL
12,2023-01,300359.0,ACTUAL
13,2023-02,294088.0,ACTUAL
14,2023-03,342269.0,ACTUAL
15,2023-04,281618.0,ACTUAL
16,2023-05,326341.0,ACTUAL
17,2023-06,315614.0,ACTUAL
18,2023-07,301027.0,ACTUAL
19,2023-08,309645.0,ACTUAL
20,2023-09,292349.0,ACTUAL
21,2023-10,296614.0,PREDICTED
22,2023-11,321589.0,PREDICTED
23,2023-12,280114.0,PREDICTED
