,yearmonth,volume,value_type
0,2022-01,294069.0,ACTUAL
1,2022-02,291134.0,ACTUAL
2,2022-03,324734.0,ACTUAL
3,2022-04,309324.0,ACTUAL
4,2022-05,315834.0,ACTUAL
5,2022-06,318925.0,ACTUAL
6,2022-07,317455.0,ACTUAL
7,2022-08,326367.0,ACTUAL
8,2022-09,326633.0,ACTUAL
9,2022-10,310942.0,ACTUAL
10,2022-11,324809.0,ACTUAL
11,2022-12,326674.0,ACTUAL
12,2023-01,315162.0,ACTUAL
13,2023-02,305845.0,ACTUAL
14,2023-03,347570.0,ACTUAL
15,2023-04,309851.0,ACTUAL
16,2023-05,352012.0,ACTUAL
17,2023-06,338882.0,ACTUAL
18,2023-07,321578.0,ACTUAL
19,2023-08,336310.0,ACTUAL
20,2023-09,326248.0,ACTUAL
21,2023-10,318788.0,PREDICTED
22,2023-11,342404.0,PREDICTED
23,2023-12,331768.0,PREDICTED
