,yearmonth,volume,value_type
0,2022-01,932465.0,ACTUAL
1,2022-02,903940.0,ACTUAL
2,2022-03,1048753.0,ACTUAL
3,2022-04,959130.0,ACTUAL
4,2022-05,1041044.0,ACTUAL
5,2022-06,997299.0,ACTUAL
6,2022-07,311542.0,ACTUAL
7,2022-08,1320537.0,ACTUAL
8,2022-09,1371642.0,ACTUAL
9,2022-10,1333481.0,ACTUAL
10,2022-11,1405242.0,ACTUAL
11,2022-12,1318000.0,ACTUAL
12,2023-01,1397650.0,ACTUAL
13,2023-02,1319930.0,ACTUAL
14,2023-03,1014213.0,ACTUAL
15,2023-06,451221.0,ACTUAL
16,2023-07,135247.0,PREDICTED
17,2023-08,1600777.0,PREDICTED
18,2023-09,1666145.0,PREDICTED
19,2023-10,1684194.0,PREDICTED
