,yearmonth,volume,value_type
0,2022-01,25211391.0,ACTUAL
1,2022-02,24537162.0,ACTUAL
2,2022-03,27518140.0,ACTUAL
3,2022-04,26603559.0,ACTUAL
4,2022-05,27315210.0,ACTUAL
5,2022-06,26251683.0,ACTUAL
6,2022-07,27021549.0,ACTUAL
7,2022-08,26784927.0,ACTUAL
8,2022-09,27491849.0,ACTUAL
9,2022-10,28440518.0,ACTUAL
10,2022-11,28333672.0,ACTUAL
11,2022-12,28074996.0,ACTUAL
12,2023-01,27078171.0,ACTUAL
13,2023-02,25924751.0,ACTUAL
14,2023-03,29434709.0,ACTUAL
15,2023-04,27745107.0,ACTUAL
16,2023-05,28732700.0,ACTUAL
17,2023-06,28729987.0,ACTUAL
18,2023-07,28588238.0,ACTUAL
19,2023-08,28056344.0,ACTUAL
20,2023-09,27811960.0,ACTUAL
21,2023-10,29679786.0,PREDICTED
22,2023-11,29522481.0,PREDICTED
23,2023-12,29439254.0,PREDICTED
