,yearmonth,volume,value_type
0,2022-01,1118459.0,ACTUAL
1,2022-02,1123141.0,ACTUAL
2,2022-03,1197809.0,ACTUAL
3,2022-04,1187831.0,ACTUAL
4,2022-05,1174128.0,ACTUAL
5,2022-06,1167591.0,ACTUAL
6,2022-07,1223110.0,ACTUAL
7,2022-08,1159545.0,ACTUAL
8,2022-09,1245318.0,ACTUAL
9,2022-10,1174823.0,ACTUAL
10,2022-11,1187037.0,ACTUAL
11,2022-12,1205875.0,ACTUAL
12,2023-01,1103539.0,ACTUAL
13,2023-02,1078403.0,ACTUAL
14,2023-03,1264691.0,ACTUAL
15,2023-04,1108898.0,ACTUAL
16,2023-05,1143002.0,ACTUAL
17,2023-06,1215630.0,ACTUAL
18,2023-07,1131406.0,ACTUAL
19,2023-08,1132657.0,ACTUAL
20,2023-09,1165976.0,ACTUAL
21,2023-10,1257717.0,PREDICTED
22,2023-11,1212209.0,PREDICTED
23,2023-12,1227275.0,PREDICTED
