,yearmonth,volume,value_type
0,2022-01,25096093.0,ACTUAL
1,2022-02,24041842.0,ACTUAL
2,2022-03,26874054.0,ACTUAL
3,2022-04,26192797.0,ACTUAL
4,2022-05,26990372.0,ACTUAL
5,2022-06,25740246.0,ACTUAL
6,2022-07,26890404.0,ACTUAL
7,2022-08,26237714.0,ACTUAL
8,2022-09,26419168.0,ACTUAL
9,2022-10,27413690.0,ACTUAL
10,2022-11,27562464.0,ACTUAL
11,2022-12,27373968.0,ACTUAL
12,2023-01,26847870.0,ACTUAL
13,2023-02,25484283.0,ACTUAL
14,2023-03,28680565.0,ACTUAL
15,2023-04,27263803.0,ACTUAL
16,2023-05,28357601.0,ACTUAL
17,2023-06,28183551.0,ACTUAL
18,2023-07,28387305.0,ACTUAL
19,2023-08,27746053.0,ACTUAL
20,2023-09,27271479.0,ACTUAL
21,2023-10,28573486.0,PREDICTED
22,2023-11,28871561.0,PREDICTED
23,2023-12,29065544.0,PREDICTED
