,yearmonth,volume,value_type
0,2022-01,109626.0,ACTUAL
1,2022-02,110951.0,ACTUAL
2,2022-03,128289.0,ACTUAL
3,2022-04,138749.0,ACTUAL
4,2022-05,143985.0,ACTUAL
5,2022-06,153824.0,ACTUAL
6,2022-07,156513.0,ACTUAL
7,2022-08,166857.0,ACTUAL
8,2022-09,158719.0,ACTUAL
9,2022-10,152926.0,ACTUAL
10,2022-11,134198.0,ACTUAL
11,2022-12,131418.0,ACTUAL
12,2023-01,126337.0,ACTUAL
13,2023-02,127369.0,ACTUAL
14,2023-03,138455.0,ACTUAL
15,2023-04,141138.0,ACTUAL
16,2023-05,148201.0,ACTUAL
17,2023-06,149734.0,ACTUAL
18,2023-07,148258.0,ACTUAL
19,2023-08,154079.0,ACTUAL
20,2023-09,114452.0,ACTUAL
21,2023-10,125156.0,PREDICTED
22,2023-11,113098.0,PREDICTED
23,2023-12,107728.0,PREDICTED
