,yearmonth,volume,value_type
0,2022-01,7855.0,ACTUAL
1,2022-02,7265.0,ACTUAL
2,2022-03,8254.0,ACTUAL
3,2022-04,8450.0,ACTUAL
4,2022-05,9133.0,ACTUAL
5,2022-06,9175.0,ACTUAL
6,2022-07,9043.0,ACTUAL
7,2022-08,9153.0,ACTUAL
8,2022-09,8972.0,ACTUAL
9,2022-10,8449.0,ACTUAL
10,2022-11,7764.0,ACTUAL
11,2022-12,7881.0,ACTUAL
12,2023-01,7847.0,ACTUAL
13,2023-02,7557.0,ACTUAL
14,2023-03,8178.0,ACTUAL
15,2023-04,7914.0,ACTUAL
16,2023-05,8503.0,ACTUAL
17,2023-06,8522.0,ACTUAL
18,2023-07,8401.0,ACTUAL
19,2023-08,8501.0,ACTUAL
20,2023-09,6241.0,ACTUAL
21,2023-10,7590.0,PREDICTED
22,2023-11,7048.0,PREDICTED
23,2023-12,7070.0,PREDICTED
