,yearmonth,volume,value_type
0,2022-01,11293557.0,ACTUAL
1,2022-02,11051208.0,ACTUAL
2,2022-03,12651259.0,ACTUAL
3,2022-04,12707769.0,ACTUAL
4,2022-05,13222689.0,ACTUAL
5,2022-06,12999235.0,ACTUAL
6,2022-07,13626058.0,ACTUAL
7,2022-08,12865597.0,ACTUAL
8,2022-09,12293710.0,ACTUAL
9,2022-10,12639900.0,ACTUAL
10,2022-11,12066894.0,ACTUAL
11,2022-12,11978564.0,ACTUAL
12,2023-01,10626798.0,ACTUAL
13,2023-02,10619939.0,ACTUAL
14,2023-03,11704078.0,ACTUAL
15,2023-04,11931434.0,ACTUAL
16,2023-05,12178610.0,ACTUAL
17,2023-06,11979696.0,ACTUAL
18,2023-07,12076743.0,ACTUAL
19,2023-08,11762567.0,ACTUAL
20,2023-09,11287372.0,ACTUAL
21,2023-10,11026227.0,PREDICTED
22,2023-11,11160374.0,PREDICTED
23,2023-12,10812707.0,PREDICTED
