,yearmonth,volume,value_type
0,2022-01,1050751.0,ACTUAL
1,2022-02,1039151.0,ACTUAL
2,2022-03,1231841.0,ACTUAL
3,2022-04,1219300.0,ACTUAL
4,2022-05,1244736.0,ACTUAL
5,2022-06,1241161.0,ACTUAL
6,2022-07,1280632.0,ACTUAL
7,2022-08,1249164.0,ACTUAL
8,2022-09,1186258.0,ACTUAL
9,2022-10,1199045.0,ACTUAL
10,2022-11,1210708.0,ACTUAL
11,2022-12,1250170.0,ACTUAL
12,2023-01,1033364.0,ACTUAL
13,2023-02,1024422.0,ACTUAL
14,2023-03,1128800.0,ACTUAL
15,2023-04,1109574.0,ACTUAL
16,2023-05,1156535.0,ACTUAL
17,2023-06,1155679.0,ACTUAL
18,2023-07,1147597.0,ACTUAL
19,2023-08,1157842.0,ACTUAL
20,2023-09,1104039.0,ACTUAL
21,2023-10,1091547.0,PREDICTED
22,2023-11,1137121.0,PREDICTED
23,2023-12,1164125.0,PREDICTED
